"layer_id","module","module_size","Total_sp","Prop_sp","layer_name"
1,1,12,71,0.169014084507042,"WesternSahara"
1,3,13,71,0.183098591549296,"WesternSahara"
1,4,5,71,0.0704225352112676,"WesternSahara"
1,5,5,71,0.0704225352112676,"WesternSahara"
1,14,3,71,0.0422535211267606,"WesternSahara"
1,15,1,71,0.0140845070422535,"WesternSahara"
1,17,1,71,0.0140845070422535,"WesternSahara"
1,18,1,71,0.0140845070422535,"WesternSahara"
1,20,1,71,0.0140845070422535,"WesternSahara"
1,25,1,71,0.0140845070422535,"WesternSahara"
1,26,1,71,0.0140845070422535,"WesternSahara"
1,30,13,71,0.183098591549296,"WesternSahara"
1,36,1,71,0.0140845070422535,"WesternSahara"
1,44,4,71,0.0563380281690141,"WesternSahara"
1,50,1,71,0.0140845070422535,"WesternSahara"
1,55,6,71,0.0845070422535211,"WesternSahara"
1,86,1,71,0.0140845070422535,"WesternSahara"
1,87,1,71,0.0140845070422535,"WesternSahara"
2,1,11,64,0.171875,"Fuerteventura"
2,2,1,64,0.015625,"Fuerteventura"
2,3,12,64,0.1875,"Fuerteventura"
2,4,2,64,0.03125,"Fuerteventura"
2,5,4,64,0.0625,"Fuerteventura"
2,7,1,64,0.015625,"Fuerteventura"
2,8,1,64,0.015625,"Fuerteventura"
2,12,1,64,0.015625,"Fuerteventura"
2,15,1,64,0.015625,"Fuerteventura"
2,16,1,64,0.015625,"Fuerteventura"
2,17,1,64,0.015625,"Fuerteventura"
2,18,1,64,0.015625,"Fuerteventura"
2,20,1,64,0.015625,"Fuerteventura"
2,21,1,64,0.015625,"Fuerteventura"
2,24,1,64,0.015625,"Fuerteventura"
2,26,1,64,0.015625,"Fuerteventura"
2,27,1,64,0.015625,"Fuerteventura"
2,36,2,64,0.03125,"Fuerteventura"
2,39,1,64,0.015625,"Fuerteventura"
2,44,1,64,0.015625,"Fuerteventura"
2,49,1,64,0.015625,"Fuerteventura"
2,50,3,64,0.046875,"Fuerteventura"
2,52,5,64,0.078125,"Fuerteventura"
2,57,2,64,0.03125,"Fuerteventura"
2,62,1,64,0.015625,"Fuerteventura"
2,75,1,64,0.015625,"Fuerteventura"
2,78,1,64,0.015625,"Fuerteventura"
2,83,1,64,0.015625,"Fuerteventura"
2,84,1,64,0.015625,"Fuerteventura"
2,87,1,64,0.015625,"Fuerteventura"
2,88,1,64,0.015625,"Fuerteventura"
3,1,3,62,0.0483870967741935,"GranCanaria"
3,2,1,62,0.0161290322580645,"GranCanaria"
3,3,5,62,0.0806451612903226,"GranCanaria"
3,4,4,62,0.0645161290322581,"GranCanaria"
3,5,1,62,0.0161290322580645,"GranCanaria"
3,7,1,62,0.0161290322580645,"GranCanaria"
3,8,1,62,0.0161290322580645,"GranCanaria"
3,11,1,62,0.0161290322580645,"GranCanaria"
3,12,2,62,0.032258064516129,"GranCanaria"
3,13,1,62,0.0161290322580645,"GranCanaria"
3,14,1,62,0.0161290322580645,"GranCanaria"
3,15,1,62,0.0161290322580645,"GranCanaria"
3,16,1,62,0.0161290322580645,"GranCanaria"
3,18,1,62,0.0161290322580645,"GranCanaria"
3,19,2,62,0.032258064516129,"GranCanaria"
3,20,1,62,0.0161290322580645,"GranCanaria"
3,21,1,62,0.0161290322580645,"GranCanaria"
3,22,1,62,0.0161290322580645,"GranCanaria"
3,23,1,62,0.0161290322580645,"GranCanaria"
3,24,1,62,0.0161290322580645,"GranCanaria"
3,25,1,62,0.0161290322580645,"GranCanaria"
3,28,1,62,0.0161290322580645,"GranCanaria"
3,32,2,62,0.032258064516129,"GranCanaria"
3,33,1,62,0.0161290322580645,"GranCanaria"
3,34,1,62,0.0161290322580645,"GranCanaria"
3,35,8,62,0.129032258064516,"GranCanaria"
3,37,1,62,0.0161290322580645,"GranCanaria"
3,38,1,62,0.0161290322580645,"GranCanaria"
3,39,1,62,0.0161290322580645,"GranCanaria"
3,42,1,62,0.0161290322580645,"GranCanaria"
3,45,2,62,0.032258064516129,"GranCanaria"
3,47,1,62,0.0161290322580645,"GranCanaria"
3,53,1,62,0.0161290322580645,"GranCanaria"
3,54,1,62,0.0161290322580645,"GranCanaria"
3,60,1,62,0.0161290322580645,"GranCanaria"
3,61,1,62,0.0161290322580645,"GranCanaria"
3,64,1,62,0.0161290322580645,"GranCanaria"
3,66,1,62,0.0161290322580645,"GranCanaria"
3,67,1,62,0.0161290322580645,"GranCanaria"
3,75,1,62,0.0161290322580645,"GranCanaria"
3,84,1,62,0.0161290322580645,"GranCanaria"
3,85,1,62,0.0161290322580645,"GranCanaria"
4,1,4,84,0.0476190476190476,"TenerifeSouth"
4,2,2,84,0.0238095238095238,"TenerifeSouth"
4,3,2,84,0.0238095238095238,"TenerifeSouth"
4,4,1,84,0.0119047619047619,"TenerifeSouth"
4,5,1,84,0.0119047619047619,"TenerifeSouth"
4,6,7,84,0.0833333333333333,"TenerifeSouth"
4,7,1,84,0.0119047619047619,"TenerifeSouth"
4,8,1,84,0.0119047619047619,"TenerifeSouth"
4,9,4,84,0.0476190476190476,"TenerifeSouth"
4,10,5,84,0.0595238095238095,"TenerifeSouth"
4,11,3,84,0.0357142857142857,"TenerifeSouth"
4,12,1,84,0.0119047619047619,"TenerifeSouth"
4,13,1,84,0.0119047619047619,"TenerifeSouth"
4,14,1,84,0.0119047619047619,"TenerifeSouth"
4,15,1,84,0.0119047619047619,"TenerifeSouth"
4,16,1,84,0.0119047619047619,"TenerifeSouth"
4,17,1,84,0.0119047619047619,"TenerifeSouth"
4,18,1,84,0.0119047619047619,"TenerifeSouth"
4,20,1,84,0.0119047619047619,"TenerifeSouth"
4,21,1,84,0.0119047619047619,"TenerifeSouth"
4,22,4,84,0.0476190476190476,"TenerifeSouth"
4,24,1,84,0.0119047619047619,"TenerifeSouth"
4,25,1,84,0.0119047619047619,"TenerifeSouth"
4,28,1,84,0.0119047619047619,"TenerifeSouth"
4,29,4,84,0.0476190476190476,"TenerifeSouth"
4,31,1,84,0.0119047619047619,"TenerifeSouth"
4,32,1,84,0.0119047619047619,"TenerifeSouth"
4,33,1,84,0.0119047619047619,"TenerifeSouth"
4,35,1,84,0.0119047619047619,"TenerifeSouth"
4,36,2,84,0.0238095238095238,"TenerifeSouth"
4,37,1,84,0.0119047619047619,"TenerifeSouth"
4,38,1,84,0.0119047619047619,"TenerifeSouth"
4,39,1,84,0.0119047619047619,"TenerifeSouth"
4,46,1,84,0.0119047619047619,"TenerifeSouth"
4,47,1,84,0.0119047619047619,"TenerifeSouth"
4,48,1,84,0.0119047619047619,"TenerifeSouth"
4,49,1,84,0.0119047619047619,"TenerifeSouth"
4,51,1,84,0.0119047619047619,"TenerifeSouth"
4,54,1,84,0.0119047619047619,"TenerifeSouth"
4,58,3,84,0.0357142857142857,"TenerifeSouth"
4,59,2,84,0.0238095238095238,"TenerifeSouth"
4,61,1,84,0.0119047619047619,"TenerifeSouth"
4,63,1,84,0.0119047619047619,"TenerifeSouth"
4,64,1,84,0.0119047619047619,"TenerifeSouth"
4,67,1,84,0.0119047619047619,"TenerifeSouth"
4,69,1,84,0.0119047619047619,"TenerifeSouth"
4,70,1,84,0.0119047619047619,"TenerifeSouth"
4,71,1,84,0.0119047619047619,"TenerifeSouth"
4,72,1,84,0.0119047619047619,"TenerifeSouth"
4,73,1,84,0.0119047619047619,"TenerifeSouth"
4,76,1,84,0.0119047619047619,"TenerifeSouth"
4,77,1,84,0.0119047619047619,"TenerifeSouth"
4,79,1,84,0.0119047619047619,"TenerifeSouth"
4,86,1,84,0.0119047619047619,"TenerifeSouth"
5,1,5,77,0.0649350649350649,"TenerifeTeno"
5,2,2,77,0.025974025974026,"TenerifeTeno"
5,3,2,77,0.025974025974026,"TenerifeTeno"
5,4,3,77,0.038961038961039,"TenerifeTeno"
5,5,2,77,0.025974025974026,"TenerifeTeno"
5,6,1,77,0.012987012987013,"TenerifeTeno"
5,7,2,77,0.025974025974026,"TenerifeTeno"
5,8,1,77,0.012987012987013,"TenerifeTeno"
5,9,3,77,0.038961038961039,"TenerifeTeno"
5,10,5,77,0.0649350649350649,"TenerifeTeno"
5,11,2,77,0.025974025974026,"TenerifeTeno"
5,12,1,77,0.012987012987013,"TenerifeTeno"
5,13,1,77,0.012987012987013,"TenerifeTeno"
5,14,1,77,0.012987012987013,"TenerifeTeno"
5,16,1,77,0.012987012987013,"TenerifeTeno"
5,18,1,77,0.012987012987013,"TenerifeTeno"
5,19,3,77,0.038961038961039,"TenerifeTeno"
5,20,1,77,0.012987012987013,"TenerifeTeno"
5,21,1,77,0.012987012987013,"TenerifeTeno"
5,22,2,77,0.025974025974026,"TenerifeTeno"
5,23,2,77,0.025974025974026,"TenerifeTeno"
5,25,1,77,0.012987012987013,"TenerifeTeno"
5,26,1,77,0.012987012987013,"TenerifeTeno"
5,28,1,77,0.012987012987013,"TenerifeTeno"
5,29,3,77,0.038961038961039,"TenerifeTeno"
5,30,1,77,0.012987012987013,"TenerifeTeno"
5,31,3,77,0.038961038961039,"TenerifeTeno"
5,34,3,77,0.038961038961039,"TenerifeTeno"
5,37,1,77,0.012987012987013,"TenerifeTeno"
5,38,1,77,0.012987012987013,"TenerifeTeno"
5,40,1,77,0.012987012987013,"TenerifeTeno"
5,41,1,77,0.012987012987013,"TenerifeTeno"
5,42,1,77,0.012987012987013,"TenerifeTeno"
5,43,1,77,0.012987012987013,"TenerifeTeno"
5,45,1,77,0.012987012987013,"TenerifeTeno"
5,47,2,77,0.025974025974026,"TenerifeTeno"
5,51,1,77,0.012987012987013,"TenerifeTeno"
5,62,1,77,0.012987012987013,"TenerifeTeno"
5,65,1,77,0.012987012987013,"TenerifeTeno"
5,69,1,77,0.012987012987013,"TenerifeTeno"
5,70,1,77,0.012987012987013,"TenerifeTeno"
5,72,1,77,0.012987012987013,"TenerifeTeno"
5,73,1,77,0.012987012987013,"TenerifeTeno"
5,76,1,77,0.012987012987013,"TenerifeTeno"
5,77,1,77,0.012987012987013,"TenerifeTeno"
5,79,1,77,0.012987012987013,"TenerifeTeno"
5,80,1,77,0.012987012987013,"TenerifeTeno"
5,82,1,77,0.012987012987013,"TenerifeTeno"
5,85,1,77,0.012987012987013,"TenerifeTeno"
6,1,4,67,0.0597014925373134,"Gomera"
6,2,1,67,0.0149253731343284,"Gomera"
6,3,3,67,0.0447761194029851,"Gomera"
6,4,3,67,0.0447761194029851,"Gomera"
6,5,1,67,0.0149253731343284,"Gomera"
6,6,2,67,0.0298507462686567,"Gomera"
6,7,1,67,0.0149253731343284,"Gomera"
6,8,1,67,0.0149253731343284,"Gomera"
6,9,4,67,0.0597014925373134,"Gomera"
6,10,5,67,0.0746268656716418,"Gomera"
6,11,1,67,0.0149253731343284,"Gomera"
6,12,1,67,0.0149253731343284,"Gomera"
6,13,1,67,0.0149253731343284,"Gomera"
6,14,1,67,0.0149253731343284,"Gomera"
6,15,1,67,0.0149253731343284,"Gomera"
6,16,1,67,0.0149253731343284,"Gomera"
6,17,1,67,0.0149253731343284,"Gomera"
