,Species,,,,Structure (modules),,,,,,,
Scale,Empirical,M1,,,Empirical,M1,,,M2,M3,M4,Beta div.
,,P,A,PA,,P,A,PA,,,,
Sites,Ã,Ã,Ã,Ã,Ã,Ã,Ã,Ã,Ã,Ã,Ã,Sp > Int
Islands,Ã,Ã,Ã,Ã,Ã,Ã,Ã,Ã,X,Ã,Ã,Sp > Int
,,,,,,,,,,,,
