"layer_from","layer_to","number_of_modules","mean_distance","turnover","distance_in_km"
1,10,3,376943.1528,0.103448275862069,376.9431528
1,2,8,67.363151,0.666666666666667,0.067363151
1,3,4,190517.2168,0.2,190.5172168
1,4,5,190493.473,0.263157894736842,190.493473
1,5,5,284291.92,0.185185185185185,284.29192
1,6,5,284225.6416,0.178571428571429,284.2256416
1,7,3,337010.9202,0.107142857142857,337.0109202
1,8,4,337167.3216,0.148148148148148,337.1673216
1,9,1,376908.7486,0.0357142857142857,376.9087486
10,11,6,80069.46551,0.206896551724138,80.06946551
10,12,7,80109.96825,0.259259259259259,80.10996825
11,12,10,93.399466,0.588235294117647,0.093399466
2,10,3,376876.5125,0.111111111111111,376.8765125
2,3,4,190455.7312,0.222222222222222,190.4557312
2,4,4,190431.974,0.222222222222222,190.431974
2,5,5,284225.063,0.2,284.225063
2,6,5,284158.7826,0.192307692307692,284.1587826
2,7,3,336943.6391,0.115384615384615,336.9436391
2,8,4,337100.0413,0.16,337.1000413
2,9,1,376842.1066,0.0384615384615385,376.8421066
3,10,10,200296.3813,0.416666666666667,200.2963813
3,11,2,274321.0892,0.08,274.3210892
3,12,3,274386.7194,0.130434782608696,274.3867194
3,4,10,95.95512,0.625,0.09595512
3,5,8,116498.0882,0.307692307692308,116.4980882
3,6,9,116473.2763,0.346153846153846,116.4732763
3,7,7,173827.6658,0.269230769230769,173.8276658
3,8,7,173938.4686,0.269230769230769,173.9384686
3,9,7,200279.0495,0.291666666666667,200.2790495
4,10,8,200269.4864,0.307692307692308,200.2694864
4,11,2,274306.3841,0.08,274.3063841
4,12,2,274371.9913,0.0833333333333333,274.3719913
4,5,8,116448.0545,0.307692307692308,116.4480545
4,6,9,116423.1775,0.346153846153846,116.4231775
4,7,6,173779.1593,0.222222222222222,173.7791593
4,8,7,173890.0276,0.269230769230769,173.8900276
4,9,4,200252.1231,0.148148148148148,200.2521231
5,10,10,92982.62174,0.3125,92.98262174
5,11,4,172702.2428,0.129032258064516,172.7022428
5,12,4,172748.3908,0.133333333333333,172.7483908
5,6,17,95.901643,0.653846153846154,0.095901643
5,7,10,57391.05093,0.32258064516129,57.39105093
5,8,10,57507.0912,0.32258064516129,57.5070912
5,9,8,92943.79946,0.258064516129032,92.94379946
6,10,11,93055.34728,0.34375,93.05534728
6,11,4,172778.5189,0.125,172.7785189
6,12,4,172824.6395,0.129032258064516,172.8246395
6,7,11,57421.1674,0.354838709677419,57.4211674
6,8,11,57537.41864,0.354838709677419,57.53741864
6,9,6,93016.48528,0.176470588235294,93.01648528
7,10,9,52869.02752,0.28125,52.86902752
7,11,8,129490.6054,0.307692307692308,129.4906054
7,12,8,129514.9474,0.32,129.5149474
7,8,16,176.725963,0.666666666666667,0.176725963
7,9,9,52803.77965,0.310344827586207,52.80377965
8,10,11,52699.21787,0.366666666666667,52.69921787
8,11,7,129313.8797,0.259259259259259,129.3138797
8,12,9,129338.2219,0.375,129.3382219
8,9,8,52633.94478,0.266666666666667,52.63394478
9,10,15,70.701802,0.625,0.070701802
9,11,7,80115.5239,0.28,80.1155239
9,12,8,80155.97026,0.347826086956522,80.15597026
