"","layer_from","node_from","layer_to","node_to","weight"
"1",1,8,2,8,0.860990451384097
"2",1,8,3,8,0.87645361381956
"3",1,8,4,8,0.853824028541735
"4",1,8,5,8,0.844756442661504
"5",1,8,6,8,0.844602368427358
"6",1,8,7,8,0.837149498987334
"7",1,9,2,9,0.860990451384097
"8",1,9,3,9,0.87645361381956
"9",1,9,4,9,0.853824028541735
"10",1,9,5,9,0.844756442661504
"11",1,9,6,9,0.844602368427358
"12",1,9,7,9,0.837149498987334
"13",1,14,2,14,0.860990451384097
"14",1,14,4,14,0.853824028541735
"15",1,15,2,15,0.860990451384097
"16",1,17,2,17,0.860990451384097
"17",1,17,3,17,0.87645361381956
"18",1,17,4,17,0.853824028541735
"19",1,17,5,17,0.844756442661504
"20",1,17,6,17,0.844602368427358
"21",1,26,2,26,0.860990451384097
"22",1,26,3,26,0.87645361381956
"23",1,26,4,26,0.853824028541735
"24",1,26,5,26,0.844756442661504
"25",1,26,6,26,0.844602368427358
"26",1,12,3,12,0.87645361381956
"27",1,12,4,12,0.853824028541735
"28",1,12,5,12,0.844756442661504
"29",1,12,6,12,0.844602368427358
"30",2,8,1,8,0.860990451384097
"31",2,8,3,8,0.894390241787489
"32",2,8,4,8,0.86588315293041
"33",2,8,5,8,0.854285428133962
"34",2,8,6,8,0.846852661022826
"35",2,8,7,8,0.834515141041825
"36",2,9,1,9,0.860990451384097
"37",2,9,3,9,0.894390241787489
"38",2,9,4,9,0.86588315293041
"39",2,9,5,9,0.854285428133962
"40",2,9,6,9,0.846852661022826
"41",2,9,7,9,0.834515141041825
"42",2,14,1,14,0.860990451384097
"43",2,14,4,14,0.86588315293041
"44",2,17,1,17,0.860990451384097
"45",2,17,3,17,0.894390241787489
"46",2,17,4,17,0.86588315293041
"47",2,17,5,17,0.854285428133962
"48",2,17,6,17,0.846852661022826
"49",2,26,1,26,0.860990451384097
"50",2,26,3,26,0.894390241787489
"51",2,26,4,26,0.86588315293041
"52",2,26,5,26,0.854285428133962
"53",2,26,6,26,0.846852661022826
"54",2,36,6,36,0.846852661022826
"55",2,15,1,15,0.860990451384097
"56",3,8,1,8,0.87645361381956
"57",3,8,2,8,0.894390241787489
"58",3,8,4,8,0.932109694280795
"59",3,8,5,8,0.901156001087975
"60",3,8,6,8,0.890714569636423
"61",3,8,7,8,0.868329291910349
"62",3,9,1,9,0.87645361381956
"63",3,9,2,9,0.894390241787489
"64",3,9,4,9,0.932109694280795
"65",3,9,5,9,0.901156001087975
"66",3,9,6,9,0.890714569636423
"67",3,9,7,9,0.868329291910349
"68",3,12,1,12,0.87645361381956
"69",3,12,4,12,0.932109694280795
"70",3,12,5,12,0.901156001087975
"71",3,12,6,12,0.890714569636423
"72",3,16,5,16,0.901156001087975
"73",3,16,6,16,0.890714569636423
"74",3,17,1,17,0.87645361381956
"75",3,17,2,17,0.894390241787489
"76",3,17,4,17,0.932109694280795
"77",3,17,5,17,0.901156001087975
"78",3,17,6,17,0.890714569636423
"79",3,26,1,26,0.87645361381956
"80",3,26,2,26,0.894390241787489
"81",3,26,4,26,0.932109694280795
"82",3,26,5,26,0.901156001087975
"83",3,26,6,26,0.890714569636423
"84",3,34,4,34,0.932109694280795
"85",3,34,6,34,0.890714569636423
"86",3,35,5,35,0.901156001087975
"87",3,35,6,35,0.890714569636423
"88",3,35,7,35,0.868329291910349
"89",3,38,4,38,0.932109694280795
"90",3,38,5,38,0.901156001087975
