"layer_from","layer_to","mean_distance","ave","sd","type","distance_in_km"
1,2,305248.84735,0.122950819672131,NA,"empirical",305.24884735
1,3,244280.590775,0.072,NA,"empirical",244.280590775
1,4,339381.7762,0.0833333333333333,NA,"empirical",339.3817762
1,5,389094.179225,0.0714285714285714,NA,"empirical",389.094179225
1,6,390008.86975,0.0775193798449612,NA,"empirical",390.00886975
1,7,437371.016375,0.0300751879699248,NA,"empirical",437.371016375
2,3,190474.59875,0.154545454545455,NA,"empirical",190.47459875
2,4,284225.3518,0.146153846153846,NA,"empirical",284.2253518
2,5,337055.48055,0.108527131782946,NA,"empirical",337.05548055
2,6,376892.630125,0.178571428571429,NA,"empirical",376.892630125
2,7,455676.643375,0.092436974789916,NA,"empirical",455.676643375
3,4,116460.649125,0.258620689655172,NA,"empirical",116.460649125
3,5,173858.830325,0.238938053097345,NA,"empirical",173.858830325
3,6,200274.260075,0.264705882352941,NA,"empirical",200.274260075
3,7,274346.546,0.175925925925926,NA,"empirical",274.346546
4,5,57464.1820425,0.285714285714286,NA,"empirical",57.4641820425
4,6,92999.56344,0.279661016949153,NA,"empirical",92.99956344
4,7,172763.448,0.173228346456693,NA,"empirical",172.763448
5,6,52751.492455,0.228813559322034,NA,"empirical",52.751492455
5,7,129414.4136,0.222222222222222,NA,"empirical",129.4144136
6,7,80112.73198,0.257142857142857,NA,"empirical",80.11273198
1,2,305248.84735,0.171263484164069,0.0257061944492296,"null_pollinators",305.24884735
1,3,244280.590775,0.154654229628489,0.0244805306453966,"null_pollinators",244.280590775
1,4,339381.7762,0.163165468813322,0.0225235137705331,"null_pollinators",339.3817762
1,5,389094.179225,0.147161619070949,0.0221300739348537,"null_pollinators",389.094179225
1,6,390008.86975,0.152417087193729,0.0239795141737329,"null_pollinators",390.00886975
1,7,437371.016375,0.129433036900074,0.0232502490355155,"null_pollinators",437.371016375
2,3,190474.59875,0.150247048070636,0.02424807133011,"null_pollinators",190.47459875
2,4,284225.3518,0.157893376161871,0.023341290879892,"null_pollinators",284.2253518
2,5,337055.48055,0.143200366313088,0.0227877542637671,"null_pollinators",337.05548055
2,6,376892.630125,0.156881083171148,0.0252477584933056,"null_pollinators",376.892630125
2,7,455676.643375,0.132436331734761,0.0232663005489283,"null_pollinators",455.676643375
3,4,116460.649125,0.170119330737487,0.0242810793722536,"null_pollinators",116.460649125
3,5,173858.830325,0.175462838694344,0.024839549357529,"null_pollinators",173.858830325
3,6,200274.260075,0.182155794572274,0.0257028042369498,"null_pollinators",200.274260075
3,7,274346.546,0.146937329147258,0.0247420788707453,"null_pollinators",274.346546
4,5,57464.1820425,0.189690848865758,0.0226507740682575,"null_pollinators",57.4641820425
4,6,92999.56344,0.193901922787609,0.0242136772514665,"null_pollinators",92.99956344
4,7,172763.448,0.163585067405116,0.0231523732316611,"null_pollinators",172.763448
5,6,52751.492455,0.201298806624828,0.0240827556699564,"null_pollinators",52.751492455
5,7,129414.4136,0.178137844923269,0.0253776524761294,"null_pollinators",129.4144136
6,7,80112.73198,0.173042066767635,0.0248286135456796,"null_pollinators",80.11273198
1,2,305248.84735,0.109852264054339,0.0100727306803143,"null_plants",305.24884735
1,3,244280.590775,0.075706001364815,0.0104131187494086,"null_plants",244.280590775
1,4,339381.7762,0.0866990798224496,0.00952181591974262,"null_plants",339.3817762
1,5,389094.179225,0.0876375575968715,0.010326465982646,"null_plants",389.094179225
1,6,390008.86975,0.0879534762729196,0.0110602200387406,"null_plants",390.00886975
1,7,437371.016375,0.0557904294026159,0.00946753015608976,"null_plants",437.371016375
2,3,190474.59875,0.160160593462098,0.0113155480856198,"null_plants",190.47459875
2,4,284225.3518,0.148680707867755,0.010077426661927,"null_plants",284.2253518
2,5,337055.48055,0.123773786542177,0.0100561104631907,"null_plants",337.05548055
2,6,376892.630125,0.18004825221044,0.0118014379536633,"null_plants",376.892630125
2,7,455676.643375,0.115117799193456,0.0105376866708889,"null_plants",455.676643375
3,4,116460.649125,0.25298842968155,0.0140268709418328,"null_plants",116.460649125
3,5,173858.830325,0.229101403313144,0.0139547401974486,"null_plants",173.858830325
3,6,200274.260075,0.243242106456893,0.0149770760229365,"null_plants",200.274260075
3,7,274346.546,0.189500009435861,0.0128621952613373,"null_plants",274.346546
4,5,57464.1820425,0.271761264622902,0.0145310924225041,"null_plants",57.4641820425
4,6,92999.56344,0.253063795205925,0.0141622108885202,"null_plants",92.99956344
4,7,172763.448,0.174515467819802,0.0115126667851495,"null_plants",172.763448
5,6,52751.492455,0.20065959456704,0.0138566786466365,"null_plants",52.751492455
5,7,129414.4136,0.208667696940224,0.0126428904964412,"null_plants",129.4144136
6,7,80112.73198,0.244306839402344,0.0142255251397828,"null_plants",80.11273198
1,2,305248.84735,0.157548686668365,0.0270212667311444,"null_both",305.24884735
1,3,244280.590775,0.160005710873626,0.0269910260569452,"null_both",244.280590775
1,4,339381.7762,0.167490943682063,0.0252050317583324,"null_both",339.3817762
1,5,389094.179225,0.166531788369958,0.0258027655260659,"null_both",389.094179225
1,6,390008.86975,0.164311228819328,0.0278919097667939,"null_both",390.00886975
1,7,437371.016375,0.159933487886083,0.0272258966058263,"null_both",437.371016375
2,3,190474.59875,0.15648502057958,0.0267101096827833,"null_both",190.47459875
2,4,284225.3518,0.160138832999868,0.0253706800234547,"null_both",284.2253518
2,5,337055.48055,0.159506730560357,0.0261661347740597,"null_both",337.05548055
2,6,376892.630125,0.158691307001504,0.0278401231110959,"null_both",376.892630125
2,7,455676.643375,0.156694727329068,0.026740515311311,"null_both",455.676643375
3,4,116460.649125,0.16504722375692,0.0272453994560088,"null_both",116.460649125
3,5,173858.830325,0.166327766751774,0.0276244361837371,"null_both",173.858830325
3,6,200274.260075,0.16334885921139,0.0284953468423782,"null_both",200.274260075
3,7,274346.546,0.159352415868426,0.0279096663127318,"null_both",274.346546
4,5,57464.1820425,0.176921194641945,0.0254072886234892,"null_both",57.4641820425
4,6,92999.56344,0.170789572711459,0.0263668491280806,"null_both",92.99956344
4,7,172763.448,0.164727477418184,0.0258983529178096,"null_both",172.763448
5,6,52751.492455,0.174542518985656,0.0267391870373484,"null_both",52.751492455
5,7,129414.4136,0.164542634998503,0.0272758508000734,"null_both",129.4144136
6,7,80112.73198,0.161723757361394,0.0271439570369451,"null_both",80.11273198
