"node_id","module","layer_id","flow","type","species"
156,3,6,3.60231e-05,"pollinator","Halictus_fulvipes"
157,10,4,2.81964e-05,"pollinator","Holepyris_sp."
158,29,5,0.000141322,"pollinator","Hylaeus_ater"
159,35,3,0.000297057,"pollinator","Hylaeus_hohmanni"
160,3,1,0.000188359,"pollinator","Hylaeus_sp."
161,55,1,0.000111118,"pollinator","Hym._Waiting<85>."
162,32,7,0.000241521,"pollinator","Lasioglossum_arctifrons"
163,16,2,0.00238843,"pollinator","Lasioglossum_loetum"
163,16,3,0.00283646,"pollinator","Lasioglossum_loetum"
163,16,4,0.00257929,"pollinator","Lasioglossum_loetum"
163,16,5,0.00262611,"pollinator","Lasioglossum_loetum"
163,16,6,0.00325747,"pollinator","Lasioglossum_loetum"
163,16,7,0.002835,"pollinator","Lasioglossum_loetum"
164,3,1,0.000329919,"pollinator","Lasioglossum_phoenicurum"
165,13,3,0.00411349,"pollinator","Lasioglossum_viride"
165,13,4,0.00397572,"pollinator","Lasioglossum_viride"
165,13,5,0.00493862,"pollinator","Lasioglossum_viride"
165,13,6,0.00549275,"pollinator","Lasioglossum_viride"
165,13,7,0.00403472,"pollinator","Lasioglossum_viride"
166,31,5,0.000390073,"pollinator","Leptochilus_cruentatus"
167,69,4,0.000266201,"pollinator","Leptochilus_eatoni"
167,69,5,0.000292224,"pollinator","Leptochilus_eatoni"
168,5,2,0.000261448,"pollinator","Leptochilus_fortunatus"
169,6,7,1.99779e-05,"pollinator","Linnaemyia_soror"
170,15,1,0.00319901,"pollinator","Lucilia_sericata"
170,15,2,0.0027028,"pollinator","Lucilia_sericata"
170,15,3,0.00268611,"pollinator","Lucilia_sericata"
170,15,4,0.00283578,"pollinator","Lucilia_sericata"
170,15,6,0.00273051,"pollinator","Lucilia_sericata"
170,15,7,0.00260921,"pollinator","Lucilia_sericata"
171,1,1,0.00019106,"pollinator","Lucilia_sp._1"
172,30,1,4.75361e-05,"pollinator","Macrocoma_cf._henoni"
173,6,4,4.1882e-05,"pollinator","Macrocoma_splendens"
174,19,3,1.54962e-05,"pollinator","Macroglossum_stellatarum"
