"layer_from","layer_to","ave","ave_dist","trial","ave_dist_in_km"
1,2,0.361111111111111,305248.84735,"empirical",305.24884735
1,3,0.176470588235294,244280.590775,"empirical",244.280590775
1,4,0.2,339381.7762,"empirical",339.3817762
1,5,0.175438596491228,389094.179225,"empirical",389.094179225
1,6,0.175438596491228,390008.86975,"empirical",390.00886975
1,7,0.0769230769230769,437371.016375,"empirical",437.371016375
2,3,0.303571428571429,190474.59875,"empirical",190.47459875
2,4,0.26865671641791,284225.3518,"empirical",284.2253518
2,5,0.212121212121212,337055.48055,"empirical",337.05548055
2,6,0.355932203389831,376892.630125,"empirical",376.892630125
2,7,0.189655172413793,455676.643375,"empirical",455.676643375
3,4,0.476923076923077,116460.649125,"empirical",116.460649125
3,5,0.421875,173858.830325,"empirical",173.858830325
3,6,0.444444444444444,200274.260075,"empirical",200.274260075
3,7,0.311475409836066,274346.546,"empirical",274.346546
4,5,0.492753623188406,57464.1820425,"empirical",57.4641820425
4,6,0.430555555555556,92999.56344,"empirical",92.99956344
4,7,0.277777777777778,172763.448,"empirical",172.763448
5,6,0.4,52751.492455,"empirical",52.751492455
5,7,0.380952380952381,129414.4136,"empirical",129.4144136
6,7,0.45,80112.73198,"empirical",80.11273198
1,2,0,305248.84735,"0.1",305.24884735
1,3,0,244280.590775,"0.1",244.280590775
1,4,0,339381.7762,"0.1",339.3817762
1,5,0,389094.179225,"0.1",389.094179225
1,6,0,390008.86975,"0.1",390.00886975
1,7,0,437371.016375,"0.1",437.371016375
2,3,0,190474.59875,"0.1",190.47459875
2,4,0,284225.3518,"0.1",284.2253518
2,5,0,337055.48055,"0.1",337.05548055
2,6,0,376892.630125,"0.1",376.892630125
2,7,0,455676.643375,"0.1",455.676643375
3,4,0.05,116460.649125,"0.1",116.460649125
3,5,0.0434782608695652,173858.830325,"0.1",173.858830325
3,6,0.0526315789473684,200274.260075,"0.1",200.274260075
3,7,0.0588235294117647,274346.546,"0.1",274.346546
4,5,0.136363636363636,57464.1820425,"0.1",57.4641820425
4,6,0.05,92999.56344,"0.1",92.99956344
4,7,0.0555555555555556,172763.448,"0.1",172.763448
5,6,0.0434782608695652,52751.492455,"0.1",52.751492455
5,7,0.1,129414.4136,"0.1",129.4144136
6,7,0.0588235294117647,80112.73198,"0.1",80.11273198
1,2,0,305248.84735,"0.2",305.24884735
1,3,0,244280.590775,"0.2",244.280590775
1,4,0,339381.7762,"0.2",339.3817762
1,5,0,389094.179225,"0.2",389.094179225
1,6,0,390008.86975,"0.2",390.00886975
1,7,0,437371.016375,"0.2",437.371016375
2,3,0.125,190474.59875,"0.2",190.47459875
2,4,0,284225.3518,"0.2",284.2253518
2,5,0,337055.48055,"0.2",337.05548055
2,6,0.0588235294117647,376892.630125,"0.2",376.892630125
2,7,0.0666666666666667,455676.643375,"0.2",455.676643375
3,4,0.142857142857143,116460.649125,"0.2",116.460649125
3,5,0.136363636363636,173858.830325,"0.2",173.858830325
3,6,0.1,200274.260075,"0.2",200.274260075
3,7,0.111111111111111,274346.546,"0.2",274.346546
4,5,0.35,57464.1820425,"0.2",57.4641820425
4,6,0.0434782608695652,92999.56344,"0.2",92.99956344
4,7,0.0476190476190476,172763.448,"0.2",172.763448
5,6,0.0416666666666667,52751.492455,"0.2",52.751492455
5,7,0.0952380952380952,129414.4136,"0.2",129.4144136
6,7,0.176470588235294,80112.73198,"0.2",80.11273198
1,2,0.0666666666666667,305248.84735,"0.3",305.24884735
1,3,0,244280.590775,"0.3",244.280590775
1,4,0,339381.7762,"0.3",339.3817762
1,5,0,389094.179225,"0.3",389.094179225
1,6,0,390008.86975,"0.3",390.00886975
1,7,0,437371.016375,"0.3",437.371016375
2,3,0.117647058823529,190474.59875,"0.3",190.47459875
2,4,0,284225.3518,"0.3",284.2253518
2,5,0,337055.48055,"0.3",337.05548055
2,6,0.0526315789473684,376892.630125,"0.3",376.892630125
2,7,0.0666666666666667,455676.643375,"0.3",455.676643375
3,4,0.25,116460.649125,"0.3",116.460649125
3,5,0.238095238095238,173858.830325,"0.3",173.858830325
3,6,0.19047619047619,200274.260075,"0.3",200.274260075
3,7,0.166666666666667,274346.546,"0.3",274.346546
4,5,0.421052631578947,57464.1820425,"0.3",57.4641820425
4,6,0.130434782608696,92999.56344,"0.3",92.99956344
4,7,0.1,172763.448,"0.3",172.763448
5,6,0.125,52751.492455,"0.3",52.751492455
5,7,0.15,129414.4136,"0.3",129.4144136
6,7,0.375,80112.73198,"0.3",80.11273198
1,2,0.2,305248.84735,"0.4",305.24884735
1,3,0.0454545454545455,244280.590775,"0.4",244.280590775
1,4,0,339381.7762,"0.4",339.3817762
1,5,0,389094.179225,"0.4",389.094179225
1,6,0.0434782608695652,390008.86975,"0.4",390.00886975
1,7,0.0526315789473684,437371.016375,"0.4",437.371016375
2,3,0.1875,190474.59875,"0.4",190.47459875
2,4,0.05,284225.3518,"0.4",284.2253518
2,5,0.0526315789473684,337055.48055,"0.4",337.05548055
2,6,0.0526315789473684,376892.630125,"0.4",376.892630125
2,7,0.0666666666666667,455676.643375,"0.4",455.676643375
3,4,0.238095238095238,116460.649125,"0.4",116.460649125
3,5,0.25,173858.830325,"0.4",173.858830325
3,6,0.136363636363636,200274.260075,"0.4",200.274260075
