"layer_from","layer_to","ave","sd","mean_distance","type"
1,2,0.504042685008908,0.0790518714961153,305248.84735,"null_pollinators"
1,3,0.47386361179721,0.0742204760170886,244280.590775,"null_pollinators"
1,4,0.523139173696588,0.0720820343771725,339381.7762,"null_pollinators"
1,5,0.484331649832724,0.0721137016759518,389094.179225,"null_pollinators"
1,6,0.464959579007046,0.0712743115926911,390008.86975,"null_pollinators"
1,7,0.321093877927602,0.0704488493172488,437371.016375,"null_pollinators"
2,3,0.465218034020786,0.075070834243966,190474.59875,"null_pollinators"
2,4,0.507007388116974,0.071899576015508,284225.3518,"null_pollinators"
2,5,0.477459016655531,0.0722461285338878,337055.48055,"null_pollinators"
2,6,0.466177125037012,0.0734774516270809,376892.630125,"null_pollinators"
2,7,0.322918462560314,0.0800619930566399,455676.643375,"null_pollinators"
3,4,0.50606905584576,0.0710575727953884,116460.649125,"null_pollinators"
3,5,0.511679806901221,0.0763466735095642,173858.830325,"null_pollinators"
3,6,0.502224813418263,0.0775552236457809,200274.260075,"null_pollinators"
3,7,0.358782442607995,0.0773950479097512,274346.546,"null_pollinators"
4,5,0.536732462520892,0.0723002503119787,57464.1820425,"null_pollinators"
4,6,0.511379553369882,0.072943319991211,92999.56344,"null_pollinators"
4,7,0.35981368369251,0.0685375612199688,172763.448,"null_pollinators"
5,6,0.524475087846912,0.0771178112374363,52751.492455,"null_pollinators"
5,7,0.374219113638419,0.0725733745894021,129414.4136,"null_pollinators"
6,7,0.397057249560601,0.0791364473816628,80112.73198,"null_pollinators"
