"module","node_id","layer_id","flow","type","species","size_of_module"
25,187,1,0.00165409,"pollinator","Musca_domestica",5
25,187,3,0.00186344,"pollinator","Musca_domestica",5
25,187,6,0.00166942,"pollinator","Musca_domestica",5
25,187,4,0.0017421,"pollinator","Musca_domestica",5
26,242,1,0.00251287,"pollinator","Sciaridae_sp.",4
26,242,7,0.00161264,"pollinator","Sciaridae_sp.",4
26,242,2,0.00191635,"pollinator","Sciaridae_sp.",4
26,242,5,0.00168952,"pollinator","Sciaridae_sp.",4
27,210,2,0.000266128,"pollinator","Phalacrus_coruscus",6
27,210,7,0.000369176,"pollinator","Phalacrus_coruscus",6
27,248,7,0.000306063,"pollinator","Spathulina_sicula",6
27,33,7,0.00281006,"plant","Phagnalon.saxatile",6
27,283,6,3.11208e-05,"pollinator","Trupanea_augur",6
27,33,6,0.00348828,"plant","Phagnalon.saxatile",6
28,60,6,0.00187556,"pollinator","Apis_mellifera",4
28,60,5,0.00145495,"pollinator","Apis_mellifera",4
28,60,3,0.00158609,"pollinator","Apis_mellifera",4
28,60,4,0.00179413,"pollinator","Apis_mellifera",4
29,222,1,0.00010612,"pollinator","Proconura_sp._1",14
29,172,1,4.78047e-05,"pollinator","Macrocoma_cf._henoni",14
29,72,1,0.000189153,"pollinator","Attagenus_sp._1",14
29,82,1,6.14449e-05,"pollinator","Axinotarsus_sp._1",14
29,104,5,0.00026273,"pollinator","Chloropidae_sp.",14
29,231,1,3.53735e-05,"pollinator","Sarcophagidae_sp.",14
29,28,1,0.00053268,"plant","Nauplius.sp.",14
29,61,1,3.53735e-05,"pollinator","Aplocnemus_sp._2",14
29,230,1,4.80649e-05,"pollinator","Sarcophaga_sp._1",14
29,194,1,0.00189097,"pollinator","Nomioides_deceptor",14
29,51,1,9.77595e-05,"pollinator","Andrena_vachali",14
29,221,1,6.07563e-05,"pollinator","Podalonia_sp.",14
29,3,1,0.00293736,"plant","Asparagus.pastorianus",14
29,104,1,0.000356269,"pollinator","Chloropidae_sp.",14
30,151,3,3.73786e-05,"pollinator","Gasteruption_sp.",11
30,11,3,0.0042113,"plant","Euphorbia.regis.jubae",11
