"values","group"
0.027027027027027,"intra plants"
0.0135135135135135,"intra plants"
0.0540540540540541,"intra plants"
0.148648648648649,"intra plants"
0.0540540540540541,"intra plants"
0.027027027027027,"intra plants"
0.0087719298245614,"intra plants"
0.0087719298245614,"intra plants"
0.0087719298245614,"intra plants"
0.0087719298245614,"intra plants"
0.0526315789473684,"intra plants"
0.263157894736842,"intra plants"
0.210526315789474,"intra plants"
0.00476190476190476,"intra plants"
0.00476190476190476,"intra plants"
0.00476190476190476,"intra plants"
0.00476190476190476,"intra plants"
0.00476190476190476,"intra plants"
0.0857142857142857,"intra plants"
0.0714285714285714,"intra plants"
0.00952380952380952,"intra plants"
0.00952380952380952,"intra plants"
0.00476190476190476,"intra plants"
0.00476190476190476,"intra plants"
0.019047619047619,"intra plants"
0.138095238095238,"intra plants"
0.0714285714285714,"intra plants"
0.119047619047619,"intra plants"
0.00476190476190476,"intra plants"
1,"intra plants"
0.166666666666667,"intra plants"
0.0483870967741935,"intra plants"
0.112903225806452,"intra plants"
0.0161290322580645,"intra plants"
0.0161290322580645,"intra plants"
0.0483870967741935,"intra plants"
0.0645161290322581,"intra plants"
0.0645161290322581,"intra plants"
0.0714285714285714,"intra plants"
0.0714285714285714,"intra plants"
0.0714285714285714,"intra plants"
0.357142857142857,"intra plants"
0.428571428571429,"intra plants"
0.0571428571428571,"intra plants"
0.0285714285714286,"intra plants"
0.0285714285714286,"intra plants"
0.0833333333333333,"intra plants"
0.333333333333333,"intra plants"
0.0833333333333333,"intra plants"
0.333333333333333,"intra plants"
0.125,"intra plants"
0.125,"intra plants"
0.125,"intra plants"
0.125,"intra plants"
0.125,"intra plants"
0.125,"intra plants"
0.125,"intra plants"
1,"intra plants"
0.0135135135135135,"intra plants"
0.0135135135135135,"intra plants"
0.0135135135135135,"intra plants"
0.540540540540541,"intra plants"
0.0135135135135135,"intra plants"
0.0405405405405405,"intra plants"
0.0135135135135135,"intra plants"
0.0135135135135135,"intra plants"
0.0135135135135135,"intra plants"
0.0175438596491228,"intra plants"
0.0087719298245614,"intra plants"
0.0263157894736842,"intra plants"
0.087719298245614,"intra plants"
0.114035087719298,"intra plants"
0.184210526315789,"intra plants"
0.00476190476190476,"intra plants"
0.00476190476190476,"intra plants"
0.00476190476190476,"intra plants"
0.00476190476190476,"intra plants"
0.00952380952380952,"intra plants"
0.00476190476190476,"intra plants"
0.00476190476190476,"intra plants"
0.0238095238095238,"intra plants"
0.00952380952380952,"intra plants"
0.00952380952380952,"intra plants"
0.0285714285714286,"intra plants"
0.00476190476190476,"intra plants"
0.00476190476190476,"intra plants"
0.00952380952380952,"intra plants"
0.00952380952380952,"intra plants"
0.0333333333333333,"intra plants"
0.166666666666667,"intra plants"
0.00476190476190476,"intra plants"
0.00476190476190476,"intra plants"
0.019047619047619,"intra plants"
0.0571428571428571,"intra plants"
0.0142857142857143,"intra plants"
0.75,"intra plants"
0.25,"intra plants"
0.166666666666667,"intra plants"
0.166666666666667,"intra plants"
0.166666666666667,"intra plants"
0.166666666666667,"intra plants"
0.166666666666667,"intra plants"
0.112903225806452,"intra plants"
