"values","group"
0.027027027027027,"intra"
0.0135135135135135,"intra"
0.0540540540540541,"intra"
0.148648648648649,"intra"
0.0540540540540541,"intra"
0.027027027027027,"intra"
0.0087719298245614,"intra"
0.0087719298245614,"intra"
0.0087719298245614,"intra"
0.0087719298245614,"intra"
0.0526315789473684,"intra"
0.263157894736842,"intra"
0.210526315789474,"intra"
0.00476190476190476,"intra"
0.00476190476190476,"intra"
0.00476190476190476,"intra"
0.00476190476190476,"intra"
0.00476190476190476,"intra"
0.0857142857142857,"intra"
0.0714285714285714,"intra"
0.00952380952380952,"intra"
0.00952380952380952,"intra"
0.00476190476190476,"intra"
0.00476190476190476,"intra"
0.019047619047619,"intra"
0.138095238095238,"intra"
0.0714285714285714,"intra"
0.119047619047619,"intra"
0.00476190476190476,"intra"
1,"intra"
0.166666666666667,"intra"
0.0483870967741935,"intra"
0.112903225806452,"intra"
0.0161290322580645,"intra"
0.0161290322580645,"intra"
0.0483870967741935,"intra"
0.0645161290322581,"intra"
0.0645161290322581,"intra"
0.0714285714285714,"intra"
0.0714285714285714,"intra"
0.0714285714285714,"intra"
0.357142857142857,"intra"
0.428571428571429,"intra"
0.0571428571428571,"intra"
0.0285714285714286,"intra"
0.0285714285714286,"intra"
0.0833333333333333,"intra"
0.333333333333333,"intra"
0.0833333333333333,"intra"
0.333333333333333,"intra"
0.125,"intra"
0.125,"intra"
0.125,"intra"
0.125,"intra"
0.125,"intra"
0.125,"intra"
0.125,"intra"
1,"intra"
0.0135135135135135,"intra"
0.0135135135135135,"intra"
0.0135135135135135,"intra"
0.540540540540541,"intra"
0.0135135135135135,"intra"
0.0405405405405405,"intra"
0.0135135135135135,"intra"
0.0135135135135135,"intra"
0.0135135135135135,"intra"
0.0175438596491228,"intra"
0.0087719298245614,"intra"
0.0263157894736842,"intra"
0.087719298245614,"intra"
0.114035087719298,"intra"
0.184210526315789,"intra"
0.00476190476190476,"intra"
0.00476190476190476,"intra"
0.00476190476190476,"intra"
0.00476190476190476,"intra"
0.00952380952380952,"intra"
0.00476190476190476,"intra"
0.00476190476190476,"intra"
0.0238095238095238,"intra"
0.00952380952380952,"intra"
0.00952380952380952,"intra"
0.0285714285714286,"intra"
0.00476190476190476,"intra"
0.00476190476190476,"intra"
0.00952380952380952,"intra"
0.00952380952380952,"intra"
0.0333333333333333,"intra"
0.166666666666667,"intra"
0.00476190476190476,"intra"
0.00476190476190476,"intra"
0.019047619047619,"intra"
0.0571428571428571,"intra"
0.0142857142857143,"intra"
0.75,"intra"
0.25,"intra"
0.166666666666667,"intra"
0.166666666666667,"intra"
0.166666666666667,"intra"
0.166666666666667,"intra"
0.166666666666667,"intra"
0.112903225806452,"intra"
0.032258064516129,"intra"
0.0161290322580645,"intra"
0.0806451612903226,"intra"
0.0967741935483871,"intra"
0.0161290322580645,"intra"
0.0483870967741935,"intra"
0.0161290322580645,"intra"
0.0483870967741935,"intra"
0.0967741935483871,"intra"
0.0161290322580645,"intra"
0.0483870967741935,"intra"
0.0857142857142857,"intra"
0.0285714285714286,"intra"
0.285714285714286,"intra"
0.0285714285714286,"intra"
0.0857142857142857,"intra"
0.257142857142857,"intra"
0.0285714285714286,"intra"
0.0857142857142857,"intra"
0.0833333333333333,"intra"
0.0833333333333333,"intra"
0.125,"intra"
0.00746268656716418,"intra"
0.0298507462686567,"intra"
0.00746268656716418,"intra"
0.00746268656716418,"intra"
0.335820895522388,"intra"
0.0315457413249211,"intra"
0.0157728706624606,"intra"
0.0315457413249211,"intra"
0.00315457413249211,"intra"
0.00315457413249211,"intra"
0.0126182965299685,"intra"
0.00315457413249211,"intra"
0.00315457413249211,"intra"
0.00315457413249211,"intra"
0.167192429022082,"intra"
0.056782334384858,"intra"
0.00315457413249211,"intra"
0.0189274447949527,"intra"
0.00315457413249211,"intra"
0.0662460567823344,"intra"
0.0769230769230769,"intra"
0.153846153846154,"intra"
0.461538461538462,"intra"
0.021978021978022,"intra"
0.010989010989011,"intra"
