"","1","2","3","4","5","6","7"
"1",48,44,12,16,20,16,20
"2",0,4,4,8,8,4,4
"3",52,48,20,8,8,12,0
"4",20,8,16,4,12,12,4
"5",20,16,4,4,8,4,0
"6",0,0,0,28,4,8,36
"7",0,4,4,4,8,4,4
"8",0,4,4,4,4,4,4
"9",0,0,0,16,12,16,12
"10",0,0,0,20,20,20,0
"11",0,0,4,12,8,4,12
"12",0,4,8,4,4,4,4
"13",0,0,4,4,4,4,4
"14",12,0,4,4,4,4,0
"15",4,4,4,4,0,4,4
"16",0,4,4,4,4,4,4
"17",4,4,0,4,0,4,0
"18",4,4,4,4,4,4,0
"19",0,0,8,0,12,8,8
"20",4,4,4,4,4,4,0
"21",0,4,4,4,4,0,0
"22",0,0,4,16,8,8,0
"23",0,0,4,0,8,4,16
"24",0,4,4,4,0,4,4
"25",4,0,4,4,4,4,0
"26",4,4,0,0,4,0,4
"27",0,4,0,0,0,8,12
"28",0,0,4,4,4,4,0
"29",0,0,0,16,12,0,0
"30",52,0,0,0,4,0,0
"31",0,0,0,4,12,0,4
"32",0,0,8,4,0,0,16
"33",0,0,4,4,0,4,0
"34",0,0,4,0,12,0,12
"35",0,0,32,4,0,0,0
"36",4,8,0,8,0,0,0
"37",0,0,4,4,4,4,0
"38",0,0,4,4,4,0,0
"39",0,4,4,4,0,4,0
"40",0,0,0,0,4,4,4
"41",0,0,0,0,4,4,4
"42",0,0,4,0,4,4,4
"43",0,0,0,0,4,4,4
"44",16,4,0,0,0,0,0
"45",0,0,8,0,4,4,0
"46",0,0,0,4,0,4,4
"47",0,0,4,4,8,0,0
"48",0,0,0,4,0,4,4
"49",0,4,0,4,0,4,0
"50",4,12,0,0,0,0,0
"51",0,0,0,4,4,0,4
"52",0,20,0,0,0,0,0
"53",0,0,4,0,0,4,4
"54",0,0,4,4,0,0,4
"55",24,0,0,0,0,0,0
"56",0,0,0,0,0,4,4
"57",0,8,0,0,0,4,0
"58",0,0,0,12,0,0,0
"59",0,0,0,8,0,0,4
"60",0,0,4,0,0,0,4
"61",0,0,4,4,0,0,0
"62",0,4,0,0,4,0,0
"63",0,0,0,4,0,4,0
"64",0,0,4,4,0,0,0
"65",0,0,0,0,4,0,4
"66",0,0,4,0,0,4,0
"67",0,0,4,4,0,0,0
"68",0,0,0,0,0,4,4
"69",0,0,0,4,4,0,0
"70",0,0,0,4,4,0,0
"71",0,0,0,4,0,4,0
"72",0,0,0,4,4,0,0
"73",0,0,0,4,4,0,0
"74",0,0,0,0,0,4,4
"75",0,4,4,0,0,0,0
"76",0,0,0,4,4,0,0
"77",0,0,0,4,4,0,0
"78",0,4,0,0,0,4,0
"79",0,0,0,4,4,0,0
"80",0,0,0,0,4,0,4
"81",0,0,0,0,0,4,4
"82",0,0,0,0,4,0,4
"83",0,4,0,0,0,4,0
"84",0,4,4,0,0,0,0
"85",0,0,4,0,4,0,0
"86",4,0,0,4,0,0,0
"87",4,4,0,0,0,0,0
"88",0,4,0,0,0,4,0
