"module","n"
1,44
2,8
3,37
4,19
5,14
6,19
7,7
8,6
9,16
10,17
11,10
12,7
13,5
14,7
15,6
16,6
17,4
18,6
19,9
20,6
21,4
22,9
23,8
24,5
25,5
26,4
27,6
28,4
29,14
30,11
31,5
32,7
33,7
34,3
35,7
36,5
37,3
38,4
39,4
40,3
41,4
42,3
43,3
44,5
45,4
46,3
47,3
48,4
49,3
50,4
51,5
52,3
53,3
54,3
55,6
56,2
57,3
58,3
59,3
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
