"layer_from","layer_to","ave_distance","turnover"
1,2,305248.84735,0.361111111111111
1,3,244280.590775,0.18
1,4,339381.7762,0.206896551724138
1,5,389094.179225,0.181818181818182
1,6,390008.86975,0.175438596491228
1,7,437371.016375,0.0784313725490196
2,3,190474.59875,0.309090909090909
2,4,284225.3518,0.276923076923077
2,5,337055.48055,0.21875
2,6,376892.630125,0.355932203389831
2,7,455676.643375,0.192982456140351
3,4,116460.649125,0.476190476190476
3,5,173858.830325,0.442622950819672
3,6,200274.260075,0.451612903225806
3,7,274346.546,0.322033898305085
4,5,57464.1820425,0.5
4,6,92999.56344,0.442857142857143
4,7,172763.448,0.289855072463768
5,6,52751.492455,0.411764705882353
5,7,129414.4136,0.377049180327869
6,7,80112.73198,0.457627118644068
