"layer_from","layer_to","ave","sd","mean_distance","type"
1,2,0.368144133245023,0.0687755363775104,305248.84735,"null_both"
1,3,0.339411114283807,0.0660268636628421,244280.590775,"null_both"
1,4,0.334266269308104,0.0603822488980147,339381.7762,"null_both"
1,5,0.311594553219471,0.0565377890735394,389094.179225,"null_both"
1,6,0.309168697042332,0.0608819327449366,390008.86975,"null_both"
1,7,0.234415471724143,0.0604181143225323,437371.016375,"null_both"
2,3,0.340717210082697,0.0612895773921778,190474.59875,"null_both"
2,4,0.337298068130075,0.0582002192151278,284225.3518,"null_both"
2,5,0.316093107297769,0.0548237434531824,337055.48055,"null_both"
2,6,0.309427167370807,0.0565667816627258,376892.630125,"null_both"
2,7,0.236788106973291,0.0594508481951673,455676.643375,"null_both"
3,4,0.350545673293002,0.0599830600416323,116460.649125,"null_both"
3,5,0.331240044189436,0.0548702891399052,173858.830325,"null_both"
3,6,0.316254751684901,0.0569970480299121,200274.260075,"null_both"
3,7,0.241889335189223,0.0578770978493332,274346.546,"null_both"
4,5,0.375396254826124,0.0556334092601531,57464.1820425,"null_both"
4,6,0.352780706510141,0.0569076735937788,92999.56344,"null_both"
4,7,0.270937391010846,0.0574960288196733,172763.448,"null_both"
5,6,0.349050457943503,0.0561360760289979,52751.492455,"null_both"
5,7,0.268517673584058,0.0525204986302935,129414.4136,"null_both"
6,7,0.253172434478293,0.0553431273668305,80112.73198,"null_both"
