"","layer_from","node_from","layer_to","node_to","weight"
"1",2,12,1,12,0.25
"2",5,12,1,12,0.2
"3",6,12,1,12,0.142857142857143
"4",5,12,2,12,0.25
"5",6,12,2,12,0.166666666666667
"6",6,12,5,12,0.333333333333333
"7",2,23,1,23,0.181818181818182
"8",3,23,1,23,0.166666666666667
"9",4,23,1,23,0.2
"10",5,23,1,23,0.285714285714286
"11",6,23,1,23,0.166666666666667
"12",7,23,1,23,0.222222222222222
"13",8,23,1,23,0.222222222222222
"14",3,23,2,23,0.0714285714285714
"15",4,23,2,23,0.0833333333333334
"16",5,23,2,23,0.111111111111111
"17",7,23,2,23,0.0909090909090909
"18",8,23,2,23,0.0909090909090909
"19",3,23,10,23,0.333333333333333
"20",4,23,10,23,0.25
"21",7,23,10,23,0.125
"22",8,23,10,23,0.125
"23",4,23,3,23,0.4
"24",5,23,3,23,0.222222222222222
"25",6,23,3,23,0.125
"26",7,23,3,23,0.3
"27",8,23,3,23,0.444444444444444
"28",5,23,4,23,0.285714285714286
"29",6,23,4,23,0.166666666666667
"30",7,23,4,23,0.375
"31",8,23,4,23,0.375
"32",6,23,5,23,0.333333333333333
"33",7,23,5,23,0.333333333333333
"34",8,23,5,23,0.6
"35",7,23,6,23,0.2
"36",8,23,6,23,0.2
"37",8,23,7,23,0.25
"38",4,9,3,9,0.238095238095238
"39",7,10,10,10,0.222222222222222
"40",4,10,3,10,0.6
"41",6,10,3,10,0.333333333333333
"42",7,10,3,10,0.285714285714286
"43",8,10,3,10,0.5
"44",6,10,4,10,0.2
"45",7,10,4,10,0.375
"46",8,10,4,10,0.6
"47",7,10,6,10,0.166666666666667
"48",8,10,6,10,0.333333333333333
"49",8,10,7,10,0.5
"50",10,14,9,14,0.333333333333333
"51",3,14,9,14,0.333333333333333
"52",3,14,10,14,0.2
"53",4,30,9,30,0.25
"54",5,30,9,30,0.2
"55",4,30,3,30,0.2
"56",5,30,3,30,0.142857142857143
"57",5,30,4,30,0.25
"58",10,31,9,31,0.2
"59",3,31,10,31,0.1
"60",4,31,10,31,0.1
"61",11,31,10,31,0.142857142857143
"62",12,31,10,31,0.142857142857143
"63",7,31,10,31,0.1
"64",8,31,10,31,0.142857142857143
"65",4,31,3,31,0.25
"66",11,31,3,31,0.166666666666667
"67",12,31,3,31,0.166666666666667
"68",7,31,3,31,0.25
"69",8,31,3,31,0.166666666666667
"70",11,31,4,31,0.166666666666667
"71",12,31,4,31,0.166666666666667
"72",7,31,4,31,0.111111111111111
"73",8,31,4,31,0.166666666666667
"74",12,31,11,31,0.333333333333333
"75",7,31,11,31,0.166666666666667
"76",8,31,11,31,0.333333333333333
"77",7,31,12,31,0.166666666666667
"78",8,31,12,31,0.333333333333333
"79",8,31,7,31,0.4
"80",6,34,3,34,0.166666666666667
"81",5,34,12,34,0.285714285714286
"82",6,34,12,34,0.2
"83",8,34,12,34,0.166666666666667
"84",6,34,5,34,0.25
"85",7,34,5,34,0.222222222222222
"86",8,34,5,34,0.111111111111111
"87",7,34,6,34,0.076923076923077
"88",8,34,6,34,0.181818181818182
"89",8,34,7,34,0.125
"90",10,1,9,1,0.4
"91",5,1,9,1,0.0588235294117647
"92",6,1,9,1,0.111111111111111
"93",7,1,9,1,0.166666666666667
"94",8,1,9,1,0.19047619047619
"95",5,1,10,1,0.1
"96",6,1,10,1,0.0454545454545455
"97",7,1,10,1,0.105263157894737
"98",8,1,10,1,0.125
"99",6,1,5,1,0.111111111111111
"100",7,1,5,1,0.0588235294117647
"101",8,1,5,1,0.153846153846154
"102",7,1,6,1,0.2
"103",8,1,6,1,0.125
"104",8,1,7,1,0.388888888888889
"105",10,8,9,8,0.3
"106",11,8,9,8,0.125
"107",12,8,9,8,0.0909090909090909
"108",5,8,9,8,0.0714285714285714
"109",6,8,9,8,0.1
"110",7,8,9,8,0.142857142857143
"111",8,8,9,8,0.25
"112",11,8,10,8,0.12
"113",12,8,10,8,0.0869565217391304
"114",5,8,10,8,0.0666666666666667
"115",6,8,10,8,0.15
"116",7,8,10,8,0.125
"117",8,8,10,8,0.1
"118",12,8,11,8,0.344827586206897
"119",5,8,11,8,0.0714285714285714
"120",6,8,11,8,0.088235294117647
"121",7,8,11,8,0.0952380952380953
"122",8,8,11,8,0.136363636363636
"123",5,8,12,8,0.0384615384615385
"124",6,8,12,8,0.0625
"125",7,8,12,8,0.111111111111111
"126",8,8,12,8,0.1
"127",6,8,5,8,0.315789473684211
