"","layer","node_from","node_to","weight"
"1",1,6,52,0.0192307692307692
"2",1,6,66,0.0769230769230769
"3",1,6,93,0.0192307692307692
"4",1,6,159,0.0192307692307692
"5",1,6,183,0.865384615384615
"6",1,7,48,0.0746268656716418
"7",1,7,62,0.0373134328358209
"8",1,7,66,0.0746268656716418
"9",1,7,76,0.00746268656716418
"10",1,7,88,0.00746268656716418
"11",1,7,144,0.0298507462686567
"12",1,7,154,0.00746268656716418
"13",1,7,165,0.00746268656716418
"14",1,7,181,0.00746268656716418
"15",1,7,183,0.395522388059701
"16",1,7,197,0.134328358208955
"17",1,7,201,0.00746268656716418
"18",1,7,203,0.0447761194029851
"19",1,7,215,0.00746268656716418
"20",1,7,225,0.156716417910448
"21",1,12,109,0.111111111111111
"22",1,12,196,0.222222222222222
"23",1,12,226,0.666666666666667
"24",1,15,43,0.0327868852459016
"25",1,15,46,0.0163934426229508
"26",1,15,48,0.0163934426229508
"27",1,15,57,0.0163934426229508
"28",1,15,62,0.0491803278688525
"29",1,15,66,0.0655737704918033
"30",1,15,72,0.0327868852459016
"31",1,15,74,0.0327868852459016
"32",1,15,78,0.0163934426229508
"33",1,15,103,0.0983606557377049
"34",1,15,109,0.0163934426229508
"35",1,15,124,0.0163934426229508
"36",1,15,138,0.0163934426229508
"37",1,15,144,0.0983606557377049
"38",1,15,173,0.0163934426229508
"39",1,15,183,0.19672131147541
"40",1,15,188,0.0163934426229508
"41",1,15,190,0.114754098360656
"42",1,15,198,0.0163934426229508
"43",1,15,203,0.0491803278688525
"44",1,15,226,0.0327868852459016
"45",1,15,234,0.0327868852459016
"46",1,23,46,0.5
"47",1,23,74,0.1
"48",1,23,75,0.1
"49",1,23,225,0.1
"50",1,23,226,0.1
"51",1,23,228,0.1
"52",1,28,218,1
"53",1,32,46,0.25
"54",1,32,83,0.25
"55",1,32,196,0.5
"56",2,6,48,0.0121951219512195
"57",2,6,66,0.024390243902439
"58",2,6,68,0.0487804878048781
"59",2,6,93,0.024390243902439
"60",2,6,109,0.0121951219512195
"61",2,6,183,0.75609756097561
"62",2,6,196,0.0121951219512195
"63",2,6,197,0.0121951219512195
"64",2,6,203,0.0975609756097561
"65",2,7,43,0.0109289617486339
"66",2,7,48,0.00546448087431694
"67",2,7,55,0.0163934426229508
"68",2,7,62,0.0491803278688525
"69",2,7,66,0.0437158469945355
"70",2,7,100,0.0163934426229508
"71",2,7,144,0.0163934426229508
"72",2,7,177,0.00546448087431694
"73",2,7,183,0.491803278688525
"74",2,7,186,0.00546448087431694
"75",2,7,194,0.0109289617486339
"76",2,7,196,0.0163934426229508
"77",2,7,203,0.0109289617486339
"78",2,7,217,0.00546448087431694
"79",2,7,218,0.00546448087431694
"80",2,7,225,0.289617486338798
"81",2,12,123,0.25
"82",2,12,226,0.75
"83",2,13,132,0.25
"84",2,13,168,0.25
"85",2,13,226,0.5
"86",2,15,42,0.0666666666666667
"87",2,15,46,0.0666666666666667
"88",2,15,59,0.0333333333333333
"89",2,15,72,0.0666666666666667
"90",2,15,82,0.1
"91",2,15,93,0.1
"92",2,15,106,0.1
"93",2,15,130,0.0333333333333333
"94",2,15,142,0.0333333333333333
"95",2,15,144,0.1
"96",2,15,190,0.0333333333333333
"97",2,15,196,0.0333333333333333
"98",2,15,198,0.0333333333333333
"99",2,15,203,0.133333333333333
"100",2,15,234,0.0666666666666667
"101",2,20,62,0.333333333333333
"102",2,20,74,0.333333333333333
"103",2,20,87,0.333333333333333
"104",2,23,46,0.375
"105",2,23,62,0.0625
"106",2,23,66,0.0625
"107",2,23,109,0.125
"108",2,23,142,0.25
"109",2,23,203,0.0625
"110",2,23,225,0.0625
"111",2,28,74,0.8
"112",2,28,83,0.2
"113",3,6,49,0.0181818181818182
"114",3,6,75,0.618181818181818
"115",3,6,83,0.0181818181818182
"116",3,6,93,0.145454545454545
"117",3,6,96,0.0181818181818182
"118",3,6,101,0.0181818181818182
"119",3,6,139,0.0181818181818182
"120",3,6,144,0.0181818181818182
"121",3,6,158,0.0545454545454545
"122",3,6,166,0.0181818181818182
"123",3,6,197,0.0181818181818182
"124",3,6,206,0.0181818181818182
"125",3,6,225,0.0181818181818182
"126",3,7,43,0.0555555555555556
"127",3,7,49,0.00694444444444444
"128",3,7,58,0.00694444444444444
"129",3,7,61,0.00694444444444444
"130",3,7,75,0.25
"131",3,7,93,0.0486111111111111
"132",3,7,138,0.00694444444444444
"133",3,7,139,0.0138888888888889
"134",3,7,158,0.0347222222222222
