"layer_from","layer_to","ave","sd","ave_dist","type","mean_dist_in_km"
1,2,0.222222222222222,NA,305248.84735,"empirical",305.24884735
1,3,0.130434782608696,NA,244280.590775,"empirical",244.280590775
1,4,0.0740740740740741,NA,339381.7762,"empirical",339.3817762
1,5,0.103448275862069,NA,389094.179225,"empirical",389.094179225
1,6,0.115384615384615,NA,390008.86975,"empirical",390.00886975
2,3,0.523809523809524,NA,190474.59875,"empirical",190.47459875
2,4,0.25,NA,284225.3518,"empirical",284.2253518
2,5,0.310344827586207,NA,337055.48055,"empirical",337.05548055
2,6,0.346153846153846,NA,376892.630125,"empirical",376.892630125
2,7,0.12,NA,455676.643375,"empirical",455.676643375
3,4,0.392857142857143,NA,116460.649125,"empirical",116.460649125
3,5,0.4,NA,173858.830325,"empirical",173.858830325
3,6,0.5,NA,200274.260075,"empirical",200.274260075
3,7,0.230769230769231,NA,274346.546,"empirical",274.346546
4,5,0.551724137931034,NA,57464.1820425,"empirical",57.4641820425
4,6,0.555555555555556,NA,92999.56344,"empirical",92.99956344
4,7,0.25,NA,172763.448,"empirical",172.763448
5,6,0.5,NA,52751.492455,"empirical",52.751492455
5,7,0.461538461538462,NA,129414.4136,"empirical",129.4144136
6,7,0.346153846153846,NA,80112.73198,"empirical",80.11273198
1,2,0.0488564958584662,0.0474571997901779,305248.84735,"null_model_within",305.24884735
1,3,0.0210698418959018,0.028486868871479,244280.590775,"null_model_within",244.280590775
1,4,0.022504790898696,0.0284254591096905,339381.7762,"null_model_within",339.3817762
1,5,0.0137452402619824,0.0230049100211078,389094.179225,"null_model_within",389.094179225
1,6,0.0203217640109393,0.0277434591542361,390008.86975,"null_model_within",390.00886975
1,7,0.00536638718662073,0.01519628351129,437371.016375,"null_model_within",437.371016375
2,3,0.0636309880460699,0.0526457398988413,190474.59875,"null_model_within",190.47459875
2,4,0.0574300618045711,0.0445838974383113,284225.3518,"null_model_within",284.2253518
2,5,0.0336527606605897,0.0355030994996261,337055.48055,"null_model_within",337.05548055
2,6,0.0672646326628732,0.0492474624380298,376892.630125,"null_model_within",376.892630125
2,7,0.0294147663918195,0.0351524860060919,455676.643375,"null_model_within",455.676643375
3,4,0.104000409924287,0.0584127219829032,116460.649125,"null_model_within",116.460649125
3,5,0.0875093304769924,0.0530894444893215,173858.830325,"null_model_within",173.858830325
3,6,0.114296639566432,0.0599352500661054,200274.260075,"null_model_within",200.274260075
3,7,0.0604202210553026,0.0470725727281067,274346.546,"null_model_within",274.346546
4,5,0.0890763932287787,0.0493293033492336,57464.1820425,"null_model_within",57.4641820425
4,6,0.111677178524111,0.0564081916297475,92999.56344,"null_model_within",92.99956344
4,7,0.0560749680427685,0.0427575945013016,172763.448,"null_model_within",172.763448
5,6,0.0759256463228773,0.0489277183619972,52751.492455,"null_model_within",52.751492455
5,7,0.0664558214966834,0.0487609057532078,129414.4136,"null_model_within",129.4144136
6,7,0.0880559966335356,0.0567749073690213,80112.73198,"null_model_within",80.11273198
