"layer_id","module","module_size","Total_sp","Prop_sp","layer_name"
1,3,14,72,0.194444444444444,"WesternSahara"
1,4,8,72,0.111111111111111,"WesternSahara"
1,9,20,72,0.277777777777778,"WesternSahara"
1,11,1,72,0.0138888888888889,"WesternSahara"
1,14,10,72,0.138888888888889,"WesternSahara"
1,16,10,72,0.138888888888889,"WesternSahara"
1,25,4,72,0.0555555555555556,"WesternSahara"
1,28,5,72,0.0694444444444444,"WesternSahara"
2,1,2,65,0.0307692307692308,"Fuerteventura"
2,2,17,65,0.261538461538462,"Fuerteventura"
2,3,16,65,0.246153846153846,"Fuerteventura"
2,4,5,65,0.0769230769230769,"Fuerteventura"
2,5,3,65,0.0461538461538462,"Fuerteventura"
2,8,5,65,0.0769230769230769,"Fuerteventura"
2,9,1,65,0.0153846153846154,"Fuerteventura"
2,11,1,65,0.0153846153846154,"Fuerteventura"
2,12,1,65,0.0153846153846154,"Fuerteventura"
2,22,1,65,0.0153846153846154,"Fuerteventura"
2,24,8,65,0.123076923076923,"Fuerteventura"
2,31,1,65,0.0153846153846154,"Fuerteventura"
2,33,3,65,0.0461538461538462,"Fuerteventura"
2,38,1,65,0.0153846153846154,"Fuerteventura"
3,1,6,62,0.0967741935483871,"GranCanaria"
3,2,5,62,0.0806451612903226,"GranCanaria"
3,3,9,62,0.145161290322581,"GranCanaria"
3,5,2,62,0.032258064516129,"GranCanaria"
3,8,5,62,0.0806451612903226,"GranCanaria"
3,9,1,62,0.0161290322580645,"GranCanaria"
3,10,3,62,0.0483870967741935,"GranCanaria"
3,11,1,62,0.0161290322580645,"GranCanaria"
3,12,1,62,0.0161290322580645,"GranCanaria"
3,13,1,62,0.0161290322580645,"GranCanaria"
3,15,4,62,0.0645161290322581,"GranCanaria"
3,18,12,62,0.193548387096774,"GranCanaria"
3,19,5,62,0.0806451612903226,"GranCanaria"
3,22,1,62,0.0161290322580645,"GranCanaria"
3,30,2,62,0.032258064516129,"GranCanaria"
3,31,1,62,0.0161290322580645,"GranCanaria"
3,35,2,62,0.032258064516129,"GranCanaria"
3,38,1,62,0.0161290322580645,"GranCanaria"
4,1,12,83,0.144578313253012,"TenerifeSouth"
4,2,6,83,0.072289156626506,"TenerifeSouth"
4,3,8,83,0.0963855421686747,"TenerifeSouth"
4,5,3,83,0.036144578313253,"TenerifeSouth"
4,6,11,83,0.132530120481928,"TenerifeSouth"
4,7,10,83,0.120481927710843,"TenerifeSouth"
4,8,2,83,0.0240963855421687,"TenerifeSouth"
4,10,5,83,0.0602409638554217,"TenerifeSouth"
4,11,1,83,0.0120481927710843,"TenerifeSouth"
4,12,2,83,0.0240963855421687,"TenerifeSouth"
4,13,1,83,0.0120481927710843,"TenerifeSouth"
