"","layer_from","node_from","layer_to","node_to","weight"
"1",1,1,2,1,1.7
"2",2,1,3,1,1.35294117647059
"3",3,1,4,1,0.652173913043478
"4",4,1,5,1,1.08888888888889
"5",5,1,6,1,0.877551020408163
"6",1,2,2,2,0.714285714285714
"7",2,2,3,2,1
"8",3,2,4,2,0.4
"9",4,2,5,2,3.5
"10",5,2,6,2,0.142857142857143
"11",2,3,3,3,10
"12",3,3,4,3,1
"13",4,3,5,3,0.4
"14",5,3,6,3,2
"15",1,4,2,4,0.625
"16",2,4,3,4,2.8
"17",3,4,4,4,1
"18",4,4,5,4,1.07142857142857
"19",5,4,6,4,0.866666666666667
"20",1,5,2,5,0.416666666666667
"21",2,5,3,5,3.6
"22",3,5,4,5,0.444444444444444
"23",4,5,5,5,2.5
"24",5,5,6,5,0.25
"25",1,6,2,6,1.53846153846154
"26",2,6,3,6,1.5
"27",3,6,4,6,1.03333333333333
"28",4,6,5,6,1.54838709677419
"29",5,6,6,6,0.0833333333333333
"30",1,7,2,7,1.05555555555556
"31",2,7,3,7,2.71052631578947
"32",3,7,4,7,1.22330097087379
"33",4,7,5,7,0.515873015873016
"34",5,7,6,7,0.969230769230769
"35",4,8,5,8,1
"36",5,8,6,8,0.666666666666667
"37",1,9,2,9,1
"38",1,10,2,10,0.8
"39",2,10,3,10,0.5
"40",3,10,4,10,2.5
"41",1,11,2,11,1.36363636363636
"42",2,11,3,11,2.93333333333333
"43",3,11,4,11,0.522727272727273
"44",4,11,5,11,1.04347826086957
"45",5,11,6,11,0.416666666666667
"46",1,12,2,12,7.66666666666667
"47",2,12,3,12,1.26086956521739
"48",3,12,4,12,0.689655172413793
"49",4,12,5,12,1.15
"50",5,12,6,12,0.956521739130435
"51",1,13,2,13,0.829787234042553
"52",2,13,3,13,0.717948717948718
"53",3,13,4,13,0.75
"54",4,13,5,13,1.04761904761905
"55",5,13,6,13,0.227272727272727
"56",1,14,2,14,1.85714285714286
"57",2,14,3,14,0.538461538461538
"58",3,14,4,14,2.42857142857143
"59",4,14,5,14,0.705882352941177
"60",5,14,6,14,0.833333333333333
"61",1,15,2,15,0.521739130434783
"62",2,15,3,15,1.70833333333333
"63",3,15,4,15,2.8780487804878
"64",4,15,5,15,0.898305084745763
"65",5,15,6,15,0.632075471698113
"66",2,16,3,16,0.235294117647059
"67",3,16,4,16,0.5
"68",2,17,3,17,3.5
"69",3,17,4,17,8.14285714285714
"70",4,17,5,17,1.52631578947368
"71",5,17,6,17,1.04597701149425
"72",1,19,2,19,1.03875968992248
"73",2,19,3,19,1.01492537313433
"74",3,19,4,19,6.41911764705882
"75",4,19,5,19,1.90721649484536
"76",5,19,6,19,0.266066066066066
"77",1,20,2,20,0.555555555555556
"78",4,20,5,20,0.5
"79",1,21,2,21,0.646153846153846
"80",2,21,3,21,1.80952380952381
"81",3,21,4,21,0.960526315789474
"82",4,21,5,21,1.58904109589041
"83",5,21,6,21,0.75
"84",3,22,4,22,5.11111111111111
"85",4,22,5,22,2.28260869565217
"86",5,22,6,22,0.714285714285714
"87",1,23,2,23,0.38
"88",2,23,3,23,0.368421052631579
"89",3,23,4,23,8
"90",4,23,5,23,1.21428571428571
"91",5,23,6,23,1.07352941176471
"92",1,25,2,25,1.8
"93",2,25,3,25,0.888888888888889
"94",3,25,4,25,2.625
"95",4,25,5,25,2.76190476190476
"96",5,25,6,25,0.189655172413793
"97",1,26,2,26,3
"98",2,26,3,26,2.66666666666667
"99",3,26,4,26,0.625
"100",4,26,5,26,0.2
"101",5,26,6,26,2
