"node_id","module","layer_id","flow","type","species","trial_num"
1,7,4,0.0129626,"plant","Argyranthemum.frutescens",0.1
1,7,5,0.0119247,"plant","Argyranthemum.frutescens",0.1
1,7,6,0.0106879,"plant","Argyranthemum.frutescens",0.1
2,3,1,6.56511e-05,"plant","Argyranthemum.sp.",0.1
3,12,1,0.00709865,"plant","Asparagus.pastorianus",0.1
4,9,5,0.000545504,"plant","Asphaltklee.bituminosa",0.1
4,5,6,0.00169557,"plant","Asphaltklee.bituminosa",0.1
4,5,7,0.00302227,"plant","Asphaltklee.bituminosa",0.1
5,9,5,0.00285285,"plant","Ceballosia.fruticosa",0.1
5,1,7,0.00158346,"plant","Ceballosia.fruticosa",0.1
6,25,5,0.000623367,"plant","Ceropegia.dichotoma",0.1
7,1,4,0.000123182,"plant","Ceropegia.fusca",0.1
8,3,1,0.0109582,"plant","Euphorbia.balsamifera..f.",0.1
8,3,2,0.00900513,"plant","Euphorbia.balsamifera..f.",0.1
8,3,3,0.00980532,"plant","Euphorbia.balsamifera..f.",0.1
8,3,4,0.00782441,"plant","Euphorbia.balsamifera..f.",0.1
8,3,5,0.00995801,"plant","Euphorbia.balsamifera..f.",0.1
8,3,6,0.00969723,"plant","Euphorbia.balsamifera..f.",0.1
8,3,7,0.0072907,"plant","Euphorbia.balsamifera..f.",0.1
9,2,1,0.0221382,"plant","Euphorbia.balsamifera..m.",0.1
9,2,2,0.0233517,"plant","Euphorbia.balsamifera..m.",0.1
9,2,3,0.0186893,"plant","Euphorbia.balsamifera..m.",0.1
9,2,4,0.0156156,"plant","Euphorbia.balsamifera..m.",0.1
9,2,5,0.0207762,"plant","Euphorbia.balsamifera..m.",0.1
9,2,6,0.017186,"plant","Euphorbia.balsamifera..m.",0.1
9,2,7,0.0165678,"plant","Euphorbia.balsamifera..m.",0.1
10,1,4,0.0099226,"plant","Euphorbia.lamarckii",0.1
10,1,5,0.00436651,"plant","Euphorbia.lamarckii",0.1
10,1,6,0.0080809,"plant","Euphorbia.lamarckii",0.1
10,1,7,0.0197133,"plant","Euphorbia.lamarckii",0.1
11,13,3,0.0089187,"plant","Euphorbia.regis.jubae",0.1
12,6,1,0.00203301,"plant","Fagonia.albiflora",0.1
12,6,3,0.00379359,"plant","Fagonia.albiflora",0.1
12,6,4,0.00110879,"plant","Fagonia.albiflora",0.1
12,6,5,0.00433946,"plant","Fagonia.albiflora",0.1
12,6,6,0.00293096,"plant","Fagonia.albiflora",0.1
13,15,4,0.00292695,"plant","Frankenia.laevis",0.1
13,1,5,0.00156756,"plant","Frankenia.laevis",0.1
14,6,1,0.000429937,"plant","Helianthemum.canariensis",0.1
14,6,2,0.00282341,"plant","Helianthemum.canariensis",0.1
14,6,4,0.00158416,"plant","Helianthemum.canariensis",0.1
15,21,1,0.000930619,"plant","Kickxia.heterophylla",0.1
15,21,2,0.00166898,"plant","Kickxia.heterophylla",0.1
16,6,3,0.000716651,"plant","Kickxia.scoparia",0.1
16,11,5,0.000235353,"plant","Kickxia.scoparia",0.1
16,6,6,0.000902212,"plant","Kickxia.scoparia",0.1
17,4,1,0.0117693,"plant","Launaea.arborescens",0.1
17,4,2,0.0152217,"plant","Launaea.arborescens",0.1
17,4,3,0.00884786,"plant","Launaea.arborescens",0.1
17,4,4,0.00861262,"plant","Launaea.arborescens",0.1
17,4,5,0.00443252,"plant","Launaea.arborescens",0.1
17,4,6,0.00926776,"plant","Launaea.arborescens",0.1
18,5,5,0.00139664,"plant","Lavendula.buchii",0.1
19,5,3,0.000600763,"plant","Lavendula.minutolii",0.1
20,18,4,0.00319451,"plant","Lavendula.multifida",0.1
20,18,6,0.000395721,"plant","Lavendula.multifida",0.1
21,16,7,0.00532624,"plant","Lotus.glaucus",0.1
22,17,2,0.00082635,"plant","Lotus.lancerottensis",0.1
23,23,4,0.0017929,"plant","Lotus.sessilifolius",0.1
24,19,1,0.00326444,"plant","Lotus.sp.",0.1
25,22,3,0.00151347,"plant","Lotus.spartioides",0.1
26,5,1,0.00644769,"plant","Lycium.intricatum",0.1
26,5,2,0.00989461,"plant","Lycium.intricatum",0.1
26,5,3,0.00583903,"plant","Lycium.intricatum",0.1
26,5,4,0.00269338,"plant","Lycium.intricatum",0.1
26,5,5,0.0039032,"plant","Lycium.intricatum",0.1
26,5,6,0.00344774,"plant","Lycium.intricatum",0.1
27,6,5,0.00210634,"plant","Nauplius.aquaticus",0.1
28,12,1,0.00134685,"plant","Nauplius.sp.",0.1
29,1,5,0.000442855,"plant","Neochamaelea.pulverulenta",0.1
30,9,5,0.00711824,"plant","Parolinia.intermedia",0.1
31,1,4,0.0139821,"plant","Periploca.laevigata",0.1
31,1,5,0.00872823,"plant","Periploca.laevigata",0.1
31,1,6,0.00850729,"plant","Periploca.laevigata",0.1
31,1,7,0.00753664,"plant","Periploca.laevigata",0.1
32,17,2,0.00144532,"plant","Phagnalon.purpurascens",0.1
33,6,6,0.00576459,"plant","Phagnalon.saxatile",0.1
33,8,7,0.00354465,"plant","Phagnalon.saxatile",0.1
34,10,3,0.00351828,"plant","Plocama.pendula",0.1
