"node_id","layer_id","flow","full_name","short","type","module","trial_num"
1,1,0.00166836,"Apodemus_agrarius","APAGR","host",4,0.1
1,2,0.00252258,"Apodemus_agrarius","APAGR","host",5,0.1
1,3,0.00420803,"Apodemus_agrarius","APAGR","host",5,0.1
1,4,0.00379083,"Apodemus_agrarius","APAGR","host",5,0.1
1,5,0.00350973,"Apodemus_agrarius","APAGR","host",5,0.1
1,6,0.00186202,"Apodemus_agrarius","APAGR","host",5,0.1
2,1,0.00156654,"Apodemus_peninsulae","APPEN","host",4,0.1
2,2,0.00150177,"Apodemus_peninsulae","APPEN","host",5,0.1
2,3,0.00197216,"Apodemus_peninsulae","APPEN","host",5,0.1
2,4,0.00296482,"Apodemus_peninsulae","APPEN","host",5,0.1
2,5,0.00147017,"Apodemus_peninsulae","APPEN","host",5,0.1
2,6,0.00247446,"Apodemus_peninsulae","APPEN","host",5,0.1
3,2,0.0454473,"Asioscalops_altaica","ASALT","host",3,0.1
3,3,0.00880473,"Asioscalops_altaica","ASALT","host",1,0.1
3,4,0.00288277,"Asioscalops_altaica","ASALT","host",1,0.1
3,5,0.00489602,"Asioscalops_altaica","ASALT","host",1,0.1
3,6,0.00549506,"Asioscalops_altaica","ASALT","host",1,0.1
4,1,0.00580183,"Arvicola_terrestris","ATERR","host",4,0.1
4,2,0.00514799,"Arvicola_terrestris","ATERR","host",2,0.1
4,3,0.0219473,"Arvicola_terrestris","ATERR","host",2,0.1
4,4,0.0105144,"Arvicola_terrestris","ATERR","host",2,0.1
4,5,0.00667259,"Arvicola_terrestris","ATERR","host",2,0.1
4,6,0.0195877,"Arvicola_terrestris","ATERR","host",2,0.1
5,1,0.00215358,"Clethrionomys_glareolus","CLGLA","host",4,0.1
5,2,0.000989879,"Clethrionomys_glareolus","CLGLA","host",9,0.1
5,3,0.00108342,"Clethrionomys_glareolus","CLGLA","host",9,0.1
5,4,0.000455784,"Clethrionomys_glareolus","CLGLA","host",9,0.1
