"layer_id","module","module_size","n","Prop_sp","layer_name"
1,5,20,20,1,"WesternSahara"
1,9,15,15,1,"WesternSahara"
1,22,9,9,1,"WesternSahara"
1,27,8,8,1,"WesternSahara"
1,48,5,5,1,"WesternSahara"
1,51,5,5,1,"WesternSahara"
1,53,4,4,1,"WesternSahara"
1,56,3,3,1,"WesternSahara"
1,57,3,3,1,"WesternSahara"
2,3,19,19,1,"Fuerteventura"
2,4,19,19,1,"Fuerteventura"
2,30,7,7,1,"Fuerteventura"
2,33,6,6,1,"Fuerteventura"
2,40,6,6,1,"Fuerteventura"
2,41,6,6,1,"Fuerteventura"
2,59,2,2,1,"Fuerteventura"
3,2,1,17,0.0588235294117647,"GranCanaria"
3,11,11,11,1,"GranCanaria"
3,16,9,9,1,"GranCanaria"
3,19,9,9,1,"GranCanaria"
3,31,7,7,1,"GranCanaria"
3,34,7,7,1,"GranCanaria"
3,45,6,6,1,"GranCanaria"
3,50,5,5,1,"GranCanaria"
3,52,5,5,1,"GranCanaria"
3,58,2,2,1,"GranCanaria"
4,2,6,17,0.352941176470588,"TenerifeSouth"
4,7,15,15,1,"TenerifeSouth"
4,8,13,13,1,"TenerifeSouth"
4,10,13,13,1,"TenerifeSouth"
4,13,9,11,0.818181818181818,"TenerifeSouth"
4,21,5,9,0.555555555555556,"TenerifeSouth"
4,26,7,7,1,"TenerifeSouth"
4,47,5,5,1,"TenerifeSouth"
4,49,5,5,1,"TenerifeSouth"
4,54,4,4,1,"TenerifeSouth"
4,61,2,2,1,"TenerifeSouth"
5,2,3,17,0.176470588235294,"TenerifeTeno"
5,6,15,15,1,"TenerifeTeno"
5,12,10,10,1,"TenerifeTeno"
5,13,2,11,0.181818181818182,"TenerifeTeno"
5,21,4,9,0.444444444444444,"TenerifeTeno"
5,24,8,8,1,"TenerifeTeno"
5,28,7,7,1,"TenerifeTeno"
5,29,7,7,1,"TenerifeTeno"
5,36,6,6,1,"TenerifeTeno"
5,38,6,6,1,"TenerifeTeno"
5,42,3,6,0.5,"TenerifeTeno"
5,55,3,3,1,"TenerifeTeno"
5,60,2,2,1,"TenerifeTeno"
5,62,2,2,1,"TenerifeTeno"
6,2,2,17,0.117647058823529,"Gomera"
6,14,10,10,1,"Gomera"
6,15,10,10,1,"Gomera"
6,17,9,9,1,"Gomera"
6,20,8,8,1,"Gomera"
6,32,6,6,1,"Gomera"
6,35,6,6,1,"Gomera"
6,43,6,6,1,"Gomera"
6,44,5,5,1,"Gomera"
6,46,5,5,1,"Gomera"
7,1,26,26,1,"Hierro"
7,2,5,17,0.294117647058824,"Hierro"
7,18,7,7,1,"Hierro"
7,23,7,7,1,"Hierro"
7,25,7,7,1,"Hierro"
7,37,5,5,1,"Hierro"
7,39,5,5,1,"Hierro"
7,42,3,6,0.5,"Hierro"
