"layer_name","module","size_of_module","count","tot_island"
"TenerifeSouth","2",17,1,5
"Hierro","2",17,1,5
"Gomera","2",17,1,5
"TenerifeTeno","2",17,1,5
"GranCanaria","2",17,1,5
"TenerifeSouth","13",11,1,2
"TenerifeTeno","13",11,1,2
"TenerifeTeno","21",9,1,2
"TenerifeSouth","21",9,1,2
"TenerifeTeno","42",6,1,2
"Hierro","42",6,1,2
"Hierro","1",26,1,1
"Fuerteventura","3",19,1,1
"Fuerteventura","4",19,1,1
"WesternSahara","5",20,1,1
"TenerifeTeno","6",15,1,1
"TenerifeSouth","7",15,1,1
"TenerifeSouth","8",13,1,1
"WesternSahara","9",15,1,1
"TenerifeSouth","10",13,1,1
"GranCanaria","11",11,1,1
"TenerifeTeno","12",10,1,1
"Gomera","14",10,1,1
"Gomera","15",10,1,1
"GranCanaria","16",9,1,1
"Gomera","17",9,1,1
"Hierro","18",7,1,1
"GranCanaria","19",9,1,1
"Gomera","20",8,1,1
"WesternSahara","22",9,1,1
"Hierro","23",7,1,1
"TenerifeTeno","24",8,1,1
"Hierro","25",7,1,1
"TenerifeSouth","26",7,1,1
"WesternSahara","27",8,1,1
"TenerifeTeno","28",7,1,1
"TenerifeTeno","29",7,1,1
"Fuerteventura","30",7,1,1
"GranCanaria","31",7,1,1
"Gomera","32",6,1,1
"Fuerteventura","33",6,1,1
"GranCanaria","34",7,1,1
"Gomera","35",6,1,1
"TenerifeTeno","36",6,1,1
"Hierro","37",5,1,1
"TenerifeTeno","38",6,1,1
"Hierro","39",5,1,1
"Fuerteventura","40",6,1,1
"Fuerteventura","41",6,1,1
"Gomera","43",6,1,1
"Gomera","44",5,1,1
"GranCanaria","45",6,1,1
"Gomera","46",5,1,1
"TenerifeSouth","47",5,1,1
"WesternSahara","48",5,1,1
"TenerifeSouth","49",5,1,1
"GranCanaria","50",5,1,1
"WesternSahara","51",5,1,1
"GranCanaria","52",5,1,1
"WesternSahara","53",4,1,1
"TenerifeSouth","54",4,1,1
"TenerifeTeno","55",3,1,1
"WesternSahara","56",3,1,1
"WesternSahara","57",3,1,1
"GranCanaria","58",2,1,1
"Fuerteventura","59",2,1,1
"TenerifeTeno","60",2,1,1
"TenerifeSouth","61",2,1,1
"TenerifeTeno","62",2,1,1
