"","node_id","full_name","short","type"
"1",1,"Apodemus_agrarius","APAGR","host"
"2",2,"Apodemus_peninsulae","APPEN","host"
"3",3,"Asioscalops_altaica","ASALT","host"
"4",4,"Arvicola_terrestris","ATERR","host"
"5",5,"Clethrionomys_glareolus","CLGLA","host"
"6",6,"Clethrionomys_rufocanus","CLRUF","host"
"7",7,"Clethrionomys_turilus","CLRUT","host"
"8",8,"Cricetus_cricetus","CRICE","host"
"9",9,"Crocidura_sibirica","CRSIB","host"
"10",10,"Eutamias_sibiricus","EUSIB","host"
"11",11,"Microtus_agrestis","MAGRE","host"
"12",12,"Microtus_arvalis","MARVA","host"
"13",13,"Microtus_gregalis","MGREG","host"
"14",14,"Microtus_minutus","MIMIN","host"
"15",15,"Microtus_oeconomus","MOECO","host"
"16",16,"Mus_musculus","MUSMU","host"
"17",17,"Neomys_fodiens","NEOFO","host"
"18",18,"Rattus_norvegicus","RNORV","host"
"19",19,"Sorex_araneus","SARAN","host"
"20",20,"Sorex_caecutiens","SCAEC","host"
"21",21,"Sicista_betulina","SBETU","host"
"22",22,"Sorex_isodon","SISOD","host"
"23",23,"Sorex_minutus","SMINU","host"
"24",24,"Sorex_vir","SOVIR","host"
"25",25,"Sorex_tundrensis","STUND","host"
"26",26,"Amphipsylla_sibirica","Amphsib","paras"
"27",27,"Megabothrys_calcarifer","Cercal","paras"
"28",28,"Ceratophyllus_indages","Cerind","paras"
"29",29,"Ceratophyllus_garei","Cgarei","paras"
"30",30,"Ctenophtalmus_assimilis","Ctass","paras"
"31",31,"Megabothris_turbidus","Cturb","paras"
"32",32,"Megabothris_rectangulatus","Crect","paras"
"33",33,"Amalaraeus_penicilliger","Cpen","paras"
"34",34,"Doratopsylla_birulai","Doratbir","paras"
"35",35,"Frontopsylla_elata","Frel","paras"
"36",36,"Histrichopsylla_talpae","Htalp","paras"
"37",37,"Leptopsylla_segnis","Leptsegn","paras"
"38",38,"Neopsylla_acanthina","Nac","paras"
"39",39,"Neopsylla_mana","Nmana","paras"
"40",40,"Palaeopsylla_soricis","Psoric","paras"
"41",41,"Androlaelaps_glasgowi","Aglasg","paras"
"42",42,"Euryparasitus_emarginatus","Emarg","paras"
"43",43,"Eulaelaps_stabularis","Eustab","paras"
"44",44,"Haemogamasus_ambulans","Hgamb","paras"
"45",45,"Haemogamasus_mandschuricus","Hgmand","paras"
"46",46,"Haemogamasus_nidi","Hgnidi","paras"
"47",47,"Haemogamasus_nidiformes","Hgnidif","paras"
"48",48,"Hirstionyssus_apodemi","Hiapodemi","paras"
"49",49,"Hirstionyssus_criceti","Hicric","paras"
"50",50,"Hirstionyssus_isabellinus","Hiisab","paras"
"51",51,"Hirstionyssus_soricis","Hisoric","paras"
"52",52,"Holoparasitus_gontscharovae","Holopargontch","paras"
"53",53,"Hypoaspis_forcipata","Hsforcipat","paras"
"54",54,"Hyperlaelaps_amphibius","Hyamph","paras"
"55",55,"Hyperlaelaps_arvalis","Hyarval","paras"
"56",56,"Hypoaspis_austricaus","Hyaustr","paras"
"57",57,"Iphidosoma_fimetarium","Iphidfim","paras"
"58",58,"Laelaspis_astronomicus","Laelaspsiastr","paras"
"59",59,"Laelaps_clethrionomydis","Lclethr","paras"
"60",60,"Laelaps_hilaris","Lhilar","paras"
"61",61,"Laelaps_micromydis","Lmicrom","paras"
"62",62,"Laelaps_muris","Lmuris","paras"
"63",63,"Laelaps_pavlovskyi","Lpavl","paras"
"64",64,"Macrocheles_glaber","Mglab","paras"
"65",65,"Macrocheles_nataliae","Mnataliae","paras"
"66",66,"Macrocheles_rotundiscutus","Mrotund","paras"
"67",67,"Ololaelaps_sellnicki","Olsell","paras"
"68",68,"Parasitus_berlesei","Pberelesei","paras"
"69",69,"Parasitus_coleoptratorum","Pcoleop","paras"
"70",70,"Parasitus_consanguineus","Pcons","paras"
"71",71,"Parasitus_convexus","Pconvexus","paras"
"72",72,"Parasitus_copridis","Pcopridis","paras"
"73",73,"Pergamasus_crassipes","Pergcrass","paras"
"74",74,"Pergamasus_lapponicus","Perlappon","paras"
"75",75,"Pergamasus_misellus","Pergmis","paras"
"76",76,"Pergamasus_quisquilarum","Perquis","paras"
"77",77,"Pergamasus_septentrionalis","Persept","paras"
"78",78,"Parasitus_fimetorum","Pfimet","paras"
"79",79,"Parasitus_lunaris","Plunaris","paras"
"80",80,"Parasitus_magnus","Pmagnus","paras"
"81",81,"Poecilochirus_necrophori","Pnecr","paras"
"82",82,"Parasitus_oudemansi","Poudem","paras"
"83",83,"Parasitus_remberti","Premb","paras"
"84",84,"Poecilochirus_subterraneus","Psubterr","paras"
"85",85,"Proctolaelaps_pygmaeus","Proctpyg","paras"
