"layer_name","module","size_of_module","count","tot_island"
"Fuerteventura","1",48,1,7
"WesternSahara","1",48,1,7
"TenerifeTeno","1",48,1,7
"GranCanaria","1",48,1,7
"Hierro","1",48,1,7
"TenerifeSouth","1",48,1,7
"Gomera","1",48,1,7
"GranCanaria","3",21,1,7
"Hierro","3",21,1,7
"Gomera","3",21,1,7
"TenerifeTeno","3",21,1,7
"TenerifeSouth","3",21,1,7
"WesternSahara","3",21,1,7
"Fuerteventura","3",21,1,7
"GranCanaria","2",37,1,6
"Fuerteventura","2",37,1,6
"WesternSahara","2",37,1,6
"TenerifeSouth","2",37,1,6
"Gomera","2",37,1,6
"TenerifeTeno","2",37,1,6
"GranCanaria","4",14,1,6
"WesternSahara","4",14,1,6
"Gomera","4",14,1,6
"Fuerteventura","4",14,1,6
"TenerifeSouth","4",14,1,6
"TenerifeTeno","4",14,1,6
"Hierro","5",8,1,6
"Fuerteventura","5",8,1,6
"TenerifeSouth","5",8,1,6
"TenerifeTeno","5",8,1,6
"Gomera","5",8,1,6
"GranCanaria","5",8,1,6
"Hierro","10",6,1,6
"TenerifeTeno","10",6,1,6
"Gomera","10",6,1,6
"Fuerteventura","10",6,1,6
"GranCanaria","10",6,1,6
"TenerifeSouth","10",6,1,6
"Hierro","11",7,1,6
"TenerifeTeno","11",7,1,6
"TenerifeSouth","11",7,1,6
"Fuerteventura","11",7,1,6
"GranCanaria","11",7,1,6
"Gomera","11",7,1,6
"Fuerteventura","12",6,1,6
"GranCanaria","12",6,1,6
"Hierro","12",6,1,6
"TenerifeTeno","12",6,1,6
"Gomera","12",6,1,6
"TenerifeSouth","12",6,1,6
"Hierro","13",6,1,6
"TenerifeTeno","13",6,1,6
"Gomera","13",6,1,6
"Fuerteventura","13",6,1,6
"GranCanaria","13",6,1,6
"TenerifeSouth","13",6,1,6
"Fuerteventura","14",6,1,6
"Gomera","14",6,1,6
"TenerifeSouth","14",6,1,6
"Hierro","14",6,1,6
"GranCanaria","14",6,1,6
"WesternSahara","14",6,1,6
"WesternSahara","15",6,1,6
"Fuerteventura","15",6,1,6
"GranCanaria","15",6,1,6
"TenerifeSouth","15",6,1,6
"TenerifeTeno","15",6,1,6
"Gomera","15",6,1,6
"Gomera","16",6,1,6
"TenerifeSouth","16",6,1,6
"GranCanaria","16",6,1,6
"WesternSahara","16",6,1,6
"Fuerteventura","16",6,1,6
"TenerifeTeno","16",6,1,6
"Hierro","9",12,1,5
"GranCanaria","9",12,1,5
"TenerifeSouth","9",12,1,5
"TenerifeTeno","9",12,1,5
"Gomera","9",12,1,5
"TenerifeTeno","17",7,1,5
"WesternSahara","17",7,1,5
"GranCanaria","17",7,1,5
"Gomera","17",7,1,5
"TenerifeSouth","17",7,1,5
"TenerifeSouth","18",5,1,5
"TenerifeTeno","18",5,1,5
"GranCanaria","18",5,1,5
"Hierro","18",5,1,5
"Gomera","18",5,1,5
"Hierro","19",9,1,5
"Gomera","19",9,1,5
"TenerifeSouth","19",9,1,5
"GranCanaria","19",9,1,5
"TenerifeTeno","19",9,1,5
"TenerifeTeno","20",5,1,5
"WesternSahara","20",5,1,5
"Gomera","20",5,1,5
"GranCanaria","20",5,1,5
"TenerifeSouth","20",5,1,5
"Fuerteventura","21",5,1,5
"Gomera","21",5,1,5
"Hierro","21",5,1,5
"TenerifeSouth","21",5,1,5
"GranCanaria","21",5,1,5
"TenerifeSouth","6",20,1,4
"Hierro","6",20,1,4
"Gomera","6",20,1,4
"TenerifeTeno","6",20,1,4
"TenerifeSouth","8",16,1,4
"Hierro","8",16,1,4
"Gomera","8",16,1,4
"TenerifeTeno","8",16,1,4
"Gomera","22",8,1,4
"TenerifeSouth","22",8,1,4
"TenerifeTeno","22",8,1,4
"GranCanaria","22",8,1,4
"TenerifeTeno","23",8,1,4
"Hierro","23",8,1,4
"GranCanaria","23",8,1,4
"Gomera","23",8,1,4
"Gomera","24",5,1,4
"TenerifeTeno","24",5,1,4
"TenerifeSouth","24",5,1,4
"GranCanaria","24",5,1,4
"WesternSahara","25",4,1,4
"Gomera","25",4,1,4
"TenerifeSouth","25",4,1,4
"Fuerteventura","25",4,1,4
"GranCanaria","26",4,1,4
"TenerifeSouth","26",4,1,4
