"layer_name","module","size_of_module","count","tot_island"
"Hierro","3",34,1,7
"Gomera","3",34,1,7
"TenerifeTeno","3",34,1,7
"TenerifeSouth","3",34,1,7
"WesternSahara","3",34,1,7
"GranCanaria","3",34,1,7
"Fuerteventura","3",34,1,7
"Hierro","7",18,1,7
"TenerifeSouth","7",18,1,7
"GranCanaria","7",18,1,7
"TenerifeTeno","7",18,1,7
"Fuerteventura","7",18,1,7
"WesternSahara","7",18,1,7
"Gomera","7",18,1,7
"TenerifeTeno","1",62,1,6
"Fuerteventura","1",62,1,6
"GranCanaria","1",62,1,6
"TenerifeSouth","1",62,1,6
"Gomera","1",62,1,6
"Hierro","1",62,1,6
"TenerifeSouth","2",54,1,6
"WesternSahara","2",54,1,6
"Fuerteventura","2",54,1,6
"GranCanaria","2",54,1,6
"TenerifeTeno","2",54,1,6
"Gomera","2",54,1,6
"Gomera","4",30,1,6
"TenerifeTeno","4",30,1,6
"TenerifeSouth","4",30,1,6
"GranCanaria","4",30,1,6
"WesternSahara","4",30,1,6
"Hierro","4",30,1,6
"TenerifeTeno","5",26,1,6
"WesternSahara","5",26,1,6
"Fuerteventura","5",26,1,6
"Gomera","5",26,1,6
"TenerifeSouth","5",26,1,6
"GranCanaria","5",26,1,6
"TenerifeSouth","8",20,1,6
"GranCanaria","8",20,1,6
"TenerifeTeno","8",20,1,6
"Gomera","8",20,1,6
"Fuerteventura","8",20,1,6
"WesternSahara","8",20,1,6
"TenerifeTeno","11",10,1,6
"Gomera","11",10,1,6
"TenerifeSouth","11",10,1,6
"Hierro","11",10,1,6
"Fuerteventura","11",10,1,6
"GranCanaria","11",10,1,6
"TenerifeTeno","23",6,1,6
"Gomera","23",6,1,6
"Hierro","23",6,1,6
"TenerifeSouth","23",6,1,6
"Fuerteventura","23",6,1,6
"GranCanaria","23",6,1,6
"Hierro","24",6,1,6
"Gomera","24",6,1,6
"WesternSahara","24",6,1,6
"Fuerteventura","24",6,1,6
"GranCanaria","24",6,1,6
"TenerifeSouth","24",6,1,6
"Gomera","13",12,1,5
"GranCanaria","13",12,1,5
"TenerifeSouth","13",12,1,5
"Fuerteventura","13",12,1,5
"Hierro","13",12,1,5
"GranCanaria","18",9,1,5
"Gomera","18",9,1,5
"TenerifeSouth","18",9,1,5
"TenerifeTeno","18",9,1,5
"Hierro","18",9,1,5
"TenerifeSouth","12",14,1,4
"TenerifeTeno","12",14,1,4
"GranCanaria","12",14,1,4
"Hierro","12",14,1,4
"Hierro","15",11,1,4
"Gomera","15",11,1,4
"TenerifeTeno","15",11,1,4
"TenerifeSouth","15",11,1,4
"GranCanaria","16",11,1,4
"Gomera","16",11,1,4
"Hierro","16",11,1,4
"TenerifeTeno","16",11,1,4
"GranCanaria","17",12,1,4
"TenerifeTeno","17",12,1,4
"Gomera","17",12,1,4
"TenerifeSouth","17",12,1,4
"TenerifeSouth","6",23,1,3
"TenerifeTeno","6",23,1,3
"GranCanaria","6",23,1,3
"WesternSahara","10",19,1,3
"TenerifeTeno","10",19,1,3
"Fuerteventura","10",19,1,3
"TenerifeTeno","19",10,1,3
"Gomera","19",10,1,3
"Hierro","19",10,1,3
"Hierro","21",7,1,2
"Gomera","21",7,1,2
"TenerifeTeno","25",6,1,2
"TenerifeSouth","25",6,1,2
"TenerifeTeno","27",6,1,2
"Hierro","27",6,1,2
"Fuerteventura","31",4,1,2
"WesternSahara","31",4,1,2
"Gomera","32",4,1,2
"Fuerteventura","32",4,1,2
"Hierro","9",19,1,1
"GranCanaria","14",12,1,1
"WesternSahara","20",8,1,1
"Hierro","22",6,1,1
"TenerifeSouth","26",5,1,1
"Fuerteventura","28",5,1,1
"WesternSahara","29",5,1,1
"WesternSahara","30",4,1,1
"WesternSahara","33",3,1,1
"TenerifeSouth","34",3,1,1
"WesternSahara","35",3,1,1
"GranCanaria","36",2,1,1
"TenerifeSouth","37",2,1,1
"TenerifeTeno","38",2,1,1
