"layer_name","module","size_of_module","count","tot_island"
"Gomera","4",35,1,7
"Hierro","4",35,1,7
"TenerifeSouth","4",35,1,7
"GranCanaria","4",35,1,7
"TenerifeTeno","4",35,1,7
"WesternSahara","4",35,1,7
"Fuerteventura","4",35,1,7
"Gomera","8",11,1,5
"TenerifeTeno","8",11,1,5
"Hierro","8",11,1,5
"TenerifeSouth","8",11,1,5
"GranCanaria","8",11,1,5
"TenerifeTeno","14",15,1,5
"Fuerteventura","14",15,1,5
"GranCanaria","14",15,1,5
"TenerifeSouth","14",15,1,5
"Gomera","14",15,1,5
"Gomera","2",34,1,4
"TenerifeSouth","2",34,1,4
"Hierro","2",34,1,4
"TenerifeTeno","2",34,1,4
"GranCanaria","3",53,1,4
"Fuerteventura","3",53,1,4
"TenerifeSouth","3",53,1,4
"WesternSahara","3",53,1,4
"TenerifeSouth","5",28,1,4
"Hierro","5",28,1,4
"TenerifeTeno","5",28,1,4
"Gomera","5",28,1,4
"TenerifeSouth","7",29,1,4
"TenerifeTeno","7",29,1,4
"Gomera","7",29,1,4
"GranCanaria","7",29,1,4
"Gomera","1",32,1,3
"Hierro","1",32,1,3
"TenerifeTeno","1",32,1,3
"WesternSahara","6",44,1,3
"Fuerteventura","6",44,1,3
"GranCanaria","6",44,1,3
"Gomera","10",16,1,3
"TenerifeTeno","10",16,1,3
"TenerifeSouth","10",16,1,3
"Hierro","11",10,1,3
"Gomera","11",10,1,3
"TenerifeTeno","11",10,1,3
"Gomera","12",13,1,3
"TenerifeTeno","12",13,1,3
"TenerifeSouth","12",13,1,3
"TenerifeTeno","15",12,1,3
"TenerifeSouth","15",12,1,3
"GranCanaria","15",12,1,3
"GranCanaria","16",17,1,3
"Fuerteventura","16",17,1,3
"WesternSahara","16",17,1,3
"Gomera","9",11,1,2
"Hierro","9",11,1,2
"Gomera","21",8,1,2
"TenerifeTeno","21",8,1,2
"TenerifeSouth","22",7,1,2
"TenerifeTeno","22",7,1,2
"WesternSahara","26",7,1,2
"Fuerteventura","26",7,1,2
"GranCanaria","27",7,1,2
"TenerifeSouth","27",7,1,2
"Fuerteventura","28",4,1,2
"WesternSahara","28",4,1,2
"TenerifeTeno","33",3,1,2
"TenerifeSouth","33",3,1,2
"Hierro","13",7,1,1
"TenerifeSouth","17",12,1,1
"GranCanaria","18",11,1,1
"TenerifeTeno","19",8,1,1
"WesternSahara","20",11,1,1
"Hierro","23",3,1,1
"Gomera","24",3,1,1
"TenerifeSouth","25",5,1,1
"WesternSahara","29",6,1,1
"GranCanaria","30",5,1,1
"WesternSahara","31",4,1,1
"TenerifeSouth","32",3,1,1
"WesternSahara","34",3,1,1
"GranCanaria","35",2,1,1
"Gomera","36",2,1,1
"Fuerteventura","37",2,1,1
"WesternSahara","38",3,1,1
"TenerifeSouth","39",2,1,1
"GranCanaria","40",2,1,1
"WesternSahara","41",3,1,1
