"","node_id","module","layer_id","flow","type","species"
"1",1,6,4,0.00773292,"plant","Argyranthemum.frutescens"
"2",1,6,5,0.00505489,"plant","Argyranthemum.frutescens"
"3",1,6,6,0.0166012,"plant","Argyranthemum.frutescens"
"4",2,13,1,5.528e-05,"plant","Argyranthemum.sp."
"5",3,12,1,0.00685296,"plant","Asparagus.pastorianus"
"6",4,23,5,7.28046e-05,"plant","Asphaltklee.bituminosa"
"7",4,18,6,0.00203468,"plant","Asphaltklee.bituminosa"
"8",4,23,7,0.00244844,"plant","Asphaltklee.bituminosa"
"9",5,17,5,0.0011132,"plant","Ceballosia.fruticosa"
"10",5,17,7,0.00139591,"plant","Ceballosia.fruticosa"
"11",6,30,5,0.000468123,"plant","Ceropegia.dichotoma"
"12",7,1,4,4.15912e-05,"plant","Ceropegia.fusca"
"13",8,13,1,0.00618703,"plant","Euphorbia.balsamifera..f."
"14",8,2,2,0.0268252,"plant","Euphorbia.balsamifera..f."
"15",8,1,3,0.00749946,"plant","Euphorbia.balsamifera..f."
"16",8,1,4,0.00244921,"plant","Euphorbia.balsamifera..f."
"17",8,1,5,0.00305642,"plant","Euphorbia.balsamifera..f."
"18",8,1,6,0.0160098,"plant","Euphorbia.balsamifera..f."
"19",8,1,7,0.0031858,"plant","Euphorbia.balsamifera..f."
"20",9,9,1,0.013741,"plant","Euphorbia.balsamifera..m."
"21",9,2,2,0.0676007,"plant","Euphorbia.balsamifera..m."
"22",9,3,3,0.0130169,"plant","Euphorbia.balsamifera..m."
"23",9,3,4,0.00568668,"plant","Euphorbia.balsamifera..m."
"24",9,3,5,0.00607585,"plant","Euphorbia.balsamifera..m."
"25",9,3,6,0.0267222,"plant","Euphorbia.balsamifera..m."
"26",9,3,7,0.00718523,"plant","Euphorbia.balsamifera..m."
"27",10,1,4,0.00502321,"plant","Euphorbia.lamarckii"
"28",10,1,5,0.000483186,"plant","Euphorbia.lamarckii"
"29",10,1,6,0.0162267,"plant","Euphorbia.lamarckii"
"30",10,1,7,0.0147274,"plant","Euphorbia.lamarckii"
"31",11,16,3,0.00830075,"plant","Euphorbia.regis.jubae"
"32",12,15,1,0.00108594,"plant","Fagonia.albiflora"
"33",12,7,3,0.00337191,"plant","Fagonia.albiflora"
"34",12,7,4,0.000225655,"plant","Fagonia.albiflora"
"35",12,7,5,0.00119854,"plant","Fagonia.albiflora"
"36",12,18,6,0.00336351,"plant","Fagonia.albiflora"
"37",13,22,4,0.00180687,"plant","Frankenia.laevis"
"38",13,22,5,0.000800895,"plant","Frankenia.laevis"
"39",14,13,1,5.528e-05,"plant","Helianthemum.canariensis"
"40",14,11,2,0.00604438,"plant","Helianthemum.canariensis"
"41",14,7,4,0.00061652,"plant","Helianthemum.canariensis"
"42",15,15,1,0.000684875,"plant","Kickxia.heterophylla"
"43",15,11,2,0.00255482,"plant","Kickxia.heterophylla"
"44",16,7,3,0.000535605,"plant","Kickxia.scoparia"
"45",16,5,5,2.26527e-05,"plant","Kickxia.scoparia"
"46",16,7,6,0.00145723,"plant","Kickxia.scoparia"
"47",17,14,1,0.00751866,"plant","Launaea.arborescens"
"48",17,4,2,0.0344892,"plant","Launaea.arborescens"
"49",17,5,3,0.00604266,"plant","Launaea.arborescens"
"50",17,5,4,0.00361666,"plant","Launaea.arborescens"
"51",17,4,5,0.000785638,"plant","Launaea.arborescens"
"52",17,5,6,0.0146711,"plant","Launaea.arborescens"
"53",18,8,5,0.000621305,"plant","Lavendula.buchii"
"54",19,8,3,0.000518172,"plant","Lavendula.minutolii"
"55",20,25,4,0.00279303,"plant","Lavendula.multifida"
