"node_to","layer_from","node_from"
111,4,1
111,6,1
126,5,1
126,6,1
132,5,1
135,4,1
135,5,1
137,4,1
137,5,1
157,4,1
163,4,1
163,5,1
163,6,1
165,4,1
165,5,1
165,6,1
166,5,1
170,4,1
170,6,1
181,5,1
190,5,1
192,4,1
192,6,1
199,4,1
204,4,1
215,6,1
217,4,1
217,5,1
224,5,1
226,4,1
227,4,1
227,5,1
241,4,1
241,5,1
254,4,1
254,5,1
255,6,1
266,4,1
266,5,1
269,6,1
270,5,1
270,6,1
272,6,1
274,4,1
274,5,1
274,6,1
275,4,1
275,5,1
275,6,1
276,4,1
276,5,1
278,5,1
280,4,1
50,4,1
50,5,1
60,4,1
60,5,1
60,6,1
73,4,1
80,6,1
81,5,1
88,6,1
90,6,1
92,4,1
92,5,1
92,6,1
101,4,10
101,5,10
101,6,10
103,7,10
107,7,10
111,4,10
111,6,10
111,7,10
115,7,10
126,5,10
126,6,10
126,7,10
129,7,10
134,7,10
136,4,10
136,7,10
137,4,10
137,5,10
138,5,10
138,6,10
138,7,10
139,5,10
139,7,10
141,5,10
141,6,10
141,7,10
142,5,10
148,6,10
163,4,10
163,5,10
163,6,10
163,7,10
165,4,10
165,5,10
165,6,10
165,7,10
169,7,10
170,4,10
170,6,10
170,7,10
173,4,10
176,4,10
176,7,10
186,4,10
187,4,10
187,5,10
187,6,10
190,5,10
190,7,10
191,7,10
197,6,10
207,6,10
207,7,10
209,7,10
213,4,10
217,4,10
217,5,10
220,4,10
238,4,10
238,6,10
239,6,10
239,7,10
242,5,10
242,7,10
243,4,10
243,6,10
243,7,10
253,4,10
254,4,10
254,5,10
254,7,10
255,6,10
255,7,10
265,7,10
274,4,10
274,5,10
274,6,10
274,7,10
50,4,10
50,5,10
55,4,10
55,5,10
55,6,10
55,7,10
60,4,10
60,5,10
60,6,10
62,4,10
62,6,10
64,4,10
75,7,10
84,4,10
84,6,10
92,4,10
92,5,10
92,6,10
92,7,10
96,5,10
96,7,10
97,7,10
111,3,11
115,3,11
136,3,11
139,3,11
149,3,11
151,3,11
159,3,11
165,3,11
170,3,11
179,3,11
187,3,11
199,3,11
235,3,11
239,3,11
40,3,11
50,3,11
52,3,11
55,3,11
76,3,11
85,3,11
92,3,11
163,3,12
163,4,12
163,5,12
163,6,12
165,3,12
165,4,12
165,5,12
165,6,12
239,3,12
239,6,12
275,3,12
275,4,12
275,5,12
275,6,12
281,1,12
45,1,12
50,3,12
50,4,12
50,5,12
52,3,12
55,3,12
55,4,12
55,5,12
55,6,12
56,3,12
56,4,12
56,5,12
56,6,12
60,3,12
60,4,12
60,5,12
60,6,12
76,3,12
92,3,12
92,4,12
92,5,12
92,6,12
101,4,13
101,5,13
158,5,13
185,4,13
217,4,13
217,5,13
266,4,13
266,5,13
46,4,13
92,4,13
92,5,13
131,2,14
145,2,14
145,4,14
217,4,14
234,2,14
258,1,14
266,4,14
274,2,14
274,4,14
275,2,14
275,4,14
60,4,14
92,2,14
92,4,14
116,1,15
155,2,15
164,1,15
201,2,15
216,1,15
216,2,15
258,1,15
275,2,15
45,1,15
72,1,15
165,3,16
165,5,16
165,6,16
268,3,16
275,3,16
275,5,16
275,6,16
44,3,16
44,5,16
44,6,16
55,3,16
55,5,16
55,6,16
92,3,16
92,5,16
92,6,16
111,2,17
111,3,17
111,4,17
111,6,17
113,1,17
125,2,17
126,5,17
126,6,17
128,2,17
130,3,17
130,4,17
131,2,17
136,3,17
136,4,17
138,5,17
138,6,17
140,4,17
140,5,17
143,4,17
143,6,17
145,2,17
145,4,17
146,2,17
146,6,17
153,2,17
156,6,17
160,1,17
163,2,17
163,3,17
163,4,17
163,5,17
163,6,17
164,1,17
165,3,17
165,4,17
165,5,17
165,6,17
168,2,17
170,1,17
170,2,17
170,3,17
170,4,17
170,6,17
178,5,17
192,4,17
192,6,17
194,1,17
198,1,17
203,3,17
203,6,17
206,1,17
206,2,17
215,3,17
215,6,17
216,1,17
216,2,17
216,4,17
216,6,17
217,3,17
217,4,17
217,5,17
223,2,17
225,1,17
225,2,17
234,2,17
236,2,17
242,1,17
242,2,17
242,5,17
250,1,17
254,4,17
254,5,17
259,1,17
266,4,17
266,5,17
268,3,17
271,1,17
272,6,17
275,2,17
275,3,17
275,4,17
275,5,17
275,6,17
279,4,17
282,3,17
284,1,17
284,2,17
284,3,17
284,4,17
284,5,17
284,6,17
285,1,17
287,1,17
42,3,17
48,2,17
50,2,17
50,3,17
50,4,17
50,5,17
54,1,17
55,2,17
55,3,17
55,4,17
55,5,17
55,6,17
59,2,17
60,3,17
60,4,17
60,5,17
60,6,17
62,4,17
62,6,17
63,1,17
71,2,17
72,1,17
73,3,17
73,4,17
74,2,17
76,3,17
77,2,17
81,2,17
81,5,17
88,6,17
89,2,17
91,2,17
92,2,17
92,3,17
92,4,17
92,5,17
92,6,17
95,2,17
95,3,17
98,4,17
98,6,17
99,1,17
99,2,17
166,5,18
