"layer_from","layer_to","ave","sd","mean_distance","type"
1,2,0.086343864799631,0.0671952813396077,305248.84735,"null_pollinators"
1,3,0.0584853403519425,0.0582086660124432,244280.590775,"null_pollinators"
1,4,0.0521771663793723,0.0541283870881094,339381.7762,"null_pollinators"
1,5,0.0559200281128064,0.0586509307542024,389094.179225,"null_pollinators"
1,6,0.0468763610529477,0.0542483310357052,390008.86975,"null_pollinators"
1,7,0.0242930849980773,0.0448461597169924,437371.016375,"null_pollinators"
2,3,0.105463410682025,0.0724310412325428,190474.59875,"null_pollinators"
2,4,0.0936492180720896,0.0719583320988186,284225.3518,"null_pollinators"
2,5,0.084851342933812,0.0722272117387887,337055.48055,"null_pollinators"
2,6,0.076811862565539,0.0718114295218377,376892.630125,"null_pollinators"
2,7,0.0283023605479488,0.0479214547605827,455676.643375,"null_pollinators"
3,4,0.0836075050164833,0.0729892295807055,116460.649125,"null_pollinators"
3,5,0.0728799419749497,0.0702582789864385,173858.830325,"null_pollinators"
3,6,0.0677466688540218,0.0704087475841902,200274.260075,"null_pollinators"
3,7,0.0237817210567211,0.0470427380160381,274346.546,"null_pollinators"
4,5,0.114901977275391,0.0848137071856895,57464.1820425,"null_pollinators"
4,6,0.0831195203489321,0.0732973216566812,92999.56344,"null_pollinators"
4,7,0.0325227138874198,0.0525190337243081,172763.448,"null_pollinators"
5,6,0.0911174820879155,0.0787701555210987,52751.492455,"null_pollinators"
5,7,0.0382383770598167,0.0626377994158185,129414.4136,"null_pollinators"
6,7,0.0397412530280177,0.0629874452071291,80112.73198,"null_pollinators"
