"layer_from","layer_to","ave","sd","ave_dist","trial","mean_dist_in_km"
5,6,0.62962962962963,NA,52751.492455,"0.4",52.751492455
5,7,0.625,NA,129414.4136,"0.4",129.4144136
6,7,0.625,NA,80112.73198,"0.4",80.11273198
1,2,0.272727272727273,NA,305248.84735,"0.5",305.24884735
1,3,0.206896551724138,NA,244280.590775,"0.5",244.280590775
1,4,0.166666666666667,NA,339381.7762,"0.5",339.3817762
1,5,0.176470588235294,NA,389094.179225,"0.5",389.094179225
1,6,0.161290322580645,NA,390008.86975,"0.5",390.00886975
1,7,0.0689655172413793,NA,437371.016375,"0.5",437.371016375
2,3,0.518518518518518,NA,190474.59875,"0.5",190.47459875
2,4,0.32258064516129,NA,284225.3518,"0.5",284.2253518
2,5,0.314285714285714,NA,337055.48055,"0.5",337.05548055
2,6,0.3125,NA,376892.630125,"0.5",376.892630125
2,7,0.233333333333333,NA,455676.643375,"0.5",455.676643375
3,4,0.5,NA,116460.649125,"0.5",116.460649125
3,5,0.394736842105263,NA,173858.830325,"0.5",173.858830325
3,6,0.484848484848485,NA,200274.260075,"0.5",200.274260075
3,7,0.294117647058824,NA,274346.546,"0.5",274.346546
4,5,0.558823529411765,NA,57464.1820425,"0.5",57.4641820425
4,6,0.484848484848485,NA,92999.56344,"0.5",92.99956344
4,7,0.294117647058824,NA,172763.448,"0.5",172.763448
5,6,0.588235294117647,NA,52751.492455,"0.5",52.751492455
5,7,0.580645161290323,NA,129414.4136,"0.5",129.4144136
6,7,0.607142857142857,NA,80112.73198,"0.5",80.11273198
1,2,0.304347826086957,NA,305248.84735,"0.6",305.24884735
1,3,0.1875,NA,244280.590775,"0.6",244.280590775
1,4,0.181818181818182,NA,339381.7762,"0.6",339.3817762
1,5,0.171428571428571,NA,389094.179225,"0.6",389.094179225
1,6,0.181818181818182,NA,390008.86975,"0.6",390.00886975
1,7,0.1,NA,437371.016375,"0.6",437.371016375
2,3,0.466666666666667,NA,190474.59875,"0.6",190.47459875
2,4,0.323529411764706,NA,284225.3518,"0.6",284.2253518
2,5,0.305555555555556,NA,337055.48055,"0.6",337.05548055
2,6,0.323529411764706,NA,376892.630125,"0.6",376.892630125
2,7,0.258064516129032,NA,455676.643375,"0.6",455.676643375
3,4,0.558823529411765,NA,116460.649125,"0.6",116.460649125
3,5,0.375,NA,173858.830325,"0.6",173.858830325
3,6,0.472222222222222,NA,200274.260075,"0.6",200.274260075
3,7,0.305555555555556,NA,274346.546,"0.6",274.346546
4,5,0.513513513513513,NA,57464.1820425,"0.6",57.4641820425
4,6,0.459459459459459,NA,92999.56344,"0.6",92.99956344
4,7,0.297297297297297,NA,172763.448,"0.6",172.763448
5,6,0.555555555555556,NA,52751.492455,"0.6",52.751492455
5,7,0.5625,NA,129414.4136,"0.6",129.4144136
6,7,0.548387096774194,NA,80112.73198,"0.6",80.11273198
1,2,0.304347826086957,NA,305248.84735,"0.7",305.24884735
1,3,0.181818181818182,NA,244280.590775,"0.7",244.280590775
1,4,0.176470588235294,NA,339381.7762,"0.7",339.3817762
1,5,0.166666666666667,NA,389094.179225,"0.7",389.094179225
1,6,0.171428571428571,NA,390008.86975,"0.7",390.00886975
1,7,0.0967741935483871,NA,437371.016375,"0.7",437.371016375
2,3,0.451612903225806,NA,190474.59875,"0.7",190.47459875
2,4,0.314285714285714,NA,284225.3518,"0.7",284.2253518
2,5,0.297297297297297,NA,337055.48055,"0.7",337.05548055
2,6,0.305555555555556,NA,376892.630125,"0.7",376.892630125
2,7,0.25,NA,455676.643375,"0.7",455.676643375
3,4,0.527777777777778,NA,116460.649125,"0.7",116.460649125
3,5,0.357142857142857,NA,173858.830325,"0.7",173.858830325
3,6,0.473684210526316,NA,200274.260075,"0.7",200.274260075
3,7,0.289473684210526,NA,274346.546,"0.7",274.346546
4,5,0.526315789473684,NA,57464.1820425,"0.7",57.4641820425
4,6,0.425,NA,92999.56344,"0.7",92.99956344
4,7,0.282051282051282,NA,172763.448,"0.7",172.763448
5,6,0.512820512820513,NA,52751.492455,"0.7",52.751492455
5,7,0.529411764705882,NA,129414.4136,"0.7",129.4144136
6,7,0.545454545454545,NA,80112.73198,"0.7",80.11273198
1,2,0.291666666666667,NA,305248.84735,"0.8",305.24884735
1,3,0.171428571428571,NA,244280.590775,"0.8",244.280590775
1,4,0.157894736842105,NA,339381.7762,"0.8",339.3817762
1,5,0.153846153846154,NA,389094.179225,"0.8",389.094179225
1,6,0.157894736842105,NA,390008.86975,"0.8",390.00886975
1,7,0.0967741935483871,NA,437371.016375,"0.8",437.371016375
2,3,0.454545454545455,NA,190474.59875,"0.8",190.47459875
2,4,0.307692307692308,NA,284225.3518,"0.8",284.2253518
2,5,0.3,NA,337055.48055,"0.8",337.05548055
2,6,0.307692307692308,NA,376892.630125,"0.8",376.892630125
2,7,0.242424242424242,NA,455676.643375,"0.8",455.676643375
3,4,0.48780487804878,NA,116460.649125,"0.8",116.460649125
3,5,0.377777777777778,NA,173858.830325,"0.8",173.858830325
3,6,0.48780487804878,NA,200274.260075,"0.8",200.274260075
3,7,0.275,NA,274346.546,"0.8",274.346546
4,5,0.511627906976744,NA,57464.1820425,"0.8",57.4641820425
4,6,0.422222222222222,NA,92999.56344,"0.8",92.99956344
4,7,0.255813953488372,NA,172763.448,"0.8",172.763448
5,6,0.511627906976744,NA,52751.492455,"0.8",52.751492455
5,7,0.486486486486487,NA,129414.4136,"0.8",129.4144136
6,7,0.5,NA,80112.73198,"0.8",80.11273198
1,2,0.32,NA,305248.84735,"0.9",305.24884735
1,3,0.157894736842105,NA,244280.590775,"0.9",244.280590775
1,4,0.15,NA,339381.7762,"0.9",339.3817762
1,5,0.146341463414634,NA,389094.179225,"0.9",389.094179225
1,6,0.146341463414634,NA,390008.86975,"0.9",390.00886975
1,7,0.09375,NA,437371.016375,"0.9",437.371016375
2,3,0.416666666666667,NA,190474.59875,"0.9",190.47459875
2,4,0.292682926829268,NA,284225.3518,"0.9",284.2253518
2,5,0.285714285714286,NA,337055.48055,"0.9",337.05548055
2,6,0.285714285714286,NA,376892.630125,"0.9",376.892630125
2,7,0.235294117647059,NA,455676.643375,"0.9",455.676643375
3,4,0.488372093023256,NA,116460.649125,"0.9",116.460649125
3,5,0.382978723404255,NA,173858.830325,"0.9",173.858830325
3,6,0.511627906976744,NA,200274.260075,"0.9",200.274260075
3,7,0.261904761904762,NA,274346.546,"0.9",274.346546
4,5,0.522727272727273,NA,57464.1820425,"0.9",57.4641820425
4,6,0.425531914893617,NA,92999.56344,"0.9",92.99956344
4,7,0.25,NA,172763.448,"0.9",172.763448
5,6,0.511111111111111,NA,52751.492455,"0.9",52.751492455
5,7,0.473684210526316,NA,129414.4136,"0.9",129.4144136
6,7,0.473684210526316,NA,80112.73198,"0.9",80.11273198
1,2,0.32,NA,305248.84735,"1",305.24884735
1,3,0.157894736842105,NA,244280.590775,"1",244.280590775
1,4,0.13953488372093,NA,339381.7762,"1",339.3817762
1,5,0.13953488372093,NA,389094.179225,"1",389.094179225
1,6,0.142857142857143,NA,390008.86975,"1",390.00886975
1,7,0.0857142857142857,NA,437371.016375,"1",437.371016375
2,3,0.416666666666667,NA,190474.59875,"1",190.47459875
2,4,0.272727272727273,NA,284225.3518,"1",284.2253518
2,5,0.272727272727273,NA,337055.48055,"1",337.05548055
2,6,0.27906976744186,NA,376892.630125,"1",376.892630125
2,7,0.216216216216216,NA,455676.643375,"1",455.676643375
3,4,0.456521739130435,NA,116460.649125,"1",116.460649125
3,5,0.36734693877551,NA,173858.830325,"1",173.858830325
3,6,0.5,NA,200274.260075,"1",200.274260075
3,7,0.244444444444444,NA,274346.546,"1",274.346546
4,5,0.5,NA,57464.1820425,"1",57.4641820425
4,6,0.42,NA,92999.56344,"1",92.99956344
4,7,0.270833333333333,NA,172763.448,"1",172.763448
5,6,0.479166666666667,NA,52751.492455,"1",52.751492455
5,7,0.48780487804878,NA,129414.4136,"1",129.4144136
6,7,0.428571428571429,NA,80112.73198,"1",80.11273198
