"node_id","module","layer_id","flow","type","species","trial_num"
1,4,4,0.0129054,"plant","Argyranthemum.frutescens",0.1
1,4,5,0.0120133,"plant","Argyranthemum.frutescens",0.1
1,4,6,0.0105388,"plant","Argyranthemum.frutescens",0.1
2,6,1,7.35705e-05,"plant","Argyranthemum.sp.",0.1
3,9,1,0.00796531,"plant","Asparagus.pastorianus",0.1
4,10,5,0.000397514,"plant","Asphaltklee.bituminosa",0.1
4,17,6,0.00177936,"plant","Asphaltklee.bituminosa",0.1
4,17,7,0.00295709,"plant","Asphaltklee.bituminosa",0.1
5,10,5,0.00301353,"plant","Ceballosia.fruticosa",0.1
5,10,7,0.00168846,"plant","Ceballosia.fruticosa",0.1
6,25,5,0.000610834,"plant","Ceropegia.dichotoma",0.1
7,1,4,0.000126778,"plant","Ceropegia.fusca",0.1
8,6,1,0.0109858,"plant","Euphorbia.balsamifera..f.",0.1
8,6,2,0.00901833,"plant","Euphorbia.balsamifera..f.",0.1
8,1,3,0.0103225,"plant","Euphorbia.balsamifera..f.",0.1
8,1,4,0.00759497,"plant","Euphorbia.balsamifera..f.",0.1
8,1,5,0.00940687,"plant","Euphorbia.balsamifera..f.",0.1
8,1,6,0.0106161,"plant","Euphorbia.balsamifera..f.",0.1
8,1,7,0.00663435,"plant","Euphorbia.balsamifera..f.",0.1
9,2,1,0.0228125,"plant","Euphorbia.balsamifera..m.",0.1
9,2,2,0.0255212,"plant","Euphorbia.balsamifera..m.",0.1
9,2,3,0.0197571,"plant","Euphorbia.balsamifera..m.",0.1
9,2,4,0.0150263,"plant","Euphorbia.balsamifera..m.",0.1
9,2,5,0.0219372,"plant","Euphorbia.balsamifera..m.",0.1
9,2,6,0.0184921,"plant","Euphorbia.balsamifera..m.",0.1
9,2,7,0.016376,"plant","Euphorbia.balsamifera..m.",0.1
10,1,4,0.0100445,"plant","Euphorbia.lamarckii",0.1
10,1,5,0.00446723,"plant","Euphorbia.lamarckii",0.1
10,1,6,0.00837635,"plant","Euphorbia.lamarckii",0.1
10,1,7,0.0196577,"plant","Euphorbia.lamarckii",0.1
11,13,3,0.00901814,"plant","Euphorbia.regis.jubae",0.1
12,12,1,0.00116268,"plant","Fagonia.albiflora",0.1
12,5,3,0.00371317,"plant","Fagonia.albiflora",0.1
12,5,4,0.000815723,"plant","Fagonia.albiflora",0.1
12,5,5,0.00428447,"plant","Fagonia.albiflora",0.1
12,5,6,0.0025411,"plant","Fagonia.albiflora",0.1
13,15,4,0.00300597,"plant","Frankenia.laevis",0.1
