"layer_id","module","module_size","Total_sp","Prop_sp","layer_name"
1,4,1,72,0.0138888888888889,"WesternSahara"
1,9,20,72,0.277777777777778,"WesternSahara"
1,12,10,72,0.138888888888889,"WesternSahara"
1,13,8,72,0.111111111111111,"WesternSahara"
1,14,14,72,0.194444444444444,"WesternSahara"
1,15,10,72,0.138888888888889,"WesternSahara"
1,21,4,72,0.0555555555555556,"WesternSahara"
1,27,5,72,0.0694444444444444,"WesternSahara"
2,1,1,65,0.0153846153846154,"Fuerteventura"
2,2,25,65,0.384615384615385,"Fuerteventura"
2,3,1,65,0.0153846153846154,"Fuerteventura"
2,4,19,65,0.292307692307692,"Fuerteventura"
2,8,5,65,0.0769230769230769,"Fuerteventura"
2,11,6,65,0.0923076923076923,"Fuerteventura"
2,20,5,65,0.0769230769230769,"Fuerteventura"
2,24,3,65,0.0461538461538462,"Fuerteventura"
3,1,9,61,0.147540983606557,"GranCanaria"
3,3,7,61,0.114754098360656,"GranCanaria"
3,4,1,61,0.0163934426229508,"GranCanaria"
3,5,15,61,0.245901639344262,"GranCanaria"
3,7,5,61,0.0819672131147541,"GranCanaria"
3,8,5,61,0.0819672131147541,"GranCanaria"
3,10,3,61,0.0491803278688525,"GranCanaria"
3,16,14,61,0.229508196721311,"GranCanaria"
3,26,2,61,0.0327868852459016,"GranCanaria"
4,1,29,84,0.345238095238095,"TenerifeSouth"
4,3,7,84,0.0833333333333333,"TenerifeSouth"
4,4,1,84,0.0119047619047619,"TenerifeSouth"
4,5,11,84,0.130952380952381,"TenerifeSouth"
4,6,12,84,0.142857142857143,"TenerifeSouth"
4,7,3,84,0.0357142857142857,"TenerifeSouth"
4,8,2,84,0.0238095238095238,"TenerifeSouth"
4,10,5,84,0.0595238095238095,"TenerifeSouth"
4,22,4,84,0.0476190476190476,"TenerifeSouth"
4,25,5,84,0.0595238095238095,"TenerifeSouth"
4,28,3,84,0.0357142857142857,"TenerifeSouth"
4,29,2,84,0.0238095238095238,"TenerifeSouth"
5,1,16,78,0.205128205128205,"TenerifeTeno"
5,3,14,78,0.179487179487179,"TenerifeTeno"
5,4,3,78,0.0384615384615385,"TenerifeTeno"
5,5,2,78,0.0256410256410256,"TenerifeTeno"
5,6,11,78,0.141025641025641,"TenerifeTeno"
5,7,5,78,0.0641025641025641,"TenerifeTeno"
5,8,6,78,0.0769230769230769,"TenerifeTeno"
5,9,1,78,0.0128205128205128,"TenerifeTeno"
5,10,4,78,0.0512820512820513,"TenerifeTeno"
5,17,8,78,0.102564102564103,"TenerifeTeno"
5,22,4,78,0.0512820512820513,"TenerifeTeno"
5,23,2,78,0.0256410256410256,"TenerifeTeno"
5,30,2,78,0.0256410256410256,"TenerifeTeno"
6,1,22,65,0.338461538461538,"Gomera"
6,2,1,65,0.0153846153846154,"Gomera"
6,3,8,65,0.123076923076923,"Gomera"
6,4,1,65,0.0153846153846154,"Gomera"
6,5,7,65,0.107692307692308,"Gomera"
6,6,10,65,0.153846153846154,"Gomera"
6,7,6,65,0.0923076923076923,"Gomera"
6,8,3,65,0.0461538461538462,"Gomera"
6,17,1,65,0.0153846153846154,"Gomera"
6,18,6,65,0.0923076923076923,"Gomera"
7,1,32,65,0.492307692307692,"Hierro"
7,3,9,65,0.138461538461538,"Hierro"
7,5,1,65,0.0153846153846154,"Hierro"
7,10,7,65,0.107692307692308,"Hierro"
7,17,4,65,0.0615384615384615,"Hierro"
7,19,7,65,0.107692307692308,"Hierro"
7,23,5,65,0.0769230769230769,"Hierro"
