"layer_from","layer_to","module","mean_distance","turnover","trial"
1,2,NA,305248.84735,0.0666666666666667,223
1,2,NA,305248.84735,0.0714285714285714,324
1,2,NA,305248.84735,0.0666666666666667,221
1,2,NA,305248.84735,0.0625,224
1,2,NA,305248.84735,0.0625,323
1,2,NA,305248.84735,0,222
1,2,NA,305248.84735,0.133333333333333,255
1,2,NA,305248.84735,0,320
1,2,NA,305248.84735,0.0666666666666667,226
1,2,NA,305248.84735,0.0666666666666667,359
1,2,NA,305248.84735,0.1875,245
1,2,NA,305248.84735,0.0666666666666667,558
1,2,NA,305248.84735,0.0588235294117647,317
1,2,NA,305248.84735,0,560
1,2,NA,305248.84735,0,319
1,2,NA,305248.84735,0,321
1,2,NA,305248.84735,0.0625,557
1,2,NA,305248.84735,0.0769230769230769,244
1,2,NA,305248.84735,0,246
1,2,NA,305248.84735,0.153846153846154,325
1,2,NA,305248.84735,0.3125,248
1,2,NA,305248.84735,0.0526315789473684,273
1,2,NA,305248.84735,0.25,225
1,2,NA,305248.84735,0.0555555555555556,331
1,2,NA,305248.84735,0.0625,383
1,2,NA,305248.84735,0.0476190476190476,227
1,2,NA,305248.84735,0.0625,360
1,2,NA,305248.84735,0.117647058823529,256
1,2,NA,305248.84735,0.2,337
1,2,NA,305248.84735,0,314
1,2,NA,305248.84735,0.0555555555555556,233
1,2,NA,305248.84735,0,316
1,2,NA,305248.84735,0.133333333333333,559
1,2,NA,305248.84735,0.0769230769230769,318
1,2,NA,305248.84735,0.2,561
1,2,NA,305248.84735,0.0666666666666667,291
1,2,NA,305248.84735,0.117647058823529,322
1,2,NA,305248.84735,0.0666666666666667,268
1,2,NA,305248.84735,0.0526315789473684,349
1,2,NA,305248.84735,0.0625,247
1,2,NA,305248.84735,0.1875,326
1,2,NA,305248.84735,0.125,249
1,2,NA,305248.84735,0.142857142857143,274
1,2,NA,305248.84735,0.0714285714285714,251
1,2,NA,305248.84735,0.0714285714285714,332
1,2,NA,305248.84735,0.176470588235294,384
1,2,NA,305248.84735,0,228
1,2,NA,305248.84735,0.2,361
1,2,NA,305248.84735,0.0588235294117647,257
1,2,NA,305248.84735,0.0666666666666667,338
1,2,NA,305248.84735,0.117647058823529,315
1,2,NA,305248.84735,0.125,234
1,2,NA,305248.84735,0.133333333333333,342
1,2,NA,305248.84735,0,238
1,2,NA,305248.84735,0.142857142857143,344
1,2,NA,305248.84735,0.117647058823529,562
1,2,NA,305248.84735,0.0666666666666667,292
1,2,NA,305248.84735,0,564
1,2,NA,305248.84735,0.0833333333333333,269
1,2,NA,305248.84735,0.0769230769230769,350
1,2,NA,305248.84735,0,568
1,2,NA,305248.84735,0.0666666666666667,327
1,2,NA,305248.84735,0.0666666666666667,250
1,2,NA,305248.84735,0.285714285714286,275
1,2,NA,305248.84735,0.0625,252
1,2,NA,305248.84735,0,333
1,2,NA,305248.84735,0.166666666666667,385
1,2,NA,305248.84735,0.142857142857143,229
1,2,NA,305248.84735,0.166666666666667,362
1,2,NA,305248.84735,0.0625,258
1,2,NA,305248.84735,0,339
1,2,NA,305248.84735,0.0666666666666667,366
1,2,NA,305248.84735,0.0769230769230769,235
1,2,NA,305248.84735,0.125,343
1,2,NA,305248.84735,0,239
1,2,NA,305248.84735,0,345
1,2,NA,305248.84735,0,563
1,2,NA,305248.84735,0.0625,293
1,2,NA,305248.84735,0,565
1,2,NA,305248.84735,0,270
1,2,NA,305248.84735,0.0666666666666667,351
1,2,NA,305248.84735,0.2,569
1,2,NA,305248.84735,0,328
1,2,NA,305248.84735,0.117647058823529,571
