"layer_from","layer_to","module","mean_distance","turnover","trial"
1,2,NA,305248.84735,0.0625,917
1,2,NA,305248.84735,0,918
1,2,NA,305248.84735,0,921
1,2,NA,305248.84735,0,899
1,2,NA,305248.84735,0,923
1,2,NA,305248.84735,0,900
1,2,NA,305248.84735,0.0555555555555556,919
1,2,NA,305248.84735,0.0625,924
1,2,NA,305248.84735,0.0588235294117647,780
1,2,NA,305248.84735,0.0555555555555556,901
1,2,NA,305248.84735,0.0555555555555556,817
1,2,NA,305248.84735,0,925
1,2,NA,305248.84735,0.111111111111111,626
1,2,NA,305248.84735,0,916
1,2,NA,305248.84735,0,922
1,2,NA,305248.84735,0,778
1,2,NA,305248.84735,0,890
1,2,NA,305248.84735,0,933
1,2,NA,305248.84735,0,892
1,2,NA,305248.84735,0,935
1,2,NA,305248.84735,0,898
1,2,NA,305248.84735,0,777
1,2,NA,305248.84735,0.0588235294117647,896
1,2,NA,305248.84735,0,779
1,2,NA,305248.84735,0,891
1,2,NA,305248.84735,0,781
1,2,NA,305248.84735,0,902
1,2,NA,305248.84735,0,920
1,2,NA,305248.84735,0,956
1,2,NA,305248.84735,0.0555555555555556,627
1,2,NA,305248.84735,0,897
1,2,NA,305248.84735,0,818
1,2,NA,305248.84735,0,926
1,2,NA,305248.84735,0.0666666666666667,894
1,2,NA,305248.84735,0,903
1,2,NA,305248.84735,0,905
1,2,NA,305248.84735,0,957
1,2,NA,305248.84735,0,907
1,2,NA,305248.84735,0,934
1,2,NA,305248.84735,0,893
1,2,NA,305248.84735,0,936
1,2,NA,305248.84735,0,895
1,2,NA,305248.84735,0,938
1,2,NA,305248.84735,0,915
1,2,NA,305248.84735,0,782
1,2,NA,305248.84735,0,784
1,2,NA,305248.84735,0.0625,348
1,2,NA,305248.84735,0,786
1,2,NA,305248.84735,0.0625,759
1,2,NA,305248.84735,0,788
1,2,NA,305248.84735,0.0588235294117647,628
1,2,NA,305248.84735,0,354
1,2,NA,305248.84735,0,819
1,2,NA,305248.84735,0,927
1,2,NA,305248.84735,0,904
1,2,NA,305248.84735,0,742
1,2,NA,305248.84735,0,906
1,2,NA,305248.84735,0,958
1,2,NA,305248.84735,0.0526315789473684,908
1,2,NA,305248.84735,0,960
1,2,NA,305248.84735,0,887
1,2,NA,305248.84735,0,937
1,2,NA,305248.84735,0.0555555555555556,889
1,2,NA,305248.84735,0,939
1,2,NA,305248.84735,0,783
1,2,NA,305248.84735,0,320
1,2,NA,305248.84735,0,785
1,2,NA,305248.84735,0,349
1,2,NA,305248.84735,0,787
1,2,NA,305248.84735,0,760
1,2,NA,305248.84735,0,789
1,2,NA,305248.84735,0,629
1,2,NA,305248.84735,0,355
1,2,NA,305248.84735,0,820
1,2,NA,305248.84735,0,928
1,2,NA,305248.84735,0,822
1,2,NA,305248.84735,0,743
1,2,NA,305248.84735,0,932
1,2,NA,305248.84735,0,959
1,2,NA,305248.84735,0,909
1,2,NA,305248.84735,0,961
1,2,NA,305248.84735,0,888
1,2,NA,305248.84735,0,963
1,2,NA,305248.84735,0,159
1,2,NA,305248.84735,0,940
1,2,NA,305248.84735,0,1
1,2,NA,305248.84735,0.0625,321
1,2,NA,305248.84735,0,944
1,2,NA,305248.84735,0,350
1,2,NA,305248.84735,0,946
1,2,NA,305248.84735,0,761
1,2,NA,305248.84735,0,790
1,2,NA,305248.84735,0,630
1,2,NA,305248.84735,0,356
1,2,NA,305248.84735,0,821
1,2,NA,305248.84735,0.0666666666666667,929
1,2,NA,305248.84735,0,823
1,2,NA,305248.84735,0.0555555555555556,744
1,2,NA,305248.84735,0.0555555555555556,771
1,2,NA,305248.84735,0,748
1,2,NA,305248.84735,0,910
1,2,NA,305248.84735,0,962
1,2,NA,305248.84735,0,158
1,2,NA,305248.84735,0,964
1,2,NA,305248.84735,0.0555555555555556,160
1,2,NA,305248.84735,0,941
1,2,NA,305248.84735,0,2
1,2,NA,305248.84735,0,322
1,2,NA,305248.84735,0,945
1,2,NA,305248.84735,0,351
1,2,NA,305248.84735,0,947
1,2,NA,305248.84735,0,762
1,2,NA,305248.84735,0.0555555555555556,791
1,2,NA,305248.84735,0,631
1,2,NA,305248.84735,0.0555555555555556,357
1,2,NA,305248.84735,0.05,633
1,2,NA,305248.84735,0,930
1,2,NA,305248.84735,0,824
1,2,NA,305248.84735,0,745
1,2,NA,305248.84735,0,772
1,2,NA,305248.84735,0,749
1,2,NA,305248.84735,0,911
1,2,NA,305248.84735,0,751
1,2,NA,305248.84735,0,913
1,2,NA,305248.84735,0,965
1,2,NA,305248.84735,0,161
1,2,NA,305248.84735,0,942
1,2,NA,305248.84735,0,3
1,2,NA,305248.84735,0,323
1,2,NA,305248.84735,0.0625,5
1,2,NA,305248.84735,0,352
1,2,NA,305248.84735,0.0555555555555556,948
1,2,NA,305248.84735,0,763
1,2,NA,305248.84735,0,792
1,2,NA,305248.84735,0,632
1,2,NA,305248.84735,0,358
1,2,NA,305248.84735,0,634
1,2,NA,305248.84735,0,931
1,2,NA,305248.84735,0,825
1,2,NA,305248.84735,0.0526315789473684,746
1,2,NA,305248.84735,0,773
1,2,NA,305248.84735,0,750
1,2,NA,305248.84735,0,912
1,2,NA,305248.84735,0,752
1,2,NA,305248.84735,0,914
1,2,NA,305248.84735,0,966
1,2,NA,305248.84735,0,162
1,2,NA,305248.84735,0,943
1,2,NA,305248.84735,0,4
1,2,NA,305248.84735,0,324
1,2,NA,305248.84735,0.0588235294117647,6
1,2,NA,305248.84735,0,353
1,2,NA,305248.84735,0,949
1,2,NA,305248.84735,0,764
1,2,NA,305248.84735,0,793
1,2,NA,305248.84735,0,741
1,2,NA,305248.84735,0,359
1,2,NA,305248.84735,0,635
1,2,NA,305248.84735,0,770
1,2,NA,305248.84735,0,826
1,2,NA,305248.84735,0,747
1,2,NA,305248.84735,0,774
1,2,NA,305248.84735,0,776
1,2,NA,305248.84735,0,342
1,2,NA,305248.84735,0,753
1,2,NA,305248.84735,0,319
1,2,NA,305248.84735,0,967
1,2,NA,305248.84735,0,163
1,2,NA,305248.84735,0,811
1,2,NA,305248.84735,0,30
1,2,NA,305248.84735,0,325
1,2,NA,305248.84735,0,7
1,2,NA,305248.84735,0,169
1,2,NA,305248.84735,0,950
1,2,NA,305248.84735,0,765
1,2,NA,305248.84735,0,794
1,2,NA,305248.84735,0,175
1,2,NA,305248.84735,0,360
1,2,NA,305248.84735,0,636
1,2,NA,305248.84735,0,690
1,2,NA,305248.84735,0,827
1,2,NA,305248.84735,0,314
1,2,NA,305248.84735,0,775
1,2,NA,305248.84735,0,534
1,2,NA,305248.84735,0,343
1,2,NA,305248.84735,0,754
1,2,NA,305248.84735,0.0454545454545455,187
1,2,NA,305248.84735,0,968
1,2,NA,305248.84735,0.0588235294117647,164
1,2,NA,305248.84735,0,812
1,2,NA,305248.84735,0,31
1,2,NA,305248.84735,0,326
1,2,NA,305248.84735,0,8
1,2,NA,305248.84735,0,170
1,2,NA,305248.84735,0,951
1,2,NA,305248.84735,0,766
1,2,NA,305248.84735,0,795
1,2,NA,305248.84735,0.0526315789473684,176
1,2,NA,305248.84735,0,361
1,2,NA,305248.84735,0,637
1,2,NA,305248.84735,0,691
1,2,NA,305248.84735,0,828
1,2,NA,305248.84735,0,315
1,2,NA,305248.84735,0,830
1,2,NA,305248.84735,0,535
1,2,NA,305248.84735,0,344
1,2,NA,305248.84735,0,755
1,2,NA,305248.84735,0,188
1,2,NA,305248.84735,0,969
1,2,NA,305248.84735,0.0555555555555556,165
1,2,NA,305248.84735,0,813
1,2,NA,305248.84735,0,32
1,2,NA,305248.84735,0,327
1,2,NA,305248.84735,0,9
1,2,NA,305248.84735,0,171
1,2,NA,305248.84735,0,952
1,2,NA,305248.84735,0,767
1,2,NA,305248.84735,0.0555555555555556,796
1,2,NA,305248.84735,0,177
1,2,NA,305248.84735,0,362
1,2,NA,305248.84735,0.0526315789473684,638
1,2,NA,305248.84735,0.0588235294117647,692
1,2,NA,305248.84735,0,829
1,2,NA,305248.84735,0,316
1,2,NA,305248.84735,0,831
1,2,NA,305248.84735,0.0625,536
1,2,NA,305248.84735,0.0588235294117647,345
1,2,NA,305248.84735,0,756
1,2,NA,305248.84735,0,189
1,2,NA,305248.84735,0,970
1,2,NA,305248.84735,0,166
1,2,NA,305248.84735,0,814
1,2,NA,305248.84735,0,33
1,2,NA,305248.84735,0,328
1,2,NA,305248.84735,0,10
1,2,NA,305248.84735,0,172
1,2,NA,305248.84735,0,953
1,2,NA,305248.84735,0,768
1,2,NA,305248.84735,0,797
1,2,NA,305248.84735,0,178
1,2,NA,305248.84735,0,363
1,2,NA,305248.84735,0.125,639
1,2,NA,305248.84735,0.05,693
1,2,NA,305248.84735,0,641
1,2,NA,305248.84735,0.0588235294117647,317
1,2,NA,305248.84735,0,832
1,2,NA,305248.84735,0,537
1,2,NA,305248.84735,0,346
1,2,NA,305248.84735,0,757
1,2,NA,305248.84735,0,190
1,2,NA,305248.84735,0,971
1,2,NA,305248.84735,0,167
1,2,NA,305248.84735,0.0526315789473684,815
1,2,NA,305248.84735,0,34
1,2,NA,305248.84735,0,329
1,2,NA,305248.84735,0,11
1,2,NA,305248.84735,0,173
1,2,NA,305248.84735,0,954
1,2,NA,305248.84735,0,769
1,2,NA,305248.84735,0,798
1,2,NA,305248.84735,0,179
1,2,NA,305248.84735,0,364
1,2,NA,305248.84735,0,640
1,2,NA,305248.84735,0,694
1,2,NA,305248.84735,0,642
1,2,NA,305248.84735,0,318
1,2,NA,305248.84735,0,833
