"layer_from","layer_to","ave","sd","mean_distance","type"
1,2,0.0510930726136608,0.0532373815675907,305248.84735,"null_plants"
1,3,0.0200775946275946,0.0329327870349405,244280.590775,"null_plants"
1,4,0.0163941649466804,0.0285480883348734,339381.7762,"null_plants"
1,5,0.0229429326993955,0.0320714983209555,389094.179225,"null_plants"
1,6,0.0448701207676053,0.0421374734647162,390008.86975,"null_plants"
1,7,0.00581586134453782,0.0200723371660647,437371.016375,"null_plants"
2,3,0.217249970862471,0.0676942145466152,190474.59875,"null_plants"
2,4,0.178922194390577,0.0517730359255008,284225.3518,"null_plants"
2,5,0.162021836831899,0.0604034393011631,337055.48055,"null_plants"
2,6,0.185918344400697,0.0692786768206467,376892.630125,"null_plants"
2,7,0.141033417970918,0.0603907998385611,455676.643375,"null_plants"
3,4,0.247657050139403,0.0705453175509609,116460.649125,"null_plants"
3,5,0.163423548918402,0.0559792893891025,173858.830325,"null_plants"
3,6,0.236129932975521,0.0657801160437378,200274.260075,"null_plants"
3,7,0.191888883338883,0.0716560629525789,274346.546,"null_plants"
4,5,0.206478468843678,0.0546907748487418,57464.1820425,"null_plants"
4,6,0.165345241166642,0.0572173027046029,92999.56344,"null_plants"
4,7,0.158106095946537,0.0554939556764115,172763.448,"null_plants"
5,6,0.16400760855072,0.0555037117874611,52751.492455,"null_plants"
5,7,0.149594025762679,0.0487445109539126,129414.4136,"null_plants"
6,7,0.202005638805639,0.0749992549775874,80112.73198,"null_plants"
