"module","node_id","layer_id","flow","type","species","size_of_module"
1,238,6,0.000772839,"pollinator","Sarcophagidae_sp._8",109
1,187,5,0.000171412,"pollinator","Musca_domestica",109
1,193,7,0.000324404,"pollinator","Neodryophilus_cryptophagoides",109
1,163,6,0.00490719,"pollinator","Lasioglossum_loetum",109
1,176,4,6.57118e-05,"pollinator","Megachile_canariensis",109
1,218,4,0.000306474,"pollinator","Platypalpus_sp.",109
1,150,4,8.6036e-05,"pollinator","Fannia_sp.",109
1,169,7,6.88575e-05,"pollinator","Linnaemyia_soror",109
1,187,3,0.000997637,"pollinator","Musca_domestica",109
1,193,5,1.90458e-05,"pollinator","Neodryophilus_cryptophagoides",109
1,127,7,5.14465e-05,"pollinator","Delia_flavibasis",109
2,8,2,0.0268252,"plant","Euphorbia.balsamifera..f.",26
2,242,2,0.00644212,"pollinator","Sciaridae_sp.",26
2,93,2,0.000182099,"pollinator","Cecidomyiidae_sp.",26
2,235,2,0.00387712,"pollinator","Sarcophagidae_sp._5",26
2,210,2,0.000182099,"pollinator","Phalacrus_coruscus",26
2,214,2,0.000182099,"pollinator","Phyto_nigrobarbata",26
2,84,2,0.000688545,"pollinator","Blaesoxipha_sp._1",26
2,257,2,0.000182099,"pollinator","Tachyagetes_aemulans",26
2,216,6,0.0105605,"pollinator","Plagiolepis_schmitzii",26
2,216,2,0.0518034,"pollinator","Plagiolepis_schmitzii",26
2,122,2,0.000546297,"pollinator","Cryptocephalus_nubigena",26
2,81,2,0.0060077,"pollinator","Aulacoderus_canariensis",26
2,183,2,0.000182099,"pollinator","Milichiidae_sp.",26
2,240,2,0.000182099,"pollinator","Scaptomyza_sp._2",26
2,106,2,0.000489025,"pollinator","Chloropidae_sp._2",26
2,59,2,0.00250029,"pollinator","Aphthona_wachnitzae",26
2,69,2,0.000546297,"pollinator","Asteia_caesia",26
2,66,2,0.000172136,"pollinator","Araneae_sp._1",26
2,263,2,0.000182099,"pollinator","Tethinidae_sp._3",26
2,9,2,0.0676007,"plant","Euphorbia.balsamifera..m.",26
2,188,2,0.000172136,"pollinator","Musca_osiris",26
2,229,2,0.000364198,"pollinator","Sapromyza_sp.",26
2,274,2,0.0188398,"pollinator","Thysanoptera_sp._1",26
2,77,2,0.0043396,"pollinator","Attalus_olivensis",26
2,197,2,0.000182099,"pollinator","Nyctia_lugubris",26
2,219,2,0.000182099,"pollinator","Platypalpus_sp._1",26
3,94,7,3.42214e-05,"pollinator","Cecydomyiidae_sp.",46
3,251,3,3.299e-05,"pollinator","Stenoselma_sp.",46
3,272,6,0.005591,"pollinator","Thyridanthrax_indigenus",46
3,200,4,7.1544e-05,"pollinator","Oscinella_sp._2",46
3,107,7,0.000282388,"pollinator","Chloropidae_sp._3",46
3,108,6,0.000148185,"pollinator","Chloropidae_sp._4",46
3,9,7,0.00718523,"plant","Euphorbia.balsamifera..m.",46
3,47,6,0.00133367,"pollinator","Anaspis_cf._canariensis",46
3,141,5,0.000313866,"pollinator","Eumerus_latitarsis",46
3,270,7,0.000304385,"pollinator","Thomisus_cf._onustus",46
3,233,7,3.42214e-05,"pollinator","Sarcophagidae_sp._3",46
3,184,5,1.24717e-05,"pollinator","Minotetrastichus_sp.",46
3,83,5,4.98867e-05,"pollinator","Bassus_sp.",46
3,50,2,0.00236565,"pollinator","Anaspis_proteus",46
3,133,6,0.000444556,"pollinator","Empididae_sp._1",46
3,9,5,0.00607585,"plant","Euphorbia.balsamifera..m.",46
3,106,3,9.897e-05,"pollinator","Chloropidae_sp._2",46
3,9,6,0.0267222,"plant","Euphorbia.balsamifera..m.",46
3,36,6,0.00029513,"plant","Salvia.aegyptiaca",46
3,104,5,1.24717e-05,"pollinator","Chloropidae_sp.",46
3,167,4,3.5772e-05,"pollinator","Leptochilus_eatoni",46
3,9,4,0.00568668,"plant","Euphorbia.balsamifera..m.",46
3,78,5,4.10504e-05,"pollinator","Attalus_pallipes",46
3,247,4,3.5772e-05,"pollinator","Sibinia_sericea",46
3,246,3,8.01953e-05,"pollinator","Sepsis_sp.",46
3,270,5,1.24717e-05,"pollinator","Thomisus_cf._onustus",46
3,9,3,0.0130169,"plant","Euphorbia.balsamifera..m.",46
3,53,3,3.299e-05,"pollinator","Andrena_wollastoni",46
3,121,7,8.56678e-05,"pollinator","Cryptocephalus_nitidicollis",46
3,274,5,0.00116172,"pollinator","Thysanoptera_sp._1",46
3,274,7,0.00197261,"pollinator","Thysanoptera_sp._1",46
3,142,5,0.000131635,"pollinator","Eumerus_nivariae",46
3,50,4,0.000997109,"pollinator","Anaspis_proteus",46
3,120,5,1.24717e-05,"pollinator","Cryptocephalus_gounellei",46
3,205,6,0.000148185,"pollinator","Oxyopes_kraepelinorum",46
3,118,5,1.24717e-05,"pollinator","Crematogaster_alluaudi",46
3,141,7,0.000509981,"pollinator","Eumerus_latitarsis",46
3,141,6,0.0065333,"pollinator","Eumerus_latitarsis",46
3,79,4,3.5772e-05,"pollinator","Attalus_ruficollis",46
3,87,5,1.24717e-05,"pollinator","Bracon_sp.",46
3,50,5,0.00166812,"pollinator","Anaspis_proteus",46
3,274,3,0.00706193,"pollinator","Thysanoptera_sp._1",46
3,175,5,5.35221e-05,"pollinator","Malthinus_mutabilis",46
3,228,7,3.42214e-05,"pollinator","Rondania_insularis",46
3,87,4,0.000305936,"pollinator","Bracon_sp.",46
3,50,3,0.00251831,"pollinator","Anaspis_proteus",46
4,284,3,0.00118992,"pollinator","Urelliosoma_guimari",26
4,74,2,0.000325062,"pollinator","Attalus_chrysanthemi",26
4,284,2,0.00392163,"pollinator","Urelliosoma_guimari",26
4,225,2,0.00290254,"pollinator","Pteromalus_sp._2",26
4,163,2,0.000884288,"pollinator","Lasioglossum_loetum",26
4,95,2,0.000325062,"pollinator","Cephalodromia_sp.",26
4,48,2,0.000650124,"pollinator","Anaspis_cf._eversi",26
4,236,2,0.000650124,"pollinator","Sarcophagidae_sp._6",26
4,99,2,0.000975186,"pollinator","Chalicodoma_sicula",26
4,17,5,0.000785638,"plant","Launaea.arborescens",26
4,284,6,0.00180437,"pollinator","Urelliosoma_guimari",26
4,125,2,0.00195037,"pollinator","Dasytes_lanzarotensis",26
4,153,2,0.000325062,"pollinator","Geometridae_sp._2",26
4,71,2,0.000325062,"pollinator","Attagenus_abbreviatus",26
4,284,1,0.000588618,"pollinator","Urelliosoma_guimari",26
4,284,5,0.000403375,"pollinator","Urelliosoma_guimari",26
4,170,2,0.00456808,"pollinator","Lucilia_sericata",26
4,111,2,0.00199743,"pollinator","Chrysomya_albiceps",26
4,17,2,0.0344892,"plant","Launaea.arborescens",26
4,223,2,0.000325062,"pollinator","Proconura_sp._2",26
4,89,2,0.00130025,"pollinator","Campiglossa_martii",26
4,128,2,0.000975186,"pollinator","Diglyphus_chabrias",26
4,146,2,0.000325062,"pollinator","Eurytoma_sp._2",26
4,206,2,0.000701458,"pollinator","Paragus_tibialis",26
4,178,5,0.000313002,"pollinator","Megaselia_sp._2",26
4,284,4,0.000872667,"pollinator","Urelliosoma_guimari",26
5,34,6,0.00162195,"plant","Plocama.pendula",36
5,115,3,0.000405429,"pollinator","Colletes_dimidiatus",36
5,165,7,0.00147451,"pollinator","Lasioglossum_viride",36
5,217,3,0.000317781,"pollinator","Plagiolepis_sp._2",36
5,73,4,0.000200221,"pollinator","Attagenus_wollastoni",36
5,34,4,0.000208244,"plant","Plocama.pendula",36
5,73,3,0.000436656,"pollinator","Attagenus_wollastoni",36
5,34,3,0.00314107,"plant","Plocama.pendula",36
5,165,6,0.0114463,"pollinator","Lasioglossum_viride",36
5,17,4,0.00361666,"plant","Launaea.arborescens",36
5,17,6,0.0146711,"plant","Launaea.arborescens",36
5,165,4,0.000740091,"pollinator","Lasioglossum_viride",36
5,145,4,0.000111774,"pollinator","Eurytoma_sp._1",36
5,60,6,0.0027091,"pollinator","Apis_mellifera",36
5,217,4,0.00124945,"pollinator","Plagiolepis_sp._2",36
5,165,5,0.0013785,"pollinator","Lasioglossum_viride",36
5,60,4,0.000643838,"pollinator","Apis_mellifera",36
5,60,3,0.000655738,"pollinator","Apis_mellifera",36
5,282,3,0.000101138,"pollinator","Tropinota_squalida",36
5,211,3,7.01117e-05,"pollinator","Phthiria_simonyi",36
