"","1","2","3","4","5","6","7"
"1",0,8,24,52,44,40,28
"2",0,68,20,24,36,36,28
"3",56,64,36,32,8,16,0
"4",32,20,0,0,0,4,0
"5",0,12,8,12,16,16,0
"6",0,0,0,44,8,16,88
"7",0,0,0,40,44,32,0
"8",0,20,20,8,24,12,0
"9",80,4,4,0,4,0,0
"10",0,0,12,20,16,16,28
"11",4,4,4,4,4,4,0
"12",0,4,4,8,16,0,0
"13",0,0,4,4,8,4,4
"14",40,0,0,0,0,0,0
"15",0,0,16,4,12,24,4
"16",40,0,0,0,0,0,0
"17",0,0,0,0,8,12,20
"18",0,0,48,0,0,0,0
"19",0,0,20,8,0,8,0
"20",0,0,0,0,0,0,28
"21",0,0,0,16,16,0,0
"22",0,4,4,0,4,4,4
"23",0,0,0,0,12,0,12
"24",0,32,0,0,0,0,0
"25",16,0,0,0,0,0,0
"26",0,0,0,20,0,4,0
"27",0,0,0,0,4,4,4
"28",20,0,0,0,0,0,0
"29",0,0,0,4,0,0,4
"30",0,0,8,0,0,0,0
"31",0,4,4,0,0,4,0
"32",0,0,0,12,4,4,0
"33",0,12,0,0,0,0,0
"34",0,0,0,12,0,0,0
"35",0,0,8,0,0,4,0
"36",0,0,0,4,0,4,0
"37",0,0,0,4,4,0,0
"38",0,4,4,0,0,0,0
"39",0,0,0,4,4,0,0
"40",0,0,0,0,4,0,4
"41",0,0,0,0,4,0,4
"42",0,0,0,0,8,0,0
