"layer_from","layer_to","number_of_modules","mean_distance","turnover","distance_in_km"
1,2,11,190474.5988,0.55,190.4745988
1,3,9,310640.4162,0.310344827586207,310.6404162
1,4,9,376892.6301,0.391304347826087,376.8926301
1,5,3,455676.6434,0.115384615384615,455.6766434
2,3,12,145159.7397,0.413793103448276,145.1597397
2,4,12,200274.2601,0.521739130434783,200.2742601
2,5,5,274346.546,0.185185185185185,274.346546
3,4,15,72875.52795,0.555555555555556,72.87552795
3,5,14,151088.9308,0.56,151.0889308
4,5,9,80112.73198,0.375,80.11273198
