"node_id","type","species"
1,"plant","Argyranthemum.frutescens"
2,"plant","Argyranthemum.sp."
3,"plant","Asparagus.pastorianus"
4,"plant","Asphaltklee.bituminosa"
5,"plant","Ceballosia.fruticosa"
6,"plant","Ceropegia.dichotoma"
7,"plant","Ceropegia.fusca"
8,"plant","Euphorbia.balsamifera..f."
9,"plant","Euphorbia.balsamifera..m."
10,"plant","Euphorbia.lamarckii"
11,"plant","Euphorbia.regis.jubae"
12,"plant","Fagonia.albiflora"
13,"plant","Frankenia.laevis"
14,"plant","Helianthemum.canariensis"
15,"plant","Kickxia.heterophylla"
16,"plant","Kickxia.scoparia"
17,"plant","Launaea.arborescens"
18,"plant","Lavendula.buchii"
19,"plant","Lavendula.minutolii"
20,"plant","Lavendula.multifida"
21,"plant","Lotus.glaucus"
22,"plant","Lotus.lancerottensis"
23,"plant","Lotus.sessilifolius"
24,"plant","Lotus.sp."
25,"plant","Lotus.spartioides"
26,"plant","Lycium.intricatum"
27,"plant","Nauplius.aquaticus"
28,"plant","Nauplius.sp."
29,"plant","Neochamaelea.pulverulenta"
30,"plant","Parolinia.intermedia"
31,"plant","Periploca.laevigata"
32,"plant","Phagnalon.purpurascens"
33,"plant","Phagnalon.saxatile"
34,"plant","Plocama.pendula"
35,"plant","Rubia.fruticosa"
36,"plant","Salvia.aegyptiaca"
37,"plant","Satureja.kuegleri"
38,"plant","Schizogyne.sericea"
39,"plant","Zilla.spinosa"
40,"pollinator","Agromyzidae?_sp._2"
41,"pollinator","Agromyzidae_sp._1"
42,"pollinator","Alliophleps_elliptica"
43,"pollinator","Amegilla_canifrons"
44,"pollinator","Amegilla_quadrifasciata"
45,"pollinator","Amegilla_sp."
46,"pollinator","Ammophila_terminata"
47,"pollinator","Anaspis_cf._canariensis"
48,"pollinator","Anaspis_cf._eversi"
49,"pollinator","Anaspis_cf._saharensis"
50,"pollinator","Anaspis_proteus"
51,"pollinator","Andrena_vachali"
52,"pollinator","Andrena_vulcana"
53,"pollinator","Andrena_wollastoni"
54,"pollinator","Anthaxia_sp._1"
55,"pollinator","Anthophora_alluaudi"
56,"pollinator","Anthophora_orotavae"
57,"pollinator","Anthophora_sp._1"
58,"pollinator","Anthophora_sp._aff._orotavae"
59,"pollinator","Aphthona_wachnitzae"
60,"pollinator","Apis_mellifera"
61,"pollinator","Aplocnemus_sp._2"
62,"pollinator","Aprostocetus_occidentalis"
63,"pollinator","Aprostocetus_sp._1"
64,"pollinator","Aprostocetus_sp._2"
65,"pollinator","Arachnospila_sp."
66,"pollinator","Araneae_sp._1"
67,"pollinator","Araneidae_sp._1"
68,"pollinator","Araneidae_sp._2"
69,"pollinator","Asteia_caesia"
70,"pollinator","Atherigona_varia"
71,"pollinator","Attagenus_abbreviatus"
72,"pollinator","Attagenus_sp._1"
73,"pollinator","Attagenus_wollastoni"
74,"pollinator","Attalus_chrysanthemi"
75,"pollinator","Attalus_crispus"
76,"pollinator","Attalus_obscurus"
77,"pollinator","Attalus_olivensis"
78,"pollinator","Attalus_pallipes"
79,"pollinator","Attalus_ruficollis"
80,"pollinator","Attalus_rugifrons"
81,"pollinator","Aulacoderus_canariensis"
82,"pollinator","Axinotarsus_sp._1"
83,"pollinator","Bassus_sp."
84,"pollinator","Blaesoxipha_sp._1"
85,"pollinator","Bombylius_pintuarius"
86,"pollinator","Bombylius_sp._1"
87,"pollinator","Bracon_sp."
88,"pollinator","Bruchidius_wollastoni"
89,"pollinator","Campiglossa_martii"
90,"pollinator","Campiglossa_reticulata"
91,"pollinator","Camponotus_cfr._feae"
92,"pollinator","Camponotus_feae"
93,"pollinator","Cecidomyiidae_sp."
94,"pollinator","Cecydomyiidae_sp."
95,"pollinator","Cephalodromia_sp."
96,"pollinator","Ceratogoponidae_sp."
97,"pollinator","Ceratogoponidae_sp._2"
98,"pollinator","Chalicodoma_canescens"
99,"pollinator","Chalicodoma_sicula"
100,"pollinator","Chalicodoma_sp."
101,"pollinator","Chetogena_acuminata"
102,"pollinator","Chironomidae_sp."
103,"pollinator","Chironomidae_sp._1"
104,"pollinator","Chloropidae_sp."
105,"pollinator","Chloropidae_sp._1"
106,"pollinator","Chloropidae_sp._2"
107,"pollinator","Chloropidae_sp._3"
108,"pollinator","Chloropidae_sp._4"
109,"pollinator","Chloropidae_sp._5"
110,"pollinator","Chloropidae_sp._6"
111,"pollinator","Chrysomya_albiceps"
112,"pollinator","Coccinella_miranda"
113,"pollinator","Coleoptera_sp._5"
114,"pollinator","Colias_croceus"
115,"pollinator","Colletes_dimidiatus"
116,"pollinator","Colletes1?_Waiting<85>"
117,"pollinator","Colletes2?_Waiting<85>"
118,"pollinator","Crematogaster_alluaudi"
119,"pollinator","Crematogaster_scutellaris"
120,"pollinator","Cryptocephalus_gounellei"
121,"pollinator","Cryptocephalus_nitidicollis"
122,"pollinator","Cryptocephalus_nubigena"
123,"pollinator","Curculionidae_sp."
124,"pollinator","Dasytes_cf._subaenescens"
125,"pollinator","Dasytes_lanzarotensis"
126,"pollinator","Dasytes_subaenescens"
127,"pollinator","Delia_flavibasis"
128,"pollinator","Diglyphus_chabrias"
129,"pollinator","Dilophus_hiemalis"
130,"pollinator","Dinarmoides_spilopterus"
131,"pollinator","Dischistus_atlanticus"
132,"pollinator","Elasmus_platyedrae"
133,"pollinator","Empididae_sp._1"
134,"pollinator","Empis_sp._1"
135,"pollinator","Eristalinus_aeneus"
136,"pollinator","Eristalinus_taeniops"
137,"pollinator","Eristalis_tenax"
138,"pollinator","Estheria_simonyi"
139,"pollinator","Eucera_gracilipes"
140,"pollinator","Euderus_sp."
141,"pollinator","Eumerus_latitarsis"
142,"pollinator","Eumerus_nivariae"
143,"pollinator","Eupelmus_sp."
144,"pollinator","Eupelmus_testaceiventris"
145,"pollinator","Eurytoma_sp._1"
146,"pollinator","Eurytoma_sp._2"
147,"pollinator","Eurytoma_sp._3"
148,"pollinator","Exetastes_segmentarius"
149,"pollinator","Exhyalanthrax_canarionae"
150,"pollinator","Fannia_sp."
151,"pollinator","Gasteruption_sp."
152,"pollinator","Geometridae_sp."
153,"pollinator","Geometridae_sp._2"
154,"pollinator","Gnaphosidae_sp._1"
155,"pollinator","Goniozus_sp."
156,"pollinator","Halictus_fulvipes"
157,"pollinator","Holepyris_sp."
158,"pollinator","Hylaeus_ater"
159,"pollinator","Hylaeus_hohmanni"
160,"pollinator","Hylaeus_sp."
161,"pollinator","Hym._Waiting<85>."
162,"pollinator","Lasioglossum_arctifrons"
163,"pollinator","Lasioglossum_loetum"
164,"pollinator","Lasioglossum_phoenicurum"
165,"pollinator","Lasioglossum_viride"
166,"pollinator","Leptochilus_cruentatus"
167,"pollinator","Leptochilus_eatoni"
168,"pollinator","Leptochilus_fortunatus"
169,"pollinator","Linnaemyia_soror"
170,"pollinator","Lucilia_sericata"
171,"pollinator","Lucilia_sp._1"
172,"pollinator","Macrocoma_cf._henoni"
173,"pollinator","Macrocoma_splendens"
174,"pollinator","Macroglossum_stellatarum"
175,"pollinator","Malthinus_mutabilis"
176,"pollinator","Megachile_canariensis"
177,"pollinator","Megaselia_sp._1"
178,"pollinator","Megaselia_sp._2"
179,"pollinator","Melecta_curvispina"
180,"pollinator","Melecta_sp."
181,"pollinator","Meligethes_canariensis"
182,"pollinator","Meligethes_cf._canariensis"
183,"pollinator","Milichiidae_sp."
184,"pollinator","Minotetrastichus_sp."
185,"pollinator","Monomorium_subopacum"
186,"pollinator","Mordellistena_cf._canariensis"
187,"pollinator","Musca_domestica"
188,"pollinator","Musca_osiris"
189,"pollinator","Musca_sorbens"
190,"pollinator","Myathropa_florea"
191,"pollinator","Mycetophilidae_sp._1"
192,"pollinator","Myopites_nigrescens"
193,"pollinator","Neodryophilus_cryptophagoides"
194,"pollinator","Nomioides_deceptor"
195,"pollinator","Nomioides_fortunatus"
196,"pollinator","Nomioides_sp."
197,"pollinator","Nyctia_lugubris"
198,"pollinator","Ormyrus_sp._1"
199,"pollinator","Oscinella_sp._1"
200,"pollinator","Oscinella_sp._2"
201,"pollinator","Oscinimorpha_sp."
202,"pollinator","Osmia_canaria"
203,"pollinator","Osmia_latreillei"
204,"pollinator","Oxyopes_cf._kraepelinorum"
205,"pollinator","Oxyopes_kraepelinorum"
206,"pollinator","Paragus_tibialis"
207,"pollinator","Paratrechina_longicornis"
208,"pollinator","Perilampus_sp._1"
209,"pollinator","Perilampus_sp._2"
210,"pollinator","Phalacrus_coruscus"
211,"pollinator","Phthiria_simonyi"
212,"pollinator","Physiphora_alceae"
213,"pollinator","Phyto_discrepans"
214,"pollinator","Phyto_nigrobarbata"
215,"pollinator","Pieris_rapae"
216,"pollinator","Plagiolepis_schmitzii"
217,"pollinator","Plagiolepis_sp._2"
218,"pollinator","Platypalpus_sp."
219,"pollinator","Platypalpus_sp._1"
220,"pollinator","Platypalpus_sp._2"
221,"pollinator","Podalonia_sp."
222,"pollinator","Proconura_sp._1"
223,"pollinator","Proconura_sp._2"
224,"pollinator","Pteromalus_sp._1"
225,"pollinator","Pteromalus_sp._2"
226,"pollinator","Pteromalus_sp._3"
227,"pollinator","Pteromalus_sp._4"
228,"pollinator","Rondania_insularis"
229,"pollinator","Sapromyza_sp."
230,"pollinator","Sarcophaga_sp._1"
231,"pollinator","Sarcophagidae_sp."
232,"pollinator","Sarcophagidae_sp._2"
