"module","n"
1,89
2,54
3,37
4,14
5,23
6,6
7,26
8,20
9,5
10,7
11,4
12,10
13,13
14,9
15,7
16,5
17,6
18,8
19,7
20,3
21,3
22,2
23,3
24,2
25,3
26,3
27,3
28,3
29,2
30,2
31,2
32,2
33,2
