"module","node_id","layer_id","flow","type","species","size_of_module"
2,165,1,5.72745e-05,"pollinator","Nyctia_lugubris",54
2,7,3,0.0253807,"plant","Euphorbia.balsamifera..m.",54
2,90,4,8.0545e-05,"pollinator","Chloropidae_sp._4",54
2,195,5,8.72001e-05,"pollinator","Sarcophagidae_sp._3",54
2,119,3,0.00285597,"pollinator","Eumerus_latitarsis",54
2,119,5,0.00156821,"pollinator","Eumerus_latitarsis",54
2,172,4,8.0545e-05,"pollinator","Oxyopes_kraepelinorum",54
2,48,1,0.000821608,"pollinator","Aphthona_wachnitzae",54
2,76,1,5.72745e-05,"pollinator","Cecidomyiidae_sp.",54
2,215,1,5.72745e-05,"pollinator","Tachyagetes_aemulans",54
2,206,2,0.000103548,"pollinator","Sepsis_sp.",54
2,89,5,0.000541889,"pollinator","Chloropidae_sp._3",54
2,45,2,4.60311e-05,"pollinator","Andrena_wollastoni",54
2,154,1,5.72745e-05,"pollinator","Milichiidae_sp.",54
2,66,1,0.00212973,"pollinator","Aulacoderus_canariensis",54
2,7,2,0.0217738,"plant","Euphorbia.balsamifera..m.",54
2,77,5,8.72001e-05,"pollinator","Cecydomyiidae_sp.",54
2,167,3,8.59091e-05,"pollinator","Oscinella_sp._2",54
2,41,4,0.000724905,"pollinator","Anaspis_cf._canariensis",54
2,225,4,0.0119252,"pollinator","Thysanoptera_sp._1",54
2,210,2,4.60311e-05,"pollinator","Stenoselma_sp.",54
2,7,1,0.0262482,"plant","Euphorbia.balsamifera..m.",54
2,100,1,0.000171823,"pollinator","Cryptocephalus_nubigena",54
2,194,1,0.000114549,"pollinator","Sapromyza_sp.",54
2,32,4,0.000186039,"plant","Salvia.aegyptiaca",54
2,7,5,0.0210371,"plant","Euphorbia.balsamifera..m.",54
2,63,3,0.000117875,"pollinator","Attalus_pallipes",54
2,55,1,0.000171823,"pollinator","Asteia_caesia",54
2,62,1,0.00184564,"pollinator","Attalus_olivensis",54
2,217,1,5.72745e-05,"pollinator","Tethinidae_sp._3",54
2,99,5,0.000172424,"pollinator","Cryptocephalus_nitidicollis",54
2,177,1,5.72745e-05,"pollinator","Phalacrus_coruscus",54
2,67,3,0.000171818,"pollinator","Bassus_sp.",54
2,225,1,0.0102811,"pollinator","Thysanoptera_sp._1",54
2,70,3,8.59091e-05,"pollinator","Bracon_sp.",54
2,111,4,0.000241635,"pollinator","Empididae_sp._1",54
2,147,3,0.00016083,"pollinator","Malthinus_mutabilis",54
2,201,1,5.72745e-05,"pollinator","Scaptomyza_sp._2",54
2,186,1,5.72745e-05,"pollinator","Platypalpus_sp._1",54
