"estimate","p_val","statistic","confidence_int_low","confidence_int_high","slope","intercept","rsquared","trial_num"
-0.812323595897775,7.72019433439131e-06,-6.07132050282079,-0.921032500608093,-0.586198757937387,-0.000800395501775743,0.452617931043775,0.65986962445229,1
-0.836025784799103,2.36220959888739e-06,-6.64154782281615,-0.931524265730419,-0.632670652868298,-0.000779384696472661,0.446579377119129,0.698939112848952,2
-0.870054335045473,2.98011297426454e-07,-7.69334423468981,-0.946314099308845,-0.702051897353381,-0.000917754121282844,0.476180860268025,0.756994545931417,3
-0.825085061697751,4.17009145689269e-06,-6.365324064317,-0.92670103116807,-0.611036083756773,-0.000812564316003591,0.463409064961564,0.680765359036777,4
-0.838460114106773,2.06999826376626e-06,-6.70644266993758,-0.932592893930955,-0.637527941383548,-0.000880018574089796,0.474516768803019,0.70301536294794,5
-0.816633808066996,6.30333598017262e-06,-6.16752369761192,-0.92295222314126,-0.594540348821099,-0.000835130953903006,0.476552225216873,0.666890776478001,6
-0.811766137952018,7.92236667599856e-06,-6.05909533771422,-0.920783828443739,-0.58512339475422,-0.00089221819415093,0.472854133370137,0.658964262725535,7
-0.846271265030658,1.33489950707641e-06,-6.92406463491584,-0.936010745456754,-0.653222371653716,-0.000900454942377619,0.475847860869668,0.716175054016589,8
-0.856268181285834,7.34224547493546e-07,-7.22586404174483,-0.940360449866641,-0.673553474917551,-0.000895941395346702,0.472851815923604,0.73319519828255,9
-0.843717394275139,1.54477994485866e-06,-6.85127350218994,-0.9348951313653,-0.648072730649423,-0.000871827032056581,0.476637758781567,0.711859041402427,10
-0.827318771533717,3.72512209748116e-06,-6.41977720357172,-0.927688492867485,-0.615427274122681,-0.000837512645822115,0.470796453446032,0.68445634973206,11
-0.830909659128506,3.09668733663229e-06,-6.50935189810115,-0.929272987827818,-0.622514181343463,-0.000863274832890208,0.468079714565258,0.690410861633052,12
-0.830241202084983,3.2060797251456e-06,-6.49248228109238,-0.928978302148791,-0.621192333221693,-0.000837204226222757,0.466247302106286,0.689300453639519,13
-0.81310980741966,7.44273032527719e-06,-6.08864552449735,-0.921383065134349,-0.587716753285224,-0.000845105898337389,0.467067717376651,0.661147558922037,14
-0.797455239954052,1.4967868229748e-05,-5.76094286712582,-0.914369507789534,-0.557787195924998,-0.000785540515269056,0.469756753939542,0.635934859730175,15
-0.842430994362731,1.66107474245305e-06,-6.8152238439956,-0.934332506755937,-0.645485583512849,-0.000877494412821698,0.479542075174792,0.709689980262978,16
-0.814018399595387,7.13296972175139e-06,-6.10878988816864,-0.921787978743019,-0.589473016642541,-0.000792517524377678,0.460111573723007,0.662625954879835,17
-0.796739806480817,1.54313009035569e-05,-5.74677976765503,-0.914047293973157,-0.5564341108383,-0.00085233754219896,0.470388078387002,0.634794319231085,18
-0.794220530634509,1.71643036212196e-05,-5.69742973004631,-0.91291149362645,-0.551679579088996,-0.000894148609890474,0.478652278732716,0.63078625128136,19
-0.803776298895793,1.13726298396696e-05,-5.88904573146383,-0.9172099389201,-0.569797697726501,-0.000877748969897953,0.470971551363638,0.64605633866662,20
