"layer_from","node_from","layer_to","node_to","sum_weight"
2,23,2,138,1
2,23,2,139,8
2,23,2,182,1
2,23,2,184,1
2,30,2,49,3
2,30,2,61,3
2,30,2,75,13
2,30,2,96,3
2,30,2,108,1
2,30,2,138,7
2,30,2,139,3
2,30,2,166,1
2,30,2,178,1
2,30,2,223,1
2,31,2,43,1
2,31,2,61,2
2,31,2,75,44
2,31,2,94,1
2,31,2,144,3
2,31,2,146,1
2,31,2,158,5
2,31,2,166,1
2,34,2,61,2
2,34,2,78,1
2,34,2,225,9
2,34,2,226,1
2,34,2,227,1
5,2,5,46,5
5,2,5,75,2
5,2,5,95,2
5,2,5,104,1
5,2,5,116,3
5,2,5,117,3
5,2,5,119,1
5,2,5,235,1
5,3,5,75,13
5,3,5,175,1
5,3,5,178,1
5,6,5,75,51
5,6,5,89,1
5,6,5,107,1
5,6,5,111,1
5,6,5,116,1
5,6,5,138,2
5,6,5,139,1
5,6,5,160,1
5,6,5,191,1
5,7,5,75,65
5,7,5,77,1
5,7,5,85,1
5,7,5,89,3
5,7,5,99,1
5,7,5,104,1
5,7,5,119,1
5,7,5,138,8
5,7,5,139,4
5,7,5,175,1
5,7,5,193,1
5,7,5,195,1
5,7,5,223,1
5,7,5,225,42
5,8,5,46,2
5,8,5,60,1
5,8,5,75,71
5,8,5,79,2
5,8,5,80,1
5,8,5,85,3
5,8,5,89,2
5,8,5,93,1
5,8,5,96,13
5,8,5,104,2
5,8,5,107,2
5,8,5,112,1
5,8,5,114,1
5,8,5,116,12
5,8,5,117,4
5,8,5,119,4
5,8,5,138,11
5,8,5,139,11
5,8,5,143,1
5,8,5,144,5
5,8,5,160,6
5,8,5,161,2
5,8,5,174,1
5,8,5,176,1
5,8,5,200,1
5,8,5,203,1
5,8,5,213,1
5,8,5,214,2
5,8,5,219,2
5,19,5,81,1
5,19,5,137,1
5,19,5,139,1
5,19,5,148,1
5,19,5,169,1
5,19,5,204,1
5,19,5,226,4
5,27,5,75,71
5,27,5,90,1
5,27,5,99,1
5,27,5,105,1
5,27,5,144,1
5,27,5,163,1
5,27,5,219,1
5,29,5,162,4
5,29,5,177,1
5,29,5,208,2
5,29,5,226,2
5,31,5,75,6
5,31,5,160,1
5,31,5,219,1
5,33,5,75,1
5,34,5,118,2
5,34,5,162,10
5,34,5,191,2
3,1,3,43,1
3,1,3,49,1
3,1,3,58,2
3,1,3,66,1
3,1,3,75,15
3,1,3,104,8
3,1,3,110,1
3,1,3,113,2
3,1,3,115,1
3,1,3,134,1
3,1,3,138,1
3,1,3,139,15
3,1,3,140,1
3,1,3,152,4
3,1,3,160,1
3,1,3,162,3
3,1,3,166,2
3,1,3,171,2
3,1,3,184,3
3,1,3,189,2
3,1,3,191,1
3,1,3,192,6
3,1,3,202,2
3,1,3,213,5
3,1,3,220,1
3,1,3,225,52
3,1,3,226,60
3,1,3,227,2
3,1,3,229,48
3,1,3,231,1
3,2,3,117,1
3,3,3,43,4
3,3,3,75,19
3,3,3,116,1
3,3,3,152,14
3,3,3,178,12
3,3,3,184,1
3,3,3,213,1
3,4,3,75,1
3,4,3,227,1
3,4,3,229,2
3,5,3,75,2
3,6,3,36,3
3,6,3,49,1
3,6,3,75,113
3,6,3,79,1
3,6,3,84,1
3,6,3,93,2
3,6,3,116,1
3,6,3,119,2
3,6,3,150,3
3,6,3,184,37
3,6,3,185,3
3,6,3,216,1
3,6,3,220,8
3,6,3,225,1
3,7,3,36,2
3,7,3,43,56
3,7,3,63,1
3,7,3,64,1
3,7,3,67,4
3,7,3,70,2
3,7,3,75,119
3,7,3,81,1
3,7,3,86,1
3,7,3,97,1
3,7,3,98,1
3,7,3,102,1
3,7,3,104,2
3,7,3,108,1
3,7,3,116,4
3,7,3,119,19
3,7,3,120,8
3,7,3,139,3
3,7,3,141,1
3,7,3,147,2
3,7,3,155,1
3,7,3,167,2
3,7,3,184,4
3,7,3,203,3
3,7,3,207,1
3,7,3,220,13
3,7,3,223,1
3,7,3,225,82
3,7,3,229,17
3,8,3,43,3
3,8,3,49,5
3,8,3,51,1
3,8,3,68,1
3,8,3,75,57
3,8,3,83,1
3,8,3,104,1
3,8,3,114,3
3,8,3,115,1
3,8,3,116,1
3,8,3,117,1
3,8,3,120,2
3,8,3,144,2
3,8,3,145,1
3,8,3,148,1
3,8,3,157,1
3,8,3,158,1
3,8,3,180,3
3,8,3,184,3
3,8,3,187,1
3,8,3,204,1
3,8,3,212,3
3,8,3,225,1
3,10,3,43,22
3,10,3,46,1
3,10,3,75,3
3,10,3,138,5
3,10,3,139,1
3,10,3,226,48
3,11,3,40,1
3,11,3,75,22
3,11,3,83,1
3,11,3,135,2
3,11,3,156,1
3,11,3,184,2
3,11,3,220,14
3,12,3,49,1
3,12,3,75,1
3,12,3,184,3
3,12,3,220,1
3,12,3,225,3
3,12,3,226,8
3,14,3,139,1
3,15,3,43,1
3,15,3,58,1
3,15,3,75,2
3,15,3,81,1
3,15,3,104,1
3,15,3,108,1
3,15,3,114,1
3,15,3,118,1
3,15,3,121,1
3,15,3,123,2
3,15,3,139,4
3,15,3,150,1
3,15,3,162,1
3,15,3,184,7
3,15,3,213,1
3,15,3,220,4
3,15,3,226,5
3,15,3,230,3
3,15,3,234,7
3,16,3,39,2
3,16,3,46,2
3,16,3,47,2
3,16,3,75,7
3,16,3,140,1
3,18,3,39,8
3,18,3,47,2
3,18,3,49,1
3,18,3,75,1
3,18,3,139,1
3,18,3,209,1
3,18,3,211,1
3,18,3,220,1
3,21,3,46,1
3,21,3,75,2
3,21,3,153,1
3,21,3,164,1
3,21,3,220,1
3,23,3,38,1
3,23,3,39,1
3,23,3,43,1
3,23,3,46,12
3,23,3,47,1
3,23,3,75,6
3,23,3,139,3
3,23,3,220,2
3,24,3,75,19
3,24,3,91,4
3,24,3,226,21
3,25,3,75,10
3,26,3,43,19
3,26,3,46,7
3,26,3,75,3
3,26,3,102,1
3,26,3,104,7
3,26,3,116,9
3,26,3,117,5
3,26,3,139,16
3,26,3,140,10
3,26,3,152,11
3,26,3,178,1
3,26,3,213,9
3,26,3,229,1
3,27,3,35,1
3,27,3,43,4
3,27,3,49,1
3,27,3,50,2
3,27,3,75,156
3,27,3,91,1
3,27,3,92,1
3,27,3,93,36
3,27,3,94,1
3,27,3,116,4
3,27,3,119,2
3,27,3,127,3
3,27,3,129,1
3,27,3,139,1
3,27,3,144,17
3,27,3,156,1
3,27,3,158,13
3,27,3,163,1
3,27,3,179,2
3,27,3,184,1
3,27,3,197,7
3,27,3,199,11
3,27,3,202,1
3,27,3,203,1
3,27,3,204,5
3,27,3,212,1
3,30,3,49,1
3,30,3,75,4
3,30,3,220,1
3,31,3,43,1
3,31,3,63,1
3,31,3,75,18
3,31,3,147,1
3,31,3,203,2
3,33,3,131,1
3,33,3,139,1
3,33,3,158,1
3,33,3,220,1
3,33,3,225,4
3,34,3,43,3
3,34,3,49,1
3,34,3,58,1
3,34,3,75,12
3,34,3,102,1
3,34,3,118,2
3,34,3,139,3
3,34,3,140,1
3,34,3,141,1
3,34,3,150,1
3,34,3,162,30
3,34,3,183,2
3,34,3,184,2
3,34,3,191,1
3,34,3,220,4
3,34,3,225,1
3,34,3,226,8
