"layer_from","node_from","layer_to","node_to","sum_weight"
1,6,1,48,1
1,6,1,52,1
1,6,1,66,6
1,6,1,68,4
1,6,1,93,3
1,6,1,109,1
1,6,1,159,1
1,6,1,183,107
1,6,1,196,1
1,6,1,197,1
1,6,1,203,8
1,7,1,43,2
1,7,1,48,11
1,7,1,55,3
1,7,1,62,14
1,7,1,66,18
1,7,1,76,1
1,7,1,88,1
1,7,1,100,3
1,7,1,144,7
1,7,1,154,1
1,7,1,165,1
1,7,1,177,1
1,7,1,181,1
1,7,1,183,143
1,7,1,186,1
1,7,1,194,2
1,7,1,196,3
1,7,1,197,18
1,7,1,201,1
1,7,1,203,8
1,7,1,215,1
1,7,1,217,1
1,7,1,218,1
1,7,1,225,74
1,12,1,109,1
1,12,1,123,1
1,12,1,196,2
1,12,1,226,9
1,13,1,132,1
1,13,1,168,1
1,13,1,226,2
1,15,1,42,2
1,15,1,43,2
1,15,1,46,3
1,15,1,48,1
1,15,1,57,1
1,15,1,59,1
1,15,1,62,3
1,15,1,66,4
1,15,1,72,4
1,15,1,74,2
1,15,1,78,1
1,15,1,82,3
1,15,1,93,3
1,15,1,103,6
1,15,1,106,3
1,15,1,109,1
1,15,1,124,1
1,15,1,130,1
1,15,1,138,1
1,15,1,142,1
1,15,1,144,9
1,15,1,173,1
1,15,1,183,12
1,15,1,188,1
1,15,1,190,8
1,15,1,196,1
1,15,1,198,2
1,15,1,203,7
1,15,1,226,2
1,15,1,234,4
1,20,1,62,1
1,20,1,74,1
1,20,1,87,1
1,23,1,46,11
1,23,1,62,1
1,23,1,66,1
1,23,1,74,1
1,23,1,75,1
1,23,1,109,2
1,23,1,142,4
1,23,1,203,1
1,23,1,225,2
1,23,1,226,1
1,23,1,228,1
1,28,1,74,4
1,28,1,83,1
1,28,1,218,1
1,32,1,46,1
1,32,1,83,1
1,32,1,196,2
4,1,4,65,2
4,1,4,71,7
4,1,4,73,1
4,1,4,75,2
4,1,4,93,2
4,1,4,139,7
4,1,4,144,5
4,1,4,162,1
4,1,4,182,1
4,1,4,214,8
4,1,4,222,2
4,1,4,223,1
4,1,4,224,4
4,1,4,225,36
4,1,4,226,6
4,2,4,46,2
4,2,4,81,2
4,6,4,53,1
4,6,4,71,1
4,6,4,75,40
4,6,4,119,7
4,6,4,122,1
4,6,4,138,7
4,6,4,183,19
4,6,4,186,1
4,6,4,197,1
4,6,4,199,1
4,6,4,214,3
4,6,4,224,1
4,7,4,41,9
4,7,4,75,26
4,7,4,90,1
4,7,4,104,1
4,7,4,111,3
4,7,4,119,34
4,7,4,138,4
4,7,4,139,1
4,7,4,172,1
4,7,4,174,2
4,7,4,183,21
4,7,4,214,1
4,7,4,224,22
4,7,4,225,21
4,8,4,50,2
4,8,4,75,51
4,8,4,83,1
4,8,4,116,1
4,8,4,125,1
4,8,4,138,1
4,8,4,158,2
4,8,4,165,1
4,8,4,199,1
4,8,4,214,6
4,10,4,46,2
4,10,4,47,1
4,10,4,49,2
4,10,4,139,3
4,10,4,200,2
4,14,4,39,1
4,14,4,46,1
4,14,4,226,2
4,15,4,46,1
4,15,4,49,6
4,15,4,50,1
4,15,4,71,2
4,15,4,75,1
4,15,4,104,1
4,15,4,116,1
4,15,4,133,1
4,15,4,138,1
4,15,4,139,22
4,15,4,170,1
4,15,4,182,1
4,15,4,183,5
4,15,4,224,1
4,15,4,226,7
4,15,4,234,1
4,18,4,75,2
4,23,4,39,2
4,23,4,68,2
4,23,4,138,2
4,23,4,139,1
4,27,4,50,11
4,27,4,75,62
4,27,4,139,1
4,27,4,149,2
4,27,4,174,3
4,27,4,183,7
4,27,4,204,1
4,27,4,205,1
4,29,4,49,1
4,29,4,71,1
4,29,4,75,9
4,29,4,124,1
4,29,4,138,3
4,29,4,139,8
4,29,4,144,1
4,29,4,162,4
4,29,4,183,4
4,29,4,224,4
4,29,4,226,17
4,29,4,233,1
4,30,4,49,1
4,30,4,139,3
4,30,4,214,1
4,31,4,50,2
4,31,4,54,1
4,31,4,75,3
4,31,4,116,1
4,31,4,121,1
4,31,4,138,3
4,31,4,165,1
4,31,4,183,6
4,31,4,199,2
4,31,4,204,1
4,32,4,224,2
2,6,2,49,1
2,6,2,56,1
2,6,2,75,96
2,6,2,83,1
2,6,2,93,8
2,6,2,96,1
2,6,2,101,1
2,6,2,139,1
2,6,2,144,1
2,6,2,158,5
2,6,2,166,2
2,6,2,197,1
2,6,2,206,1
2,6,2,225,1
2,7,2,43,11
2,7,2,45,1
2,7,2,49,2
2,7,2,58,1
2,7,2,61,2
2,7,2,75,79
2,7,2,88,3
2,7,2,93,8
2,7,2,138,2
2,7,2,139,2
2,7,2,158,5
2,7,2,166,6
2,7,2,197,1
2,7,2,206,1
2,7,2,210,1
2,7,2,225,149
2,7,2,227,1
2,9,2,36,1
2,9,2,43,8
2,9,2,44,7
2,9,2,46,1
2,9,2,61,4
2,9,2,69,1
2,9,2,75,42
2,9,2,93,1
2,9,2,96,2
2,9,2,114,1
2,9,2,117,3
2,9,2,126,1
2,9,2,128,1
2,9,2,136,8
2,9,2,139,3
2,9,2,144,3
2,9,2,151,1
2,9,2,158,3
2,9,2,166,5
2,9,2,197,1
2,9,2,200,2
2,10,2,44,1
2,10,2,61,3
2,10,2,75,1
2,10,2,138,7
2,10,2,226,25
2,14,2,75,1
2,14,2,221,2
2,14,2,226,2
2,15,2,37,1
2,15,2,43,10
2,15,2,49,1
2,15,2,58,3
2,15,2,61,9
2,15,2,108,1
2,15,2,139,4
2,15,2,170,2
2,15,2,182,3
2,15,2,184,1
2,15,2,221,2
2,15,2,226,1
2,15,2,232,1
2,15,2,234,2
2,17,2,46,6
2,22,2,169,2
2,23,2,39,4
2,23,2,46,13
2,23,2,47,1
2,23,2,49,1
2,23,2,75,2
2,23,2,117,1
