"","layer_from","node_from","layer_to","node_to","weight"
"181",1,23,2,23,0.105263157894737
"182",1,23,3,23,0.117647058823529
"183",4,23,2,23,0.272727272727273
"184",4,23,3,23,0.2
"185",2,23,3,23,0.384615384615385
"186",4,10,3,10,0.222222222222222
"187",2,10,3,10,0.375
"188",4,14,2,14,0.2
"189",4,30,2,30,0.181818181818182
"190",4,30,3,30,0.2
"191",2,30,3,30,0.181818181818182
"192",4,31,2,31,0.0588235294117647
"193",4,31,5,31,0.0833333333333334
"194",4,31,3,31,0.0714285714285714
"195",2,31,5,31,0.1
"196",2,31,3,31,0.181818181818182
"197",5,31,3,31,0.142857142857143
"198",2,34,3,34,0.1
"199",5,34,3,34,0.176470588235294
"200",4,1,3,1,0.125
"201",4,8,5,8,0.114285714285714
"202",4,8,3,8,0.137931034482759
"203",5,8,3,8,0.130434782608696
"204",4,18,3,18,0.125
"205",4,27,5,27,0.0714285714285714
"206",4,27,3,27,0.133333333333333
"207",5,27,3,27,0.1
"208",5,3,3,3,0.25
"209",4,2,5,2,0.111111111111111
"210",5,2,3,2,0.125
"211",4,29,5,29,0.142857142857143
"212",1,93,2,93,0.25
"213",1,93,3,93,0.333333333333333
"214",2,93,3,93,0.25
"215",1,183,4,183,0.5
"216",1,88,2,88,1
"217",5,144,3,144,1
"218",1,197,4,197,0.5
"219",1,197,2,197,0.666666666666667
"220",4,197,2,197,0.333333333333333
"221",1,203,3,203,0.166666666666667
"222",1,225,4,225,0.333333333333333
"223",1,225,2,225,0.25
"224",1,225,5,225,0.5
"225",1,225,3,225,0.125
"226",4,225,2,225,0.25
"227",4,225,5,225,0.5
"228",4,225,3,225,0.285714285714286
"229",2,225,5,225,0.333333333333333
"230",2,225,3,225,0.428571428571428
"231",5,225,3,225,0.142857142857143
"232",1,226,4,226,0.142857142857143
"233",1,226,2,226,0.142857142857143
"234",1,226,3,226,0.25
"235",4,226,2,226,0.333333333333333
"236",4,226,5,226,0.2
"237",4,226,3,226,0.25
"238",2,226,3,226,0.428571428571428
"239",1,43,2,43,0.5
"240",1,43,3,43,0.181818181818182
"241",2,43,3,43,0.25
"242",1,46,4,46,0.166666666666667
"243",1,46,2,46,0.2
"244",1,46,3,46,0.142857142857143
"245",4,46,5,46,0.2
"246",4,46,3,46,0.125
"247",2,46,3,46,0.142857142857143
"248",1,138,4,138,0.142857142857143
"249",4,138,2,138,0.222222222222222
"250",4,138,5,138,0.428571428571428
"251",2,138,5,138,0.166666666666667
"252",2,138,3,138,0.2
"253",1,234,4,234,1
"254",1,234,2,234,1
"255",1,234,3,234,1
"256",4,234,2,234,1
"257",4,234,3,234,1
"258",2,234,3,234,1
"259",1,75,2,75,0.125
"260",1,75,3,75,0.0454545454545455
"261",4,75,2,75,0.214285714285714
"262",4,75,5,75,0.416666666666667
"263",4,75,3,75,0.347826086956522
"264",2,75,5,75,0.230769230769231
"265",2,75,3,75,0.25
"266",5,75,3,75,0.25
"267",4,83,3,83,0.5
"268",4,49,2,49,0.285714285714286
"269",4,49,3,49,0.0909090909090909
"270",2,49,3,49,0.181818181818182
"271",4,139,2,139,0.4
"272",4,139,5,139,0.0909090909090909
"273",4,139,3,139,0.461538461538462
"274",2,139,5,139,0.25
"275",2,139,3,139,0.214285714285714
"276",5,139,3,139,0.0714285714285714
"277",4,158,3,158,0.333333333333333
"278",2,58,3,58,0.25
"279",5,114,3,114,0.5
"280",5,117,3,117,0.666666666666667
"281",2,184,3,184,0.0909090909090909
"282",4,39,2,39,0.5
"283",4,39,3,39,0.25
