"layer_from","layer_to","mean_distance"
1,3,310640.4162
4,3,72875.52795
2,3,145159.7397
5,3,151088.9308
1,4,376892.6301
1,2,190474.5988
1,5,455676.6434
4,1,376892.6301
4,2,200274.2601
4,5,80112.73198
2,1,190474.5988
2,4,200274.2601
2,5,274346.546
5,1,455676.6434
5,4,80112.73198
5,2,274346.546
3,1,310640.4162
3,4,72875.52795
3,2,145159.7397
3,5,151088.9308
