"node_id","type","species"
1,"plant","Argyranthemum.frutescens"
2,"plant","Asphaltklee.bituminosa"
3,"plant","Ceballosia.fruticosa"
4,"plant","Ceropegia.dichotoma"
5,"plant","Ceropegia.fusca"
6,"plant","Euphorbia.balsamifera..f."
7,"plant","Euphorbia.balsamifera..m."
8,"plant","Euphorbia.lamarckii"
9,"plant","Euphorbia.regis.jubae"
10,"plant","Fagonia.albiflora"
11,"plant","Frankenia.laevis"
12,"plant","Helianthemum.canariensis"
13,"plant","Kickxia.heterophylla"
14,"plant","Kickxia.scoparia"
15,"plant","Launaea.arborescens"
16,"plant","Lavendula.buchii"
17,"plant","Lavendula.minutolii"
18,"plant","Lavendula.multifida"
19,"plant","Lotus.glaucus"
20,"plant","Lotus.lancerottensis"
21,"plant","Lotus.sessilifolius"
22,"plant","Lotus.spartioides"
23,"plant","Lycium.intricatum"
24,"plant","Nauplius.aquaticus"
25,"plant","Neochamaelea.pulverulenta"
26,"plant","Parolinia.intermedia"
27,"plant","Periploca.laevigata"
28,"plant","Phagnalon.purpurascens"
29,"plant","Phagnalon.saxatile"
30,"plant","Plocama.pendula"
31,"plant","Rubia.fruticosa"
32,"plant","Salvia.aegyptiaca"
33,"plant","Satureja.kuegleri"
34,"plant","Schizogyne.sericea"
35,"pollinator","Agromyzidae?_sp._2"
36,"pollinator","Agromyzidae_sp._1"
37,"pollinator","Alliophleps_elliptica"
38,"pollinator","Amegilla_canifrons"
39,"pollinator","Amegilla_quadrifasciata"
40,"pollinator","Ammophila_terminata"
41,"pollinator","Anaspis_cf._canariensis"
42,"pollinator","Anaspis_cf._eversi"
43,"pollinator","Anaspis_proteus"
44,"pollinator","Andrena_vulcana"
45,"pollinator","Andrena_wollastoni"
46,"pollinator","Anthophora_alluaudi"
47,"pollinator","Anthophora_orotavae"
48,"pollinator","Aphthona_wachnitzae"
49,"pollinator","Apis_mellifera"
50,"pollinator","Aprostocetus_occidentalis"
51,"pollinator","Aprostocetus_sp._2"
52,"pollinator","Araneae_sp._1"
53,"pollinator","Araneidae_sp._1"
54,"pollinator","Araneidae_sp._2"
55,"pollinator","Asteia_caesia"
56,"pollinator","Atherigona_varia"
57,"pollinator","Attagenus_abbreviatus"
58,"pollinator","Attagenus_wollastoni"
59,"pollinator","Attalus_chrysanthemi"
60,"pollinator","Attalus_crispus"
61,"pollinator","Attalus_obscurus"
62,"pollinator","Attalus_olivensis"
63,"pollinator","Attalus_pallipes"
64,"pollinator","Attalus_ruficollis"
65,"pollinator","Attalus_rugifrons"
66,"pollinator","Aulacoderus_canariensis"
67,"pollinator","Bassus_sp."
68,"pollinator","Blaesoxipha_sp._1"
69,"pollinator","Bombylius_pintuarius"
70,"pollinator","Bracon_sp."
71,"pollinator","Bruchidius_wollastoni"
72,"pollinator","Campiglossa_martii"
73,"pollinator","Campiglossa_reticulata"
74,"pollinator","Camponotus_cfr._feae"
75,"pollinator","Camponotus_feae"
76,"pollinator","Cecidomyiidae_sp."
77,"pollinator","Cecydomyiidae_sp."
78,"pollinator","Cephalodromia_sp."
79,"pollinator","Ceratogoponidae_sp."
80,"pollinator","Ceratogoponidae_sp._2"
81,"pollinator","Chalicodoma_canescens"
82,"pollinator","Chalicodoma_sicula"
83,"pollinator","Chetogena_acuminata"
84,"pollinator","Chironomidae_sp."
85,"pollinator","Chironomidae_sp._1"
86,"pollinator","Chloropidae_sp."
87,"pollinator","Chloropidae_sp._1"
88,"pollinator","Chloropidae_sp._2"
89,"pollinator","Chloropidae_sp._3"
90,"pollinator","Chloropidae_sp._4"
91,"pollinator","Chloropidae_sp._5"
92,"pollinator","Chloropidae_sp._6"
93,"pollinator","Chrysomya_albiceps"
94,"pollinator","Coccinella_miranda"
95,"pollinator","Colias_croceus"
96,"pollinator","Colletes_dimidiatus"
97,"pollinator","Crematogaster_alluaudi"
98,"pollinator","Cryptocephalus_gounellei"
99,"pollinator","Cryptocephalus_nitidicollis"
100,"pollinator","Cryptocephalus_nubigena"
101,"pollinator","Curculionidae_sp."
102,"pollinator","Dasytes_cf._subaenescens"
103,"pollinator","Dasytes_lanzarotensis"
104,"pollinator","Dasytes_subaenescens"
105,"pollinator","Delia_flavibasis"
106,"pollinator","Diglyphus_chabrias"
107,"pollinator","Dilophus_hiemalis"
108,"pollinator","Dinarmoides_spilopterus"
109,"pollinator","Dischistus_atlanticus"
110,"pollinator","Elasmus_platyedrae"
111,"pollinator","Empididae_sp._1"
112,"pollinator","Empis_sp._1"
113,"pollinator","Eristalinus_aeneus"
114,"pollinator","Eristalinus_taeniops"
115,"pollinator","Eristalis_tenax"
116,"pollinator","Estheria_simonyi"
117,"pollinator","Eucera_gracilipes"
118,"pollinator","Euderus_sp."
119,"pollinator","Eumerus_latitarsis"
120,"pollinator","Eumerus_nivariae"
121,"pollinator","Eupelmus_sp."
122,"pollinator","Eupelmus_testaceiventris"
123,"pollinator","Eurytoma_sp._1"
124,"pollinator","Eurytoma_sp._2"
125,"pollinator","Exetastes_segmentarius"
126,"pollinator","Exhyalanthrax_canarionae"
127,"pollinator","Fannia_sp."
128,"pollinator","Gasteruption_sp."
129,"pollinator","Geometridae_sp."
130,"pollinator","Geometridae_sp._2"
131,"pollinator","Gnaphosidae_sp._1"
132,"pollinator","Goniozus_sp."
133,"pollinator","Halictus_fulvipes"
134,"pollinator","Holepyris_sp."
135,"pollinator","Hylaeus_ater"
136,"pollinator","Hylaeus_hohmanni"
137,"pollinator","Lasioglossum_arctifrons"
138,"pollinator","Lasioglossum_loetum"
139,"pollinator","Lasioglossum_viride"
140,"pollinator","Leptochilus_cruentatus"
141,"pollinator","Leptochilus_eatoni"
142,"pollinator","Leptochilus_fortunatus"
143,"pollinator","Linnaemyia_soror"
144,"pollinator","Lucilia_sericata"
145,"pollinator","Macrocoma_splendens"
146,"pollinator","Macroglossum_stellatarum"
147,"pollinator","Malthinus_mutabilis"
148,"pollinator","Megachile_canariensis"
149,"pollinator","Megaselia_sp._1"
150,"pollinator","Megaselia_sp._2"
151,"pollinator","Melecta_curvispina"
152,"pollinator","Meligethes_canariensis"
153,"pollinator","Meligethes_cf._canariensis"
154,"pollinator","Milichiidae_sp."
155,"pollinator","Minotetrastichus_sp."
156,"pollinator","Monomorium_subopacum"
157,"pollinator","Mordellistena_cf._canariensis"
158,"pollinator","Musca_domestica"
159,"pollinator","Musca_osiris"
160,"pollinator","Myathropa_florea"
161,"pollinator","Mycetophilidae_sp._1"
162,"pollinator","Myopites_nigrescens"
163,"pollinator","Neodryophilus_cryptophagoides"
164,"pollinator","Nomioides_fortunatus"
165,"pollinator","Nyctia_lugubris"
166,"pollinator","Oscinella_sp._1"
167,"pollinator","Oscinella_sp._2"
168,"pollinator","Oscinimorpha_sp."
169,"pollinator","Osmia_canaria"
170,"pollinator","Osmia_latreillei"
171,"pollinator","Oxyopes_cf._kraepelinorum"
172,"pollinator","Oxyopes_kraepelinorum"
173,"pollinator","Paragus_tibialis"
174,"pollinator","Paratrechina_longicornis"
175,"pollinator","Perilampus_sp._1"
176,"pollinator","Perilampus_sp._2"
177,"pollinator","Phalacrus_coruscus"
178,"pollinator","Phthiria_simonyi"
179,"pollinator","Physiphora_alceae"
180,"pollinator","Phyto_discrepans"
181,"pollinator","Phyto_nigrobarbata"
182,"pollinator","Pieris_rapae"
183,"pollinator","Plagiolepis_schmitzii"
184,"pollinator","Plagiolepis_sp._2"
185,"pollinator","Platypalpus_sp."
186,"pollinator","Platypalpus_sp._1"
187,"pollinator","Platypalpus_sp._2"
188,"pollinator","Proconura_sp._2"
189,"pollinator","Pteromalus_sp._1"
190,"pollinator","Pteromalus_sp._2"
191,"pollinator","Pteromalus_sp._3"
192,"pollinator","Pteromalus_sp._4"
193,"pollinator","Rondania_insularis"
194,"pollinator","Sapromyza_sp."
195,"pollinator","Sarcophagidae_sp._3"
196,"pollinator","Sarcophagidae_sp._4"
197,"pollinator","Sarcophagidae_sp._5"
198,"pollinator","Sarcophagidae_sp._6"
199,"pollinator","Sarcophagidae_sp._8"
200,"pollinator","Scaeva_albomaculata"
201,"pollinator","Scaptomyza_sp._2"
202,"pollinator","Scenopinus_sp."
203,"pollinator","Sciaridae_sp."
204,"pollinator","Sciaridae_sp._1"
205,"pollinator","Scymnus_canariensis"
206,"pollinator","Sepsis_sp."
207,"pollinator","Sibinia_sericea"
208,"pollinator","Spathulina_sicula"
209,"pollinator","Sphaeniscus_filiolus"
210,"pollinator","Stenoselma_sp."
211,"pollinator","Stomorhina_lunata"
212,"pollinator","Synthesomyia_nudiseta"
213,"pollinator","Syritta_pipiens"
214,"pollinator","Tachina_canariensis"
215,"pollinator","Tachyagetes_aemulans"
216,"pollinator","Tethina_marmorata"
217,"pollinator","Tethinidae_sp._3"
218,"pollinator","Tetramesa_sp."
219,"pollinator","Thaumatomyia_notata"
220,"pollinator","Themnothorax_hesperius"
221,"pollinator","Themnothorax_risii"
222,"pollinator","Thomisus_cf._globosum"
223,"pollinator","Thomisus_cf._onustus"
224,"pollinator","Thyridanthrax_indigenus"
225,"pollinator","Thysanoptera_sp._1"
226,"pollinator","Thysanoptera_sp._2"
227,"pollinator","Thysanoptera_sp._3"
228,"pollinator","Thysanoptera_sp._4"
229,"pollinator","Thysanoptera_sp._7"
230,"pollinator","Torymoides_lindbergi"
231,"pollinator","Trixoscelis_sp."
232,"pollinator","Tropinota_squalida"
233,"pollinator","Trupanea_augur"
234,"pollinator","Urelliosoma_guimari"
235,"pollinator","Villa_nigriceps"
