"layer_id","module","lat","long","size_of_module","count"
1,3,28.5643,-13.8914,37,1
1,2,28.5643,-13.8914,54,1
1,6,28.5643,-13.8914,6,1
1,4,28.5643,-13.8914,14,1
1,11,28.5643,-13.8914,4,1
1,16,28.5643,-13.8914,5,1
1,5,28.5643,-13.8914,23,1
1,18,28.5643,-13.8914,8,1
1,1,28.5643,-13.8914,89,1
1,20,28.5643,-13.8914,3,1
1,23,28.5643,-13.8914,3,1
1,10,28.5643,-13.8914,7,1
1,26,28.5643,-13.8914,3,1
1,29,28.5643,-13.8914,2,1
2,10,27.9041,-15.4331,7,1
2,1,27.9041,-15.4331,89,1
2,9,27.9041,-15.4331,5,1
2,14,27.9041,-15.4331,9,1
2,13,27.9041,-15.4331,13,1
2,3,27.9041,-15.4331,37,1
2,4,27.9041,-15.4331,14,1
2,2,27.9041,-15.4331,54,1
2,5,27.9041,-15.4331,23,1
2,20,27.9041,-15.4331,3,1
2,16,27.9041,-15.4331,5,1
2,29,27.9041,-15.4331,2,1
2,8,27.9041,-15.4331,20,1
2,11,27.9041,-15.4331,4,1
2,23,27.9041,-15.4331,3,1
2,27,27.9041,-15.4331,3,1
2,22,27.9041,-15.4331,2,1
3,1,28.28765,-16.6648,89,1
3,2,28.28765,-16.6648,54,1
3,28,28.28765,-16.6648,3,1
3,8,28.28765,-16.6648,20,1
3,31,28.28765,-16.6648,2,1
3,7,28.28765,-16.6648,26,1
3,3,28.28765,-16.6648,37,1
3,4,28.28765,-16.6648,14,1
3,10,28.28765,-16.6648,7,1
3,16,28.28765,-16.6648,5,1
3,12,28.28765,-16.6648,10,1
3,5,28.28765,-16.6648,23,1
3,17,28.28765,-16.6648,6,1
3,30,28.28765,-16.6648,2,1
3,14,28.28765,-16.6648,9,1
3,9,28.28765,-16.6648,5,1
3,32,28.28765,-16.6648,2,1
3,24,28.28765,-16.6648,2,1
3,11,28.28765,-16.6648,4,1
3,20,28.28765,-16.6648,3,1
3,19,28.28765,-16.6648,7,1
3,25,28.28765,-16.6648,3,1
3,21,28.28765,-16.6648,3,1
3,33,28.28765,-16.6648,2,1
4,21,28.0398,-17.2267,3,1
4,1,28.0398,-17.2267,89,1
4,3,28.0398,-17.2267,37,1
4,4,28.0398,-17.2267,14,1
4,5,28.0398,-17.2267,23,1
4,2,28.0398,-17.2267,54,1
4,25,28.0398,-17.2267,3,1
4,27,28.0398,-17.2267,3,1
4,7,28.0398,-17.2267,26,1
4,8,28.0398,-17.2267,20,1
4,6,28.0398,-17.2267,6,1
4,12,28.0398,-17.2267,10,1
4,11,28.0398,-17.2267,4,1
4,14,28.0398,-17.2267,9,1
4,9,28.0398,-17.2267,5,1
4,23,28.0398,-17.2267,3,1
4,16,28.0398,-17.2267,5,1
4,19,28.0398,-17.2267,7,1
5,1,27.8047,-17.8954,89,1
5,12,27.8047,-17.8954,10,1
5,21,27.8047,-17.8954,3,1
5,16,27.8047,-17.8954,5,1
5,15,27.8047,-17.8954,7,1
5,7,27.8047,-17.8954,26,1
5,31,27.8047,-17.8954,2,1
5,9,27.8047,-17.8954,5,1
5,8,27.8047,-17.8954,20,1
5,2,27.8047,-17.8954,54,1
5,24,27.8047,-17.8954,2,1
5,30,27.8047,-17.8954,2,1
5,25,27.8047,-17.8954,3,1
5,17,27.8047,-17.8954,6,1
5,32,27.8047,-17.8954,2,1
