"","node_id","module","layer_id","flow","type","species"
"1",1,7,4,0.0110982,"plant","Argyranthemum.frutescens"
"2",1,7,5,0.0110742,"plant","Argyranthemum.frutescens"
"3",1,7,6,0.00867722,"plant","Argyranthemum.frutescens"
"4",2,4,1,7.05719e-05,"plant","Argyranthemum.sp."
"5",3,14,1,0.00693759,"plant","Asparagus.pastorianus"
"6",4,17,5,0.0003972,"plant","Asphaltklee.bituminosa"
"7",4,17,6,0.00153539,"plant","Asphaltklee.bituminosa"
"8",4,17,7,0.00265073,"plant","Asphaltklee.bituminosa"
"9",5,23,5,0.00257774,"plant","Ceballosia.fruticosa"
"10",5,23,7,0.00171347,"plant","Ceballosia.fruticosa"
"11",6,42,5,0.000507658,"plant","Ceropegia.dichotoma"
"12",7,1,4,9.58328e-05,"plant","Ceropegia.fusca"
"13",8,4,1,0.00989973,"plant","Euphorbia.balsamifera..f."
"14",8,4,2,0.00669921,"plant","Euphorbia.balsamifera..f."
"15",8,1,3,0.00831815,"plant","Euphorbia.balsamifera..f."
"16",8,1,4,0.00654602,"plant","Euphorbia.balsamifera..f."
"17",8,1,5,0.00770966,"plant","Euphorbia.balsamifera..f."
"18",8,1,6,0.00836575,"plant","Euphorbia.balsamifera..f."
"19",8,1,7,0.00510118,"plant","Euphorbia.balsamifera..f."
"20",9,9,1,0.0177269,"plant","Euphorbia.balsamifera..m."
"21",9,2,2,0.0190227,"plant","Euphorbia.balsamifera..m."
"22",9,2,3,0.0160249,"plant","Euphorbia.balsamifera..m."
"23",9,2,4,0.0135425,"plant","Euphorbia.balsamifera..m."
"24",9,2,5,0.0190194,"plant","Euphorbia.balsamifera..m."
"25",9,2,6,0.0157617,"plant","Euphorbia.balsamifera..m."
"26",9,2,7,0.0150057,"plant","Euphorbia.balsamifera..m."
"27",10,6,4,0.00800048,"plant","Euphorbia.lamarckii"
"28",10,6,5,0.0038762,"plant","Euphorbia.lamarckii"
"29",10,6,6,0.00744927,"plant","Euphorbia.lamarckii"
"30",10,6,7,0.0164407,"plant","Euphorbia.lamarckii"
"31",11,18,3,0.00756319,"plant","Euphorbia.regis.jubae"
"32",12,16,1,0.00100153,"plant","Fagonia.albiflora"
"33",12,5,3,0.00399753,"plant","Fagonia.albiflora"
"34",12,5,4,0.00102851,"plant","Fagonia.albiflora"
"35",12,5,5,0.00449943,"plant","Fagonia.albiflora"
"36",12,5,6,0.00239406,"plant","Fagonia.albiflora"
"37",13,21,4,0.00246116,"plant","Frankenia.laevis"
"38",13,21,5,0.00131802,"plant","Frankenia.laevis"
"39",14,4,1,7.05719e-05,"plant","Helianthemum.canariensis"
"40",14,5,2,0.00255345,"plant","Helianthemum.canariensis"
"41",14,5,4,0.00125647,"plant","Helianthemum.canariensis"
"42",15,16,1,0.000798417,"plant","Kickxia.heterophylla"
"43",15,33,2,0.00146516,"plant","Kickxia.heterophylla"
"44",16,35,3,0.000712574,"plant","Kickxia.scoparia"
"45",16,13,5,5.76882e-05,"plant","Kickxia.scoparia"
"46",16,35,6,0.000817468,"plant","Kickxia.scoparia"
"47",17,3,1,0.0112562,"plant","Launaea.arborescens"
"48",17,3,2,0.0147267,"plant","Launaea.arborescens"
"49",17,3,3,0.00970145,"plant","Launaea.arborescens"
"50",17,3,4,0.00860452,"plant","Launaea.arborescens"
"51",17,3,5,0.00315738,"plant","Launaea.arborescens"
"52",17,3,6,0.00985154,"plant","Launaea.arborescens"
"53",18,8,5,0.00123351,"plant","Lavendula.buchii"
"54",19,8,3,0.000495344,"plant","Lavendula.minutolii"
"55",20,26,4,0.00299507,"plant","Lavendula.multifida"
"56",20,26,6,0.000419801,"plant","Lavendula.multifida"
"57",21,20,7,0.00435389,"plant","Lotus.glaucus"
"58",22,24,2,0.000742767,"plant","Lotus.lancerottensis"
"59",23,34,4,0.00164937,"plant","Lotus.sessilifolius"
"60",24,25,1,0.00293464,"plant","Lotus.sp."
"61",25,30,3,0.00156333,"plant","Lotus.spartioides"
"62",26,16,1,0.00487374,"plant","Lycium.intricatum"
