"","layer","node_from","node_to","weight"
"1",1,6,52,0.00746268656716418
"2",1,6,66,0.0298507462686567
"3",1,6,93,0.00746268656716418
"4",1,6,159,0.00746268656716418
"5",1,6,183,0.335820895522388
"6",1,7,48,0.0315457413249211
"7",1,7,62,0.0157728706624606
"8",1,7,66,0.0315457413249211
"9",1,7,76,0.00315457413249211
"10",1,7,88,0.00315457413249211
"11",1,7,144,0.0126182965299685
"12",1,7,154,0.00315457413249211
"13",1,7,165,0.00315457413249211
"14",1,7,181,0.00315457413249211
"15",1,7,183,0.167192429022082
"16",1,7,197,0.056782334384858
"17",1,7,201,0.00315457413249211
"18",1,7,203,0.0189274447949527
"19",1,7,215,0.00315457413249211
"20",1,7,225,0.0662460567823344
"21",1,12,109,0.0769230769230769
"22",1,12,196,0.153846153846154
"23",1,12,226,0.461538461538462
"24",1,15,43,0.021978021978022
"25",1,15,46,0.010989010989011
"26",1,15,48,0.010989010989011
"27",1,15,57,0.010989010989011
"28",1,15,62,0.032967032967033
"29",1,15,66,0.043956043956044
"30",1,15,72,0.021978021978022
"31",1,15,74,0.021978021978022
"32",1,15,78,0.010989010989011
"33",1,15,103,0.0659340659340659
"34",1,15,109,0.010989010989011
"35",1,15,124,0.010989010989011
"36",1,15,138,0.010989010989011
"37",1,15,144,0.0659340659340659
"38",1,15,173,0.010989010989011
"39",1,15,183,0.131868131868132
"40",1,15,188,0.010989010989011
"41",1,15,190,0.0769230769230769
"42",1,15,198,0.010989010989011
"43",1,15,203,0.032967032967033
"44",1,15,226,0.021978021978022
"45",1,15,234,0.021978021978022
"46",1,23,46,0.192307692307692
"47",1,23,74,0.0384615384615385
"48",1,23,75,0.0384615384615385
"49",1,23,225,0.0384615384615385
"50",1,23,226,0.0384615384615385
"51",1,23,228,0.0384615384615385
"52",1,28,218,0.166666666666667
"53",1,32,46,0.25
"54",1,32,83,0.25
"55",1,32,196,0.5
"56",1,6,48,0.00746268656716418
"57",1,6,66,0.0149253731343284
"58",1,6,68,0.0298507462686567
"59",1,6,93,0.0149253731343284
"60",1,6,109,0.00746268656716418
"61",1,6,183,0.462686567164179
"62",1,6,196,0.00746268656716418
"63",1,6,197,0.00746268656716418
"64",1,6,203,0.0597014925373134
"65",1,7,43,0.00630914826498423
"66",1,7,48,0.00315457413249211
"67",1,7,55,0.00946372239747634
"68",1,7,62,0.028391167192429
"69",1,7,66,0.0252365930599369
"70",1,7,100,0.00946372239747634
"71",1,7,144,0.00946372239747634
"72",1,7,177,0.00315457413249211
"73",1,7,183,0.28391167192429
"74",1,7,186,0.00315457413249211
"75",1,7,194,0.00630914826498423
