"layer_from","layer_to","ave","sd","mean_distance","type"
1,2,0.226815874350695,0.0816423434194792,305248.84735,"null_pollinators"
1,3,0.166293169096415,0.0726473264476164,244280.590775,"null_pollinators"
1,4,0.140801972933935,0.0670903818440129,339381.7762,"null_pollinators"
1,5,0.154722984006341,0.0676949612176848,389094.179225,"null_pollinators"
1,6,0.15749035883251,0.0730162097666559,390008.86975,"null_pollinators"
1,7,0.118383957725094,0.0671843148569695,437371.016375,"null_pollinators"
2,3,0.208753561497733,0.0854646392710568,190474.59875,"null_pollinators"
2,4,0.18579398008793,0.0770050782913792,284225.3518,"null_pollinators"
2,5,0.182161645366197,0.0731641973778525,337055.48055,"null_pollinators"
2,6,0.199426501384234,0.0821641436458517,376892.630125,"null_pollinators"
2,7,0.133685496564205,0.0709641244773548,455676.643375,"null_pollinators"
3,4,0.151872760320356,0.0745946361192306,116460.649125,"null_pollinators"
3,5,0.162220129684158,0.0751134882124402,173858.830325,"null_pollinators"
3,6,0.165998207796003,0.0802844997924358,200274.260075,"null_pollinators"
3,7,0.114926907238365,0.0684186619584512,274346.546,"null_pollinators"
4,5,0.213944599747272,0.0826663628374342,57464.1820425,"null_pollinators"
4,6,0.19044259331622,0.0760920713760165,92999.56344,"null_pollinators"
4,7,0.175305052799812,0.0827942646890326,172763.448,"null_pollinators"
5,6,0.181754781599441,0.0754096552257642,52751.492455,"null_pollinators"
5,7,0.137845023833153,0.0717059911693958,129414.4136,"null_pollinators"
6,7,0.162300174930624,0.0799924333132051,80112.73198,"null_pollinators"
