"layer_from","layer_to","ave","sd","mean_distance","type"
1,2,0.287803518591369,0.0921206423243769,190474.5988,"null_both"
1,3,0.284583059116907,0.0848976019788629,310640.4162,"null_both"
1,4,0.266761462100714,0.0976082241802169,376892.6301,"null_both"
1,5,0.265642088762444,0.097843556902178,455676.6434,"null_both"
2,3,0.26842215219837,0.0781311016514776,145159.7397,"null_both"
2,4,0.270960404720813,0.0814980748782798,200274.2601,"null_both"
2,5,0.270036816238569,0.0840273913810844,274346.546,"null_both"
3,4,0.239946089434718,0.0767613857868143,72875.52795,"null_both"
3,5,0.238410175836245,0.0794639626225699,151088.9308,"null_both"
4,5,0.283968094341919,0.0911317476637553,80112.73198,"null_both"
