layer_from;layer_to;mean_distance
6;2;376892.6301
3;2;190474.5988
7;2;455676.6434
4;2;284225.3518
5;2;337055.4806
1;2;305248.8474
2;6;376892.6301
3;6;200274.2601
7;6;80112.73198
4;6;92999.56344
5;6;52751.49246
1;6;390008.8698
2;3;190474.5988
6;3;200274.2601
7;3;274346.546
4;3;116460.6491
5;3;173858.8303
1;3;244280.5908
2;7;455676.6434
6;7;80112.73198
3;7;274346.546
4;7;172763.448
5;7;129414.4136
1;7;437371.0164
2;4;284225.3518
6;4;92999.56344
3;4;116460.6491
7;4;172763.448
5;4;57464.18204
1;4;339381.7762
2;5;337055.4806
6;5;52751.49246
3;5;173858.8303
7;5;129414.4136
4;5;57464.18204
1;5;389094.1792
2;1;305248.8474
6;1;390008.8698
3;1;244280.5908
7;1;437371.0164
4;1;339381.7762
5;1;389094.1792
