"layer_from","layer_to","ave","sd","mean_distance","type"
1,2,0.355146450406319,0.0743139965826349,190474.5988,"null_plants"
1,3,0.225224387171143,0.0546273233324038,310640.4162,"null_plants"
1,4,0.254255187436253,0.0776157735203026,376892.6301,"null_plants"
1,5,0.155537804141836,0.0690564555295016,455676.6434,"null_plants"
2,3,0.266967059126115,0.0635276058815702,145159.7397,"null_plants"
2,4,0.34009829948719,0.0698812520579891,200274.2601,"null_plants"
2,5,0.257048587273131,0.0615154817131361,274346.546,"null_plants"
3,4,0.305175379537405,0.0762364124524505,72875.52795,"null_plants"
3,5,0.335344166950517,0.068811482336728,151088.9308,"null_plants"
4,5,0.366348895110364,0.0706842459580352,80112.73198,"null_plants"
