"module","n"
1,49
2,53
3,53
4,14
5,16
6,39
7,29
8,21
9,23
10,23
11,6
12,8
13,6
14,10
15,15
16,10
17,10
18,12
19,9
20,7
21,8
22,5
23,6
24,8
25,4
26,6
27,3
28,5
29,2
30,2
31,3
32,5
33,3
34,3
35,3
36,2
37,2
38,2
39,2
40,2
41,2
42,2
