"","node_id","module","layer_id","flow","type","species"
"1",1,7,7,0.00727892,"plant","Argyranthemum.frutescens"
"2",1,7,8,0.00871192,"plant","Argyranthemum.frutescens"
"3",1,7,9,0.00814557,"plant","Argyranthemum.frutescens"
"4",1,7,10,0.00783513,"plant","Argyranthemum.frutescens"
"5",1,7,11,0.00801394,"plant","Argyranthemum.frutescens"
"6",1,7,12,0.00740108,"plant","Argyranthemum.frutescens"
"7",2,2,2,3.17987e-05,"plant","Argyranthemum.sp."
"8",3,18,1,0.00220035,"plant","Asparagus.pastorianus"
"9",3,18,2,0.00262466,"plant","Asparagus.pastorianus"
"10",4,14,10,0.00166893,"plant","Asphaltklee.bituminosa"
"11",4,14,12,0.00199101,"plant","Asphaltklee.bituminosa"
"12",4,14,13,0.00204272,"plant","Asphaltklee.bituminosa"
"13",4,14,14,0.00214145,"plant","Asphaltklee.bituminosa"
"14",5,15,9,0.00218476,"plant","Ceballosia.fruticosa"
"15",5,15,10,0.00206327,"plant","Ceballosia.fruticosa"
"16",5,15,13,0.00173135,"plant","Ceballosia.fruticosa"
"17",5,15,14,0.00187316,"plant","Ceballosia.fruticosa"
"18",6,37,10,0.00020461,"plant","Ceropegia.dichotoma"
"19",7,10,7,3.98013e-05,"plant","Ceropegia.fusca"
"20",8,2,1,0.0108215,"plant","Euphorbia.balsamifera..f."
"21",8,2,2,0.0108355,"plant","Euphorbia.balsamifera..f."
"22",8,2,3,0.0102674,"plant","Euphorbia.balsamifera..f."
"23",8,2,4,0.0104474,"plant","Euphorbia.balsamifera..f."
"24",8,2,5,0.0106385,"plant","Euphorbia.balsamifera..f."
"25",8,2,6,0.0104299,"plant","Euphorbia.balsamifera..f."
"26",8,2,7,0.0105166,"plant","Euphorbia.balsamifera..f."
"27",8,2,8,0.0101351,"plant","Euphorbia.balsamifera..f."
"28",8,2,9,0.0103793,"plant","Euphorbia.balsamifera..f."
"29",8,2,10,0.0110247,"plant","Euphorbia.balsamifera..f."
"30",8,2,11,0.0107407,"plant","Euphorbia.balsamifera..f."
"31",8,2,12,0.0104088,"plant","Euphorbia.balsamifera..f."
"32",8,2,13,0.0102558,"plant","Euphorbia.balsamifera..f."
"33",8,2,14,0.0101706,"plant","Euphorbia.balsamifera..f."
"34",9,1,1,0.0155954,"plant","Euphorbia.balsamifera..m."
"35",9,1,2,0.0155096,"plant","Euphorbia.balsamifera..m."
"36",9,1,3,0.0152477,"plant","Euphorbia.balsamifera..m."
"37",9,1,4,0.015342,"plant","Euphorbia.balsamifera..m."
"38",9,1,5,0.0151041,"plant","Euphorbia.balsamifera..m."
"39",9,1,6,0.0149136,"plant","Euphorbia.balsamifera..m."
"40",9,1,7,0.0145926,"plant","Euphorbia.balsamifera..m."
"41",9,1,8,0.0146222,"plant","Euphorbia.balsamifera..m."
"42",9,1,9,0.0152708,"plant","Euphorbia.balsamifera..m."
"43",9,1,10,0.0157064,"plant","Euphorbia.balsamifera..m."
"44",9,1,11,0.0145726,"plant","Euphorbia.balsamifera..m."
"45",9,1,12,0.0148525,"plant","Euphorbia.balsamifera..m."
"46",9,1,13,0.0147011,"plant","Euphorbia.balsamifera..m."
"47",9,1,14,0.0146007,"plant","Euphorbia.balsamifera..m."
"48",10,5,7,0.00776143,"plant","Euphorbia.lamarckii"
"49",10,5,8,0.00814726,"plant","Euphorbia.lamarckii"
"50",10,5,9,0.00698606,"plant","Euphorbia.lamarckii"
"51",10,5,10,0.00717515,"plant","Euphorbia.lamarckii"
"52",10,5,11,0.00775317,"plant","Euphorbia.lamarckii"
"53",10,5,12,0.00759947,"plant","Euphorbia.lamarckii"
"54",10,5,13,0.0090952,"plant","Euphorbia.lamarckii"
"55",10,5,14,0.00931377,"plant","Euphorbia.lamarckii"
"56",11,19,5,0.00339869,"plant","Euphorbia.regis.jubae"
"57",11,19,6,0.00255849,"plant","Euphorbia.regis.jubae"
"58",12,9,2,0.00398512,"plant","Fagonia.albiflora"
"59",12,9,5,0.00425265,"plant","Fagonia.albiflora"
"60",12,9,6,0.00415687,"plant","Fagonia.albiflora"
"61",12,9,8,0.00363746,"plant","Fagonia.albiflora"
"62",12,9,9,0.00451519,"plant","Fagonia.albiflora"
"63",12,9,10,0.00393998,"plant","Fagonia.albiflora"
"64",12,9,12,0.00415411,"plant","Fagonia.albiflora"
"65",13,20,7,0.00171486,"plant","Frankenia.laevis"
"66",13,20,8,0.00175334,"plant","Frankenia.laevis"
"67",13,20,10,0.00161656,"plant","Frankenia.laevis"
"68",14,12,1,0.00198197,"plant","Helianthemum.canariensis"
"69",14,12,3,0.00242908,"plant","Helianthemum.canariensis"
"70",14,12,4,0.00244856,"plant","Helianthemum.canariensis"
"71",14,12,7,0.00236131,"plant","Helianthemum.canariensis"
"72",14,12,8,0.00220608,"plant","Helianthemum.canariensis"
"73",15,23,1,0.000938804,"plant","Kickxia.heterophylla"
"74",15,23,2,0.00109874,"plant","Kickxia.heterophylla"
"75",15,23,4,0.00138449,"plant","Kickxia.heterophylla"
"76",16,21,5,0.0012014,"plant","Kickxia.scoparia"
"77",16,21,10,0.00104049,"plant","Kickxia.scoparia"
"78",16,21,11,0.00105763,"plant","Kickxia.scoparia"
"79",16,21,12,0.00119337,"plant","Kickxia.scoparia"
"80",17,3,1,0.00952263,"plant","Launaea.arborescens"
"81",17,3,2,0.00971371,"plant","Launaea.arborescens"
"82",17,3,3,0.010351,"plant","Launaea.arborescens"
"83",17,3,4,0.00983976,"plant","Launaea.arborescens"
"84",17,3,5,0.00903565,"plant","Launaea.arborescens"
"85",17,3,6,0.00952283,"plant","Launaea.arborescens"
"86",17,3,7,0.00925612,"plant","Launaea.arborescens"
"87",17,3,8,0.00940664,"plant","Launaea.arborescens"
"88",17,3,9,0.00845558,"plant","Launaea.arborescens"
"89",17,3,10,0.00876279,"plant","Launaea.arborescens"
"90",17,3,11,0.00907743,"plant","Launaea.arborescens"
"91",17,3,12,0.0097563,"plant","Launaea.arborescens"
"92",18,34,10,0.00059775,"plant","Lavendula.buchii"
"93",19,4,6,0.000236596,"plant","Lavendula.minutolii"
"94",20,27,7,0.00133407,"plant","Lavendula.multifida"
"95",20,27,11,0.000704723,"plant","Lavendula.multifida"
"96",21,24,13,0.00186449,"plant","Lotus.glaucus"
"97",22,22,4,0.000357197,"plant","Lotus.lancerottensis"
"98",23,32,7,0.00053385,"plant","Lotus.sessilifolius"
"99",23,32,8,0.000952884,"plant","Lotus.sessilifolius"
"100",24,30,1,0.00123677,"plant","Lotus.sp."
"101",25,33,6,0.000593824,"plant","Lotus.spartioides"
"102",26,4,1,0.00642186,"plant","Lycium.intricatum"
"103",26,4,2,0.00691461,"plant","Lycium.intricatum"
"104",26,4,3,0.00654163,"plant","Lycium.intricatum"
"105",26,4,4,0.00644616,"plant","Lycium.intricatum"
"106",26,4,5,0.00658326,"plant","Lycium.intricatum"
"107",26,4,6,0.00663524,"plant","Lycium.intricatum"
"108",26,4,7,0.00614612,"plant","Lycium.intricatum"
"109",26,4,8,0.00591748,"plant","Lycium.intricatum"
"110",26,4,9,0.00644238,"plant","Lycium.intricatum"
"111",26,4,10,0.00612741,"plant","Lycium.intricatum"
"112",26,4,12,0.00637842,"plant","Lycium.intricatum"
"113",27,26,9,0.00078121,"plant","Nauplius.aquaticus"
"114",27,26,10,0.00127691,"plant","Nauplius.aquaticus"
"115",28,28,1,0.000871462,"plant","Nauplius.sp."
"116",28,28,2,0.000897867,"plant","Nauplius.sp."
"117",29,10,9,0.000209967,"plant","Neochamaelea.pulverulenta"
"118",30,17,10,0.00345661,"plant","Parolinia.intermedia"
"119",31,6,7,0.00855461,"plant","Periploca.laevigata"
"120",31,6,8,0.00858763,"plant","Periploca.laevigata"
"121",31,6,9,0.00799639,"plant","Periploca.laevigata"
"122",31,6,10,0.00781595,"plant","Periploca.laevigata"
"123",31,6,11,0.00741379,"plant","Periploca.laevigata"
"124",31,6,12,0.00773084,"plant","Periploca.laevigata"
"125",31,6,13,0.00741307,"plant","Periploca.laevigata"
"126",31,6,14,0.00770067,"plant","Periploca.laevigata"
"127",32,22,3,0.0013155,"plant","Phagnalon.purpurascens"
"128",32,22,4,0.0013798,"plant","Phagnalon.purpurascens"
"129",33,13,11,0.0026908,"plant","Phagnalon.saxatile"
"130",33,13,12,0.00279,"plant","Phagnalon.saxatile"
"131",33,13,14,0.00261713,"plant","Phagnalon.saxatile"
"132",34,16,5,0.00187969,"plant","Plocama.pendula"
"133",34,16,6,0.002164,"plant","Plocama.pendula"
"134",34,16,7,0.00169213,"plant","Plocama.pendula"
"135",34,16,11,0.00179511,"plant","Plocama.pendula"
"136",35,8,5,0.00404288,"plant","Rubia.fruticosa"
"137",35,8,6,0.00440426,"plant","Rubia.fruticosa"
"138",35,8,9,0.00406476,"plant","Rubia.fruticosa"
"139",35,8,10,0.003924,"plant","Rubia.fruticosa"
"140",35,8,11,0.00439895,"plant","Rubia.fruticosa"
"141",35,8,12,0.00411011,"plant","Rubia.fruticosa"
"142",35,8,13,0.00385337,"plant","Rubia.fruticosa"
"143",35,8,14,0.00380827,"plant","Rubia.fruticosa"
"144",36,31,3,0.00066748,"plant","Salvia.aegyptiaca"
"145",36,31,12,0.000416913,"plant","Salvia.aegyptiaca"
"146",37,25,7,0.000898098,"plant","Satureja.kuegleri"
"147",37,25,8,0.000885053,"plant","Satureja.kuegleri"
"148",37,25,14,0.000704463,"plant","Satureja.kuegleri"
"149",38,11,5,0.0035533,"plant","Schizogyne.sericea"
"150",38,11,7,0.00382271,"plant","Schizogyne.sericea"
"151",38,11,8,0.00398687,"plant","Schizogyne.sericea"
"152",38,11,9,0.00351801,"plant","Schizogyne.sericea"
"153",38,11,10,0.00351003,"plant","Schizogyne.sericea"
"154",38,11,14,0.00391026,"plant","Schizogyne.sericea"
"155",39,29,1,0.00122256,"plant","Zilla.spinosa"
"156",39,29,2,0.000640459,"plant","Zilla.spinosa"
"157",40,19,6,2.94108e-05,"pollinator","Agromyzidae_sp._1"
"158",40,2,7,4.74508e-05,"pollinator","Agromyzidae_sp._1"
"159",40,1,8,4.07022e-05,"pollinator","Agromyzidae_sp._1"
"160",41,6,10,1.73494e-05,"pollinator","Agromyzidae?_sp._2"
"161",42,3,6,2.63313e-05,"pollinator","Alliophleps_elliptica"
"162",43,4,9,3.66809e-05,"pollinator","Amegilla_canifrons"
"163",44,4,5,0.000119556,"pollinator","Amegilla_quadrifasciata"
"164",44,4,6,3.34332e-05,"pollinator","Amegilla_quadrifasciata"
"165",44,27,7,0.000328028,"pollinator","Amegilla_quadrifasciata"
"166",44,34,10,0.00019782,"pollinator","Amegilla_quadrifasciata"
"167",44,4,12,0.000280493,"pollinator","Amegilla_quadrifasciata"
"168",45,4,1,0.000379606,"pollinator","Amegilla_sp."
"169",45,9,2,0.00057014,"pollinator","Amegilla_sp."
"170",46,20,8,5.32594e-05,"pollinator","Ammophila_terminata"
"171",47,1,12,0.0001025,"pollinator","Anaspis_cf._canariensis"
"172",48,3,4,5.24038e-05,"pollinator","Anaspis_cf._eversi"
"173",49,1,1,8.7791e-06,"pollinator","Anaspis_cf._saharensis"
"174",49,1,2,1.12036e-05,"pollinator","Anaspis_cf._saharensis"
"175",50,3,3,2.69598e-05,"pollinator","Anaspis_proteus"
"176",50,1,4,1.11536e-05,"pollinator","Anaspis_proteus"
"177",50,19,5,0.00019037,"pollinator","Anaspis_proteus"
"178",50,3,6,0.000403732,"pollinator","Anaspis_proteus"
"179",50,5,7,4.78723e-05,"pollinator","Anaspis_proteus"
"180",50,1,8,0.000415079,"pollinator","Anaspis_proteus"
"181",50,9,9,0.0006486,"pollinator","Anaspis_proteus"
"182",50,17,10,0.000867362,"pollinator","Anaspis_proteus"
