"","module_sub_module","layer_from","layer_to","distance","num_of_species"
"679","1 . 2",11,12,70.701802,9
"680","1 . 2",13,14,93.399466,8
"681","1 . 2",1,2,505.679714,15
"682","1 . 2",11,12,70.701802,9
"683","1 . 2",13,14,93.399466,8
"684","1 . 2",1,2,505.679714,15
"685","1 . 2",11,12,70.701802,9
"686","1 . 2",13,14,93.399466,8
"687","1 . 3",7,14,172748.3908,8
"688","1 . 3",8,14,172824.6395,8
"689","1 . 3",7,14,172748.3908,8
"690","1 . 3",8,14,172824.6395,8
"691","1 . 3",7,14,172748.3908,8
"692","1 . 3",8,14,172824.6395,8
"693","1 . 3",7,14,172748.3908,8
"694","1 . 3",8,14,172824.6395,8
"695","1 . 3",7,14,172748.3908,8
"696","1 . 3",8,14,172824.6395,8
"697","1 . 3",7,14,172748.3908,8
"698","1 . 3",8,14,172824.6395,8
"699","1 . 3",7,14,172748.3908,8
"700","1 . 3",8,14,172824.6395,8
"701","1 . 3",7,14,172748.3908,8
"702","1 . 3",8,14,172824.6395,8
"703","1 . 3",7,14,172748.3908,8
"704","1 . 3",8,14,172824.6395,8
"705","1 . 3",7,14,172748.3908,8
"706","1 . 3",8,14,172824.6395,8
"707","1 . 3",7,14,172748.3908,8
"708","1 . 3",8,14,172824.6395,8
"709","1 . 3",7,14,172748.3908,8
"710","1 . 3",8,14,172824.6395,8
"711","1 . 3",7,14,172748.3908,8
"712","1 . 3",8,14,172824.6395,8
"713","1 . 3",7,14,172748.3908,8
"714","1 . 3",8,14,172824.6395,8
"715","1 . 3",7,14,172748.3908,8
"716","1 . 3",8,14,172824.6395,8
"717","1 . 3",7,14,172748.3908,8
"718","1 . 3",8,14,172824.6395,8
"719","1 . 3",7,14,172748.3908,8
"720","1 . 3",8,14,172824.6395,8
"721","1 . 3",7,14,172748.3908,8
"722","1 . 3",8,14,172824.6395,8
"723","1 . 3",7,14,172748.3908,8
"724","1 . 3",8,14,172824.6395,8
"725","1 . 3",7,14,172748.3908,8
"726","1 . 3",8,14,172824.6395,8
"727","1 . 3",7,14,172748.3908,8
"728","1 . 3",8,14,172824.6395,8
"729","1 . 3",7,14,172748.3908,8
"730","1 . 3",8,14,172824.6395,8
"731","1 . 3",7,14,172748.3908,8
"732","1 . 3",8,14,172824.6395,8
"733","1 . 3",7,14,172748.3908,8
"734","1 . 3",8,14,172824.6395,8
"735","1 . 3",7,14,172748.3908,8
"736","1 . 3",8,14,172824.6395,8
"737","1 . 3",7,14,172748.3908,8
"738","1 . 3",8,14,172824.6395,8
"739","1 . 3",7,14,172748.3908,8
"740","1 . 3",8,14,172824.6395,8
"741","1 . 3",7,14,172748.3908,8
"742","1 . 3",8,14,172824.6395,8
"743","1 . 3",7,14,172748.3908,8
"744","1 . 3",8,14,172824.6395,8
"745","1 . 3",7,14,172748.3908,8
"746","1 . 3",8,14,172824.6395,8
"747","1 . 3",7,14,172748.3908,8
"748","1 . 3",8,14,172824.6395,8
"749","1 . 3",7,14,172748.3908,8
"750","1 . 3",8,14,172824.6395,8
"751","1 . 3",7,14,172748.3908,8
"752","1 . 3",8,14,172824.6395,8
"753","1 . 3",7,14,172748.3908,8
"754","1 . 3",8,14,172824.6395,8
"755","1 . 3",7,14,172748.3908,8
"756","1 . 3",8,14,172824.6395,8
"757","1 . 3",7,14,172748.3908,8
"758","1 . 3",8,14,172824.6395,8
"759","1 . 3",7,14,172748.3908,8
"760","1 . 3",8,14,172824.6395,8
"761","1 . 3",7,14,172748.3908,8
"762","1 . 3",8,14,172824.6395,8
"763","1 . 3",7,14,172748.3908,8
"764","1 . 3",8,14,172824.6395,8
"765","1 . 3",7,14,172748.3908,8
"766","1 . 3",8,14,172824.6395,8
"767","1 . 3",7,14,172748.3908,8
"768","1 . 3",8,14,172824.6395,8
"769","1 . 3",7,14,172748.3908,8
"770","1 . 3",8,14,172824.6395,8
"771","1 . 3",7,14,172748.3908,8
"772","1 . 3",8,14,172824.6395,8
"773","1 . 3",7,14,172748.3908,8
"774","1 . 3",8,14,172824.6395,8
"775","1 . 3",7,14,172748.3908,8
"776","1 . 3",8,14,172824.6395,8
"777","1 . 3",7,14,172748.3908,8
"778","1 . 3",8,14,172824.6395,8
"779","1 . 3",7,14,172748.3908,8
"780","1 . 3",8,14,172824.6395,8
"781","1 . 3",7,14,172748.3908,8
"782","1 . 3",8,14,172824.6395,8
"783","1 . 3",7,14,172748.3908,8
"784","1 . 3",8,14,172824.6395,8
"785","1 . 3",7,14,172748.3908,8
"786","1 . 3",8,14,172824.6395,8
"787","1 . 3",7,14,172748.3908,8
"788","1 . 3",8,14,172824.6395,8
"789","1 . 3",7,14,172748.3908,8
"790","1 . 3",8,14,172824.6395,8
"791","1 . 3",7,14,172748.3908,8
"792","1 . 3",8,14,172824.6395,8
"793","1 . 3",7,14,172748.3908,8
"794","1 . 3",8,14,172824.6395,8
"795","1 . 3",7,14,172748.3908,8
"796","1 . 3",8,14,172824.6395,8
"797","1 . 3",7,14,172748.3908,8
"798","1 . 3",8,14,172824.6395,8
"799","1 . 3",7,14,172748.3908,8
"800","1 . 3",8,14,172824.6395,8
"801","1 . 3",7,14,172748.3908,8
"802","1 . 3",8,14,172824.6395,8
"803","1 . 3",7,14,172748.3908,8
"804","1 . 3",8,14,172824.6395,8
"805","1 . 3",7,14,172748.3908,8
"806","1 . 3",8,14,172824.6395,8
"807","1 . 3",7,14,172748.3908,8
"808","1 . 3",8,14,172824.6395,8
"809","1 . 3",7,14,172748.3908,8
"810","1 . 3",8,14,172824.6395,8
"811","1 . 3",7,14,172748.3908,8
"812","1 . 3",8,14,172824.6395,8
"813","1 . 3",7,14,172748.3908,8
"814","1 . 3",8,14,172824.6395,8
"815","1 . 3",7,14,172748.3908,8
"816","1 . 3",8,14,172824.6395,8
"817","1 . 3",7,14,172748.3908,8
"818","1 . 3",8,14,172824.6395,8
"819","1 . 4",3,4,67.363151,16
"820","1 . 4",5,6,95.95512,11
"821","1 . 4",5,7,116498.0882,9
"822","1 . 4",5,11,200279.0495,7
"823","1 . 4",6,7,116448.0545,13
"824","1 . 4",6,8,116423.1775,12
"825","1 . 4",6,10,173890.0276,12
"826","1 . 4",6,11,200252.1231,12
"827","1 . 4",6,12,200269.4864,11
"828","1 . 4",7,8,95.901643,9
"829","1 . 4",7,10,57507.0912,9
"830","1 . 4",7,11,92943.79946,10
"831","1 . 4",7,12,92982.62174,10
"832","1 . 4",8,10,57537.41864,7
"833","1 . 4",8,12,93055.34728,8
"834","1 . 4",10,12,52699.21787,7
"835","1 . 4",11,12,70.701802,8
"836","1 . 4",3,4,67.363151,16
"837","1 . 4",5,6,95.95512,11
"838","1 . 4",5,7,116498.0882,9
"839","1 . 4",5,11,200279.0495,7
"840","1 . 4",6,7,116448.0545,13
"841","1 . 4",6,8,116423.1775,12
"842","1 . 4",6,10,173890.0276,12
"843","1 . 4",6,11,200252.1231,12
"844","1 . 4",6,12,200269.4864,11
"845","1 . 4",7,8,95.901643,9
"846","1 . 4",7,10,57507.0912,9
"847","1 . 4",7,11,92943.79946,10
"848","1 . 4",7,12,92982.62174,10
"849","1 . 4",8,10,57537.41864,7
"850","1 . 4",8,12,93055.34728,8
"851","1 . 4",10,12,52699.21787,7
"852","1 . 4",11,12,70.701802,8
"853","1 . 4",3,4,67.363151,16
"854","1 . 4",5,6,95.95512,11
"855","1 . 4",5,7,116498.0882,9
"856","1 . 4",5,11,200279.0495,7
"857","1 . 4",6,7,116448.0545,13
"858","1 . 4",6,8,116423.1775,12
"859","1 . 4",6,10,173890.0276,12
"860","1 . 4",6,11,200252.1231,12
"861","1 . 4",6,12,200269.4864,11
"862","1 . 4",7,8,95.901643,9
"863","1 . 4",7,10,57507.0912,9
"864","1 . 4",7,11,92943.79946,10
"865","1 . 4",7,12,92982.62174,10
"866","1 . 4",8,10,57537.41864,7
"867","1 . 4",8,12,93055.34728,8
"868","1 . 4",10,12,52699.21787,7
"869","1 . 4",11,12,70.701802,8
"870","1 . 4",3,4,67.363151,16
"871","1 . 4",5,6,95.95512,11
"872","1 . 4",5,7,116498.0882,9
"873","1 . 4",5,11,200279.0495,7
"874","1 . 4",6,7,116448.0545,13
"875","1 . 4",6,8,116423.1775,12
"876","1 . 4",6,10,173890.0276,12
"877","1 . 4",6,11,200252.1231,12
"878","1 . 4",6,12,200269.4864,11
"879","1 . 4",7,8,95.901643,9
"880","1 . 4",7,10,57507.0912,9
"881","1 . 4",7,11,92943.79946,10
"882","1 . 4",7,12,92982.62174,10
"883","1 . 4",8,10,57537.41864,7
"884","1 . 4",8,12,93055.34728,8
"885","1 . 4",10,12,52699.21787,7
"886","1 . 4",11,12,70.701802,8
"887","1 . 4",3,4,67.363151,16
"888","1 . 4",5,6,95.95512,11
"889","1 . 4",5,7,116498.0882,9
"890","1 . 4",5,11,200279.0495,7
"891","1 . 4",6,7,116448.0545,13
"892","1 . 4",6,8,116423.1775,12
"893","1 . 4",6,10,173890.0276,12
"894","1 . 4",6,11,200252.1231,12
"895","1 . 4",6,12,200269.4864,11
"896","1 . 4",7,8,95.901643,9
"897","1 . 4",7,10,57507.0912,9
"898","1 . 4",7,11,92943.79946,10
"899","1 . 4",7,12,92982.62174,10
"900","1 . 4",8,10,57537.41864,7
"901","1 . 4",8,12,93055.34728,8
"902","1 . 4",10,12,52699.21787,7
"903","1 . 4",11,12,70.701802,8
"904","1 . 4",3,4,67.363151,16
"905","1 . 4",5,6,95.95512,11
"906","1 . 4",5,7,116498.0882,9
"907","1 . 4",5,11,200279.0495,7
"908","1 . 4",6,7,116448.0545,13
"909","1 . 4",6,8,116423.1775,12
"910","1 . 4",6,10,173890.0276,12
"911","1 . 4",6,11,200252.1231,12
"912","1 . 4",6,12,200269.4864,11
"913","1 . 4",7,8,95.901643,9
"914","1 . 4",7,10,57507.0912,9
"915","1 . 4",7,11,92943.79946,10
"916","1 . 4",7,12,92982.62174,10
"917","1 . 4",8,10,57537.41864,7
"918","1 . 4",8,12,93055.34728,8
"919","1 . 4",10,12,52699.21787,7
"920","1 . 4",11,12,70.701802,8
"921","1 . 4",3,4,67.363151,16
"922","1 . 4",5,6,95.95512,11
"923","1 . 4",5,7,116498.0882,9
"924","1 . 4",5,11,200279.0495,7
"925","1 . 4",6,7,116448.0545,13
"926","1 . 4",6,8,116423.1775,12
"927","1 . 4",6,10,173890.0276,12
"928","1 . 4",6,11,200252.1231,12
"929","1 . 4",6,12,200269.4864,11
"930","1 . 4",7,8,95.901643,9
"931","1 . 4",7,10,57507.0912,9
"932","1 . 4",7,11,92943.79946,10
"933","1 . 4",7,12,92982.62174,10
"934","1 . 4",8,10,57537.41864,7
"935","1 . 4",8,12,93055.34728,8
"936","1 . 4",10,12,52699.21787,7
"937","1 . 4",11,12,70.701802,8
"938","1 . 4",3,4,67.363151,16
"939","1 . 4",5,6,95.95512,11
"940","1 . 4",5,7,116498.0882,9
"941","1 . 4",5,11,200279.0495,7
"942","1 . 4",6,7,116448.0545,13
"943","1 . 4",6,8,116423.1775,12
"944","1 . 4",6,10,173890.0276,12
"945","1 . 4",6,11,200252.1231,12
"946","1 . 4",6,12,200269.4864,11
"947","1 . 4",7,8,95.901643,9
"948","1 . 4",7,10,57507.0912,9
"949","1 . 4",7,11,92943.79946,10
"950","1 . 4",7,12,92982.62174,10
"951","1 . 4",8,10,57537.41864,7
"952","1 . 4",8,12,93055.34728,8
"953","1 . 4",10,12,52699.21787,7
"954","1 . 4",11,12,70.701802,8
"955","1 . 4",3,4,67.363151,16
"956","1 . 4",5,6,95.95512,11
"957","1 . 4",5,7,116498.0882,9
"958","1 . 4",5,11,200279.0495,7
"959","1 . 4",6,7,116448.0545,13
"960","1 . 4",6,8,116423.1775,12
"961","1 . 4",6,10,173890.0276,12
"962","1 . 4",6,11,200252.1231,12
"963","1 . 4",6,12,200269.4864,11
"964","1 . 4",7,8,95.901643,9
"965","1 . 4",7,10,57507.0912,9
"966","1 . 4",7,11,92943.79946,10
"967","1 . 4",7,12,92982.62174,10
"968","1 . 4",8,10,57537.41864,7
"969","1 . 4",8,12,93055.34728,8
"970","1 . 4",10,12,52699.21787,7
"971","1 . 4",11,12,70.701802,8
"972","1 . 4",3,4,67.363151,16
"973","1 . 4",5,6,95.95512,11
"974","1 . 4",5,7,116498.0882,9
"975","1 . 4",5,11,200279.0495,7
"976","1 . 4",6,7,116448.0545,13
"977","1 . 4",6,8,116423.1775,12
"978","1 . 4",6,10,173890.0276,12
"979","1 . 4",6,11,200252.1231,12
"980","1 . 4",6,12,200269.4864,11
"981","1 . 4",7,8,95.901643,9
"982","1 . 4",7,10,57507.0912,9
"983","1 . 4",7,11,92943.79946,10
"984","1 . 4",7,12,92982.62174,10
"985","1 . 4",8,10,57537.41864,7
"986","1 . 4",8,12,93055.34728,8
"987","1 . 4",10,12,52699.21787,7
"988","1 . 4",11,12,70.701802,8
"989","1 . 4",3,4,67.363151,16
"990","1 . 4",5,6,95.95512,11
"991","1 . 4",5,7,116498.0882,9
"992","1 . 4",5,11,200279.0495,7
"993","1 . 4",6,7,116448.0545,13
"994","1 . 4",6,8,116423.1775,12
"995","1 . 4",6,10,173890.0276,12
"996","1 . 4",6,11,200252.1231,12
"997","1 . 4",6,12,200269.4864,11
"998","1 . 4",7,8,95.901643,9
"999","1 . 4",7,10,57507.0912,9
"1000","1 . 4",7,11,92943.79946,10
"1001","1 . 4",7,12,92982.62174,10
"1002","1 . 4",8,10,57537.41864,7
"1003","1 . 4",8,12,93055.34728,8
"1004","1 . 4",10,12,52699.21787,7
"1005","1 . 4",11,12,70.701802,8
"1006","1 . 4",3,4,67.363151,16
"1007","1 . 4",5,6,95.95512,11
"1008","1 . 4",5,7,116498.0882,9
"1009","1 . 4",5,11,200279.0495,7
"1010","1 . 4",6,7,116448.0545,13
"1011","1 . 4",6,8,116423.1775,12
"1012","1 . 4",6,10,173890.0276,12
"1013","1 . 4",6,11,200252.1231,12
"1014","1 . 4",6,12,200269.4864,11
"1015","1 . 4",7,8,95.901643,9
"1016","1 . 4",7,10,57507.0912,9
"1017","1 . 4",7,11,92943.79946,10
"1018","1 . 4",7,12,92982.62174,10
"1019","1 . 4",8,10,57537.41864,7
"1020","1 . 4",8,12,93055.34728,8
"1021","1 . 4",10,12,52699.21787,7
"1022","1 . 4",11,12,70.701802,8
"1023","1 . 4",3,4,67.363151,16
"1024","1 . 4",5,6,95.95512,11
"1025","1 . 4",5,7,116498.0882,9
"1026","1 . 4",5,11,200279.0495,7
"1027","1 . 4",6,7,116448.0545,13
"1028","1 . 4",6,8,116423.1775,12
"1029","1 . 4",6,10,173890.0276,12
"1030","1 . 4",6,11,200252.1231,12
"1031","1 . 4",6,12,200269.4864,11
"1032","1 . 4",7,8,95.901643,9
"1033","1 . 4",7,10,57507.0912,9
"1034","1 . 4",7,11,92943.79946,10
"1035","1 . 4",7,12,92982.62174,10
"1036","1 . 4",8,10,57537.41864,7
"1037","1 . 4",8,12,93055.34728,8
"1038","1 . 4",10,12,52699.21787,7
"1039","1 . 4",11,12,70.701802,8
"1040","1 . 4",3,4,67.363151,16
"1041","1 . 4",5,6,95.95512,11
"1042","1 . 4",5,7,116498.0882,9
"1043","1 . 4",5,11,200279.0495,7
"1044","1 . 4",6,7,116448.0545,13
"1045","1 . 4",6,8,116423.1775,12
"1046","1 . 4",6,10,173890.0276,12
"1047","1 . 4",6,11,200252.1231,12
"1048","1 . 4",6,12,200269.4864,11
"1049","1 . 4",7,8,95.901643,9
"1050","1 . 4",7,10,57507.0912,9
"1051","1 . 4",7,11,92943.79946,10
"1052","1 . 4",7,12,92982.62174,10
"1053","1 . 4",8,10,57537.41864,7
"1054","1 . 4",8,12,93055.34728,8
"1055","1 . 4",10,12,52699.21787,7
"1056","1 . 4",11,12,70.701802,8
"1057","1 . 4",3,4,67.363151,16
"1058","1 . 4",5,6,95.95512,11
"1059","1 . 4",5,7,116498.0882,9
"1060","1 . 4",5,11,200279.0495,7
"1061","1 . 4",6,7,116448.0545,13
"1062","1 . 4",6,8,116423.1775,12
"1063","1 . 4",6,10,173890.0276,12
"1064","1 . 4",6,11,200252.1231,12
"1065","1 . 4",6,12,200269.4864,11
"1066","1 . 4",7,8,95.901643,9
"1067","1 . 4",7,10,57507.0912,9
"1068","1 . 4",7,11,92943.79946,10
"1069","1 . 4",7,12,92982.62174,10
"1070","1 . 4",8,10,57537.41864,7
"1071","1 . 4",8,12,93055.34728,8
"1072","1 . 4",10,12,52699.21787,7
"1073","1 . 4",11,12,70.701802,8
"1074","1 . 4",3,4,67.363151,16
"1075","1 . 4",5,6,95.95512,11
"1076","1 . 4",5,7,116498.0882,9
"1077","1 . 4",5,11,200279.0495,7
"1078","1 . 4",6,7,116448.0545,13
"1079","1 . 4",6,8,116423.1775,12
"1080","1 . 4",6,10,173890.0276,12
"1081","1 . 4",6,11,200252.1231,12
"1082","1 . 4",6,12,200269.4864,11
"1083","1 . 4",7,8,95.901643,9
"1084","1 . 4",7,10,57507.0912,9
"1085","1 . 4",7,11,92943.79946,10
"1086","1 . 4",7,12,92982.62174,10
"1087","1 . 4",8,10,57537.41864,7
"1088","1 . 4",8,12,93055.34728,8
"1089","1 . 4",10,12,52699.21787,7
"1090","1 . 4",11,12,70.701802,8
"1091","1 . 4",3,4,67.363151,16
"1092","1 . 4",5,6,95.95512,11
"1093","1 . 4",5,7,116498.0882,9
"1094","1 . 4",5,11,200279.0495,7
"1095","1 . 4",6,7,116448.0545,13
"1096","1 . 4",6,8,116423.1775,12
"1097","1 . 4",6,10,173890.0276,12
"1098","1 . 4",6,11,200252.1231,12
"1099","1 . 4",6,12,200269.4864,11
"1100","1 . 4",7,8,95.901643,9
"1101","1 . 4",7,10,57507.0912,9
"1102","1 . 4",7,11,92943.79946,10
"1103","1 . 4",7,12,92982.62174,10
"1104","1 . 4",8,10,57537.41864,7
"1105","1 . 4",8,12,93055.34728,8
"1106","1 . 4",10,12,52699.21787,7
"1107","1 . 4",11,12,70.701802,8
"1108","1 . 4",3,4,67.363151,16
"1109","1 . 4",5,6,95.95512,11
"1110","1 . 4",5,7,116498.0882,9
"1111","1 . 4",5,11,200279.0495,7
"1112","1 . 4",6,7,116448.0545,13
"1113","1 . 4",6,8,116423.1775,12
"1114","1 . 4",6,10,173890.0276,12
"1115","1 . 4",6,11,200252.1231,12
"1116","1 . 4",6,12,200269.4864,11
"1117","1 . 4",7,8,95.901643,9
"1118","1 . 4",7,10,57507.0912,9
"1119","1 . 4",7,11,92943.79946,10
"1120","1 . 4",7,12,92982.62174,10
"1121","1 . 4",8,10,57537.41864,7
"1122","1 . 4",8,12,93055.34728,8
"1123","1 . 4",10,12,52699.21787,7
"1124","1 . 4",11,12,70.701802,8
"1125","1 . 4",3,4,67.363151,16
"1126","1 . 4",5,6,95.95512,11
"1127","1 . 4",5,7,116498.0882,9
"1128","1 . 4",5,11,200279.0495,7
"1129","1 . 4",6,7,116448.0545,13
"1130","1 . 4",6,8,116423.1775,12
"1131","1 . 4",6,10,173890.0276,12
"1132","1 . 4",6,11,200252.1231,12
"1133","1 . 4",6,12,200269.4864,11
"1134","1 . 4",7,8,95.901643,9
"1135","1 . 4",7,10,57507.0912,9
"1136","1 . 4",7,11,92943.79946,10
"1137","1 . 4",7,12,92982.62174,10
"1138","1 . 4",8,10,57537.41864,7
"1139","1 . 4",8,12,93055.34728,8
"1140","1 . 4",10,12,52699.21787,7
"1141","1 . 4",11,12,70.701802,8
"1142","1 . 4",3,4,67.363151,16
"1143","1 . 4",5,6,95.95512,11
"1144","1 . 4",5,7,116498.0882,9
"1145","1 . 4",5,11,200279.0495,7
"1146","1 . 4",6,7,116448.0545,13
"1147","1 . 4",6,8,116423.1775,12
"1148","1 . 4",6,10,173890.0276,12
"1149","1 . 4",6,11,200252.1231,12
"1150","1 . 4",6,12,200269.4864,11
"1151","1 . 4",7,8,95.901643,9
"1152","1 . 4",7,10,57507.0912,9
"1153","1 . 4",7,11,92943.79946,10
"1154","1 . 4",7,12,92982.62174,10
"1155","1 . 4",8,10,57537.41864,7
"1156","1 . 4",8,12,93055.34728,8
"1157","1 . 4",10,12,52699.21787,7
"1158","1 . 4",11,12,70.701802,8
"1159","1 . 4",3,4,67.363151,16
"1160","1 . 4",5,6,95.95512,11
"1161","1 . 4",5,7,116498.0882,9
"1162","1 . 4",5,11,200279.0495,7
"1163","1 . 4",6,7,116448.0545,13
"1164","1 . 4",6,8,116423.1775,12
"1165","1 . 4",6,10,173890.0276,12
"1166","1 . 4",6,11,200252.1231,12
"1167","1 . 4",6,12,200269.4864,11
"1168","1 . 4",7,8,95.901643,9
"1169","1 . 4",7,10,57507.0912,9
"1170","1 . 4",7,11,92943.79946,10
"1171","1 . 4",7,12,92982.62174,10
"1172","1 . 4",8,10,57537.41864,7
"1173","1 . 4",8,12,93055.34728,8
"1174","1 . 4",10,12,52699.21787,7
"1175","1 . 4",11,12,70.701802,8
"1176","1 . 4",3,4,67.363151,16
"1177","1 . 4",5,6,95.95512,11
"1178","1 . 4",5,7,116498.0882,9
"1179","1 . 4",5,11,200279.0495,7
"1180","1 . 4",6,7,116448.0545,13
"1181","1 . 4",6,8,116423.1775,12
"1182","1 . 4",6,10,173890.0276,12
"1183","1 . 4",6,11,200252.1231,12
"1184","1 . 4",6,12,200269.4864,11
"1185","1 . 4",7,8,95.901643,9
"1186","1 . 4",7,10,57507.0912,9
"1187","1 . 4",7,11,92943.79946,10
"1188","1 . 4",7,12,92982.62174,10
"1189","1 . 4",8,10,57537.41864,7
"1190","1 . 4",8,12,93055.34728,8
"1191","1 . 4",10,12,52699.21787,7
"1192","1 . 4",11,12,70.701802,8
"1193","1 . 4",3,4,67.363151,16
"1194","1 . 4",5,6,95.95512,11
"1195","1 . 4",5,7,116498.0882,9
"1196","1 . 4",5,11,200279.0495,7
"1197","1 . 4",6,7,116448.0545,13
"1198","1 . 4",6,8,116423.1775,12
"1199","1 . 4",6,10,173890.0276,12
"1200","1 . 4",6,11,200252.1231,12
"1201","1 . 4",6,12,200269.4864,11
"1202","1 . 4",7,8,95.901643,9
"1203","1 . 4",7,10,57507.0912,9
"1204","1 . 4",7,11,92943.79946,10
"1205","1 . 4",7,12,92982.62174,10
"1206","1 . 4",8,10,57537.41864,7
"1207","1 . 4",8,12,93055.34728,8
"1208","1 . 4",10,12,52699.21787,7
"1209","1 . 4",11,12,70.701802,8
"1210","1 . 4",3,4,67.363151,16
"1211","1 . 4",5,6,95.95512,11
"1212","1 . 4",5,7,116498.0882,9
"1213","1 . 4",5,11,200279.0495,7
"1214","1 . 4",6,7,116448.0545,13
"1215","1 . 4",6,8,116423.1775,12
"1216","1 . 4",6,10,173890.0276,12
"1217","1 . 4",6,11,200252.1231,12
"1218","1 . 4",6,12,200269.4864,11
"1219","1 . 4",7,8,95.901643,9
"1220","1 . 4",7,10,57507.0912,9
"1221","1 . 4",7,11,92943.79946,10
"1222","1 . 4",7,12,92982.62174,10
"1223","1 . 4",8,10,57537.41864,7
"1224","1 . 4",8,12,93055.34728,8
"1225","1 . 4",10,12,52699.21787,7
"1226","1 . 4",11,12,70.701802,8
"1227","1 . 4",3,4,67.363151,16
"1228","1 . 4",5,6,95.95512,11
"1229","1 . 4",5,7,116498.0882,9
"1230","1 . 4",5,11,200279.0495,7
"1231","1 . 4",6,7,116448.0545,13
"1232","1 . 4",6,8,116423.1775,12
"1233","1 . 4",6,10,173890.0276,12
"1234","1 . 4",6,11,200252.1231,12
"1235","1 . 4",6,12,200269.4864,11
"1236","1 . 4",7,8,95.901643,9
"1237","1 . 4",7,10,57507.0912,9
"1238","1 . 4",7,11,92943.79946,10
"1239","1 . 4",7,12,92982.62174,10
"1240","1 . 4",8,10,57537.41864,7
"1241","1 . 4",8,12,93055.34728,8
"1242","1 . 4",10,12,52699.21787,7
"1243","1 . 4",11,12,70.701802,8
"1244","1 . 4",3,4,67.363151,16
"1245","1 . 4",5,6,95.95512,11
"1246","1 . 4",5,7,116498.0882,9
"1247","1 . 4",5,11,200279.0495,7
"1248","1 . 4",6,7,116448.0545,13
"1249","1 . 4",6,8,116423.1775,12
"1250","1 . 4",6,10,173890.0276,12
"1251","1 . 4",6,11,200252.1231,12
"1252","1 . 4",6,12,200269.4864,11
"1253","1 . 4",7,8,95.901643,9
"1254","1 . 4",7,10,57507.0912,9
"1255","1 . 4",7,11,92943.79946,10
"1256","1 . 4",7,12,92982.62174,10
"1257","1 . 4",8,10,57537.41864,7
"1258","1 . 4",8,12,93055.34728,8
"1259","1 . 4",10,12,52699.21787,7
"1260","1 . 4",11,12,70.701802,8
"1261","1 . 4",3,4,67.363151,16
"1262","1 . 4",5,6,95.95512,11
"1263","1 . 4",5,7,116498.0882,9
"1264","1 . 4",5,11,200279.0495,7
"1265","1 . 4",6,7,116448.0545,13
"1266","1 . 4",6,8,116423.1775,12
"1267","1 . 4",6,10,173890.0276,12
"1268","1 . 4",6,11,200252.1231,12
"1269","1 . 4",6,12,200269.4864,11
"1270","1 . 4",7,8,95.901643,9
"1271","1 . 4",7,10,57507.0912,9
"1272","1 . 4",7,11,92943.79946,10
"1273","1 . 4",7,12,92982.62174,10
"1274","1 . 4",8,10,57537.41864,7
"1275","1 . 4",8,12,93055.34728,8
"1276","1 . 4",10,12,52699.21787,7
"1277","1 . 4",11,12,70.701802,8
"1278","1 . 4",3,4,67.363151,16
"1279","1 . 4",5,6,95.95512,11
"1280","1 . 4",5,7,116498.0882,9
"1281","1 . 4",5,11,200279.0495,7
"1282","1 . 4",6,7,116448.0545,13
"1283","1 . 4",6,8,116423.1775,12
"1284","1 . 4",6,10,173890.0276,12
"1285","1 . 4",6,11,200252.1231,12
"1286","1 . 4",6,12,200269.4864,11
"1287","1 . 4",7,8,95.901643,9
"1288","1 . 4",7,10,57507.0912,9
"1289","1 . 4",7,11,92943.79946,10
"1290","1 . 4",7,12,92982.62174,10
"1291","1 . 4",8,10,57537.41864,7
"1292","1 . 4",8,12,93055.34728,8
"1293","1 . 4",10,12,52699.21787,7
"1294","1 . 4",11,12,70.701802,8
"1295","1 . 4",3,4,67.363151,16
"1296","1 . 4",5,6,95.95512,11
"1297","1 . 4",5,7,116498.0882,9
"1298","1 . 4",5,11,200279.0495,7
"1299","1 . 4",6,7,116448.0545,13
"1300","1 . 4",6,8,116423.1775,12
"1301","1 . 4",6,10,173890.0276,12
"1302","1 . 4",6,11,200252.1231,12
"1303","1 . 4",6,12,200269.4864,11
"1304","1 . 4",7,8,95.901643,9
"1305","1 . 4",7,10,57507.0912,9
"1306","1 . 4",7,11,92943.79946,10
"1307","1 . 4",7,12,92982.62174,10
"1308","1 . 4",8,10,57537.41864,7
"1309","1 . 4",8,12,93055.34728,8
"1310","1 . 4",10,12,52699.21787,7
"1311","1 . 4",11,12,70.701802,8
"1312","1 . 4",3,4,67.363151,16
"1313","1 . 4",5,6,95.95512,11
"1314","1 . 4",5,7,116498.0882,9
"1315","1 . 4",5,11,200279.0495,7
"1316","1 . 4",6,7,116448.0545,13
"1317","1 . 4",6,8,116423.1775,12
"1318","1 . 4",6,10,173890.0276,12
"1319","1 . 4",6,11,200252.1231,12
"1320","1 . 4",6,12,200269.4864,11
"1321","1 . 4",7,8,95.901643,9
"1322","1 . 4",7,10,57507.0912,9
"1323","1 . 4",7,11,92943.79946,10
"1324","1 . 4",7,12,92982.62174,10
"1325","1 . 4",8,10,57537.41864,7
"1326","1 . 4",8,12,93055.34728,8
"1327","1 . 4",10,12,52699.21787,7
"1328","1 . 4",11,12,70.701802,8
"1329","1 . 4",3,4,67.363151,16
"1330","1 . 4",5,6,95.95512,11
"1331","1 . 4",5,7,116498.0882,9
"1332","1 . 4",5,11,200279.0495,7
"1333","1 . 4",6,7,116448.0545,13
