"","module_sub_module","layer_from","layer_to","distance","num_of_species"
"198","1 . 1",7,12,92982.62174,7
"199","1 . 1",8,10,57537.41864,13
"200","1 . 1",10,14,129338.2219,19
"201","1 . 1",11,12,70.701802,8
"202","1 . 1",11,14,80155.97026,20
"203","1 . 1",13,14,93.399466,22
"204","1 . 1",7,11,92943.79946,9
"205","1 . 1",7,12,92982.62174,7
"206","1 . 1",8,10,57537.41864,13
"207","1 . 1",10,14,129338.2219,19
"208","1 . 1",11,12,70.701802,8
"209","1 . 1",11,14,80155.97026,20
"210","1 . 1",13,14,93.399466,22
"211","1 . 1",7,11,92943.79946,9
"212","1 . 1",7,12,92982.62174,7
"213","1 . 1",8,10,57537.41864,13
"214","1 . 1",10,14,129338.2219,19
"215","1 . 1",11,12,70.701802,8
"216","1 . 1",11,14,80155.97026,20
"217","1 . 1",13,14,93.399466,22
"218","1 . 1",7,11,92943.79946,9
"219","1 . 1",7,12,92982.62174,7
"220","1 . 1",8,10,57537.41864,13
"221","1 . 1",10,14,129338.2219,19
"222","1 . 1",11,12,70.701802,8
"223","1 . 1",11,14,80155.97026,20
"224","1 . 1",13,14,93.399466,22
"225","1 . 1",7,11,92943.79946,9
"226","1 . 1",7,12,92982.62174,7
"227","1 . 1",8,10,57537.41864,13
"228","1 . 1",10,14,129338.2219,19
"229","1 . 1",11,12,70.701802,8
"230","1 . 1",11,14,80155.97026,20
"231","1 . 1",13,14,93.399466,22
"232","1 . 1",7,11,92943.79946,9
"233","1 . 1",7,12,92982.62174,7
"234","1 . 1",8,10,57537.41864,13
"235","1 . 1",10,14,129338.2219,19
"236","1 . 1",11,12,70.701802,8
"237","1 . 1",11,14,80155.97026,20
"238","1 . 1",13,14,93.399466,22
"239","1 . 1",7,11,92943.79946,9
"240","1 . 1",7,12,92982.62174,7
"241","1 . 1",8,10,57537.41864,13
"242","1 . 1",10,14,129338.2219,19
"243","1 . 1",11,12,70.701802,8
"244","1 . 1",11,14,80155.97026,20
"245","1 . 1",13,14,93.399466,22
"246","1 . 1",7,11,92943.79946,9
"247","1 . 1",7,12,92982.62174,7
"248","1 . 1",8,10,57537.41864,13
"249","1 . 1",10,14,129338.2219,19
"250","1 . 1",11,12,70.701802,8
"251","1 . 1",11,14,80155.97026,20
"252","1 . 1",13,14,93.399466,22
"253","1 . 1",7,11,92943.79946,9
"254","1 . 1",7,12,92982.62174,7
"255","1 . 1",8,10,57537.41864,13
"256","1 . 1",10,14,129338.2219,19
"257","1 . 1",11,12,70.701802,8
"258","1 . 1",11,14,80155.97026,20
"259","1 . 1",13,14,93.399466,22
"260","1 . 1",7,11,92943.79946,9
"261","1 . 1",7,12,92982.62174,7
"262","1 . 1",8,10,57537.41864,13
"263","1 . 1",10,14,129338.2219,19
"264","1 . 1",11,12,70.701802,8
"265","1 . 1",11,14,80155.97026,20
"266","1 . 1",13,14,93.399466,22
"267","1 . 1",7,11,92943.79946,9
"268","1 . 1",7,12,92982.62174,7
"269","1 . 1",8,10,57537.41864,13
"270","1 . 1",10,14,129338.2219,19
"271","1 . 1",11,12,70.701802,8
"272","1 . 1",11,14,80155.97026,20
"273","1 . 1",13,14,93.399466,22
"274","1 . 1",7,11,92943.79946,9
"275","1 . 1",7,12,92982.62174,7
"276","1 . 1",8,10,57537.41864,13
"277","1 . 1",10,14,129338.2219,19
"278","1 . 1",11,12,70.701802,8
"279","1 . 1",11,14,80155.97026,20
"280","1 . 1",13,14,93.399466,22
"281","1 . 1",7,11,92943.79946,9
"282","1 . 1",7,12,92982.62174,7
"283","1 . 1",8,10,57537.41864,13
"284","1 . 1",10,14,129338.2219,19
"285","1 . 1",11,12,70.701802,8
"286","1 . 1",11,14,80155.97026,20
"287","1 . 1",13,14,93.399466,22
"288","1 . 1",7,11,92943.79946,9
"289","1 . 1",7,12,92982.62174,7
"290","1 . 1",8,10,57537.41864,13
"291","1 . 1",10,14,129338.2219,19
"292","1 . 1",11,12,70.701802,8
"293","1 . 1",11,14,80155.97026,20
"294","1 . 1",13,14,93.399466,22
"295","1 . 1",7,11,92943.79946,9
"296","1 . 1",7,12,92982.62174,7
"297","1 . 1",8,10,57537.41864,13
"298","1 . 1",10,14,129338.2219,19
"299","1 . 1",11,12,70.701802,8
"300","1 . 1",11,14,80155.97026,20
"301","1 . 1",13,14,93.399466,22
"302","1 . 1",7,11,92943.79946,9
"303","1 . 1",7,12,92982.62174,7
"304","1 . 1",8,10,57537.41864,13
"305","1 . 1",10,14,129338.2219,19
"306","1 . 1",11,12,70.701802,8
"307","1 . 1",11,14,80155.97026,20
"308","1 . 1",13,14,93.399466,22
"309","1 . 1",7,11,92943.79946,9
"310","1 . 1",7,12,92982.62174,7
"311","1 . 1",8,10,57537.41864,13
"312","1 . 1",10,14,129338.2219,19
"313","1 . 1",11,12,70.701802,8
"314","1 . 1",11,14,80155.97026,20
"315","1 . 1",13,14,93.399466,22
"316","1 . 1",7,11,92943.79946,9
"317","1 . 1",7,12,92982.62174,7
"318","1 . 1",8,10,57537.41864,13
"319","1 . 1",10,14,129338.2219,19
"320","1 . 1",11,12,70.701802,8
"321","1 . 1",11,14,80155.97026,20
"322","1 . 1",13,14,93.399466,22
"323","1 . 1",7,11,92943.79946,9
"324","1 . 1",7,12,92982.62174,7
"325","1 . 1",8,10,57537.41864,13
"326","1 . 1",10,14,129338.2219,19
"327","1 . 1",11,12,70.701802,8
"328","1 . 1",11,14,80155.97026,20
"329","1 . 1",13,14,93.399466,22
"330","1 . 1",7,11,92943.79946,9
"331","1 . 1",7,12,92982.62174,7
"332","1 . 1",8,10,57537.41864,13
"333","1 . 1",10,14,129338.2219,19
"334","1 . 1",11,12,70.701802,8
"335","1 . 1",11,14,80155.97026,20
"336","1 . 1",13,14,93.399466,22
"337","1 . 1",7,11,92943.79946,9
"338","1 . 1",7,12,92982.62174,7
"339","1 . 1",8,10,57537.41864,13
"340","1 . 1",10,14,129338.2219,19
"341","1 . 1",11,12,70.701802,8
"342","1 . 1",11,14,80155.97026,20
"343","1 . 1",13,14,93.399466,22
"344","1 . 1",7,11,92943.79946,9
"345","1 . 1",7,12,92982.62174,7
"346","1 . 1",8,10,57537.41864,13
"347","1 . 1",10,14,129338.2219,19
"348","1 . 1",11,12,70.701802,8
"349","1 . 1",11,14,80155.97026,20
"350","1 . 1",13,14,93.399466,22
"351","1 . 1",7,11,92943.79946,9
"352","1 . 1",7,12,92982.62174,7
"353","1 . 1",8,10,57537.41864,13
"354","1 . 1",10,14,129338.2219,19
"355","1 . 1",11,12,70.701802,8
"356","1 . 1",11,14,80155.97026,20
"357","1 . 1",13,14,93.399466,22
"358","1 . 1",7,11,92943.79946,9
"359","1 . 1",7,12,92982.62174,7
"360","1 . 1",8,10,57537.41864,13
"361","1 . 1",10,14,129338.2219,19
"362","1 . 1",11,12,70.701802,8
"363","1 . 1",11,14,80155.97026,20
"364","1 . 1",13,14,93.399466,22
"365","1 . 1",7,11,92943.79946,9
"366","1 . 1",7,12,92982.62174,7
"367","1 . 1",8,10,57537.41864,13
"368","1 . 1",10,14,129338.2219,19
"369","1 . 1",11,12,70.701802,8
"370","1 . 1",11,14,80155.97026,20
"371","1 . 1",13,14,93.399466,22
"372","1 . 1",7,11,92943.79946,9
"373","1 . 1",7,12,92982.62174,7
"374","1 . 1",8,10,57537.41864,13
"375","1 . 1",10,14,129338.2219,19
"376","1 . 1",11,12,70.701802,8
"377","1 . 1",11,14,80155.97026,20
"378","1 . 1",13,14,93.399466,22
"379","1 . 1",7,11,92943.79946,9
"380","1 . 1",7,12,92982.62174,7
"381","1 . 1",8,10,57537.41864,13
"382","1 . 1",10,14,129338.2219,19
"383","1 . 1",11,12,70.701802,8
"384","1 . 1",11,14,80155.97026,20
"385","1 . 1",13,14,93.399466,22
"386","1 . 11",9,10,176.725963,7
"387","1 . 11",9,10,176.725963,7
"388","1 . 11",9,10,176.725963,7
"389","1 . 11",9,10,176.725963,7
"390","1 . 11",9,10,176.725963,7
"391","1 . 11",9,10,176.725963,7
"392","1 . 11",9,10,176.725963,7
"393","1 . 11",9,10,176.725963,7
"394","1 . 11",9,10,176.725963,7
"395","1 . 11",9,10,176.725963,7
"396","1 . 11",9,10,176.725963,7
"397","1 . 11",9,10,176.725963,7
"398","1 . 11",9,10,176.725963,7
"399","1 . 11",9,10,176.725963,7
"400","1 . 11",9,10,176.725963,7
"401","1 . 11",9,10,176.725963,7
"402","1 . 11",9,10,176.725963,7
"403","1 . 11",9,10,176.725963,7
"404","1 . 11",9,10,176.725963,7
"405","1 . 11",9,10,176.725963,7
"406","1 . 11",9,10,176.725963,7
"407","1 . 11",9,10,176.725963,7
"408","1 . 11",9,10,176.725963,7
"409","1 . 11",9,10,176.725963,7
"410","1 . 11",9,10,176.725963,7
"411","1 . 11",9,10,176.725963,7
"412","1 . 11",9,10,176.725963,7
"413","1 . 11",9,10,176.725963,7
"414","1 . 2",1,2,505.679714,15
"415","1 . 2",11,12,70.701802,9
"416","1 . 2",13,14,93.399466,8
"417","1 . 2",1,2,505.679714,15
"418","1 . 2",11,12,70.701802,9
"419","1 . 2",13,14,93.399466,8
"420","1 . 2",1,2,505.679714,15
"421","1 . 2",11,12,70.701802,9
"422","1 . 2",13,14,93.399466,8
"423","1 . 2",1,2,505.679714,15
"424","1 . 2",11,12,70.701802,9
"425","1 . 2",13,14,93.399466,8
"426","1 . 2",1,2,505.679714,15
"427","1 . 2",11,12,70.701802,9
"428","1 . 2",13,14,93.399466,8
"429","1 . 2",1,2,505.679714,15
"430","1 . 2",11,12,70.701802,9
"431","1 . 2",13,14,93.399466,8
"432","1 . 2",1,2,505.679714,15
"433","1 . 2",11,12,70.701802,9
"434","1 . 2",13,14,93.399466,8
"435","1 . 2",1,2,505.679714,15
"436","1 . 2",11,12,70.701802,9
"437","1 . 2",13,14,93.399466,8
"438","1 . 2",1,2,505.679714,15
"439","1 . 2",11,12,70.701802,9
"440","1 . 2",13,14,93.399466,8
"441","1 . 2",1,2,505.679714,15
"442","1 . 2",11,12,70.701802,9
"443","1 . 2",13,14,93.399466,8
"444","1 . 2",1,2,505.679714,15
"445","1 . 2",11,12,70.701802,9
"446","1 . 2",13,14,93.399466,8
"447","1 . 2",1,2,505.679714,15
"448","1 . 2",11,12,70.701802,9
