"","fixed_interlayer_value","mutual_information","layer"
"1",0,0.587768088380451,NA
"2",0.05,0.905107259145528,NA
"3",0.1,0.968145072632937,NA
"4",0.15,0.981775826159311,NA
"5",0.2,0.984040771517619,NA
"6",0.25,0.988076006085217,NA
"7",0.3,0.99326383249097,NA
"8",0.35,0.995053916404485,NA
"9",0.4,0.990720493351891,NA
"10",0.45,0.990720493351891,NA
"11",0.5,0.988647215505012,NA
"12",0.55,0.980680669786095,NA
"13",0.6,0.978999189298457,NA
"14",0.65,0.978999189298457,NA
"15",0.7,0.978999189298457,NA
"16",0.75,0.978999189298457,NA
"17",0.8,0.981429708776334,NA
"18",0.85,0.981429708776334,NA
"19",0.9,0.98240073143297,NA
"20",0.95,0.98047371887684,NA
"21",1,0.976098775518998,NA
