"","layer","node_from","node_to","weight"
"483",8,10,136,0.0357142857142857
"484",8,10,137,0.0357142857142857
"485",8,10,170,0.0714285714285714
"486",8,10,186,0.0357142857142857
"487",8,10,187,0.0357142857142857
"488",8,10,213,0.0714285714285714
"489",8,10,217,0.107142857142857
"490",8,10,220,0.0357142857142857
"491",8,10,243,0.0357142857142857
"492",8,10,253,0.0714285714285714
"493",8,12,275,1
"494",8,13,46,0.0909090909090909
"495",8,13,92,0.272727272727273
"496",8,13,185,0.0909090909090909
"497",8,13,266,0.545454545454545
"498",8,14,60,0.0909090909090909
"499",8,14,92,0.0909090909090909
"500",8,14,217,0.272727272727273
"501",8,14,274,0.181818181818182
"502",8,14,275,0.363636363636364
"503",8,17,50,0.037037037037037
"504",8,17,92,0.037037037037037
"505",8,17,130,0.037037037037037
"506",8,17,136,0.037037037037037
"507",8,17,140,0.037037037037037
"508",8,17,165,0.111111111111111
"509",8,17,192,0.037037037037037
"510",8,17,217,0.259259259259259
"511",8,17,275,0.185185185185185
"512",8,17,279,0.111111111111111
"513",8,17,284,0.111111111111111
"514",8,23,55,0.25
"515",8,23,182,0.25
"516",8,23,195,0.25
"517",8,23,266,0.25
"518",8,26,92,1
"519",8,31,92,0.144578313253012
"520",8,31,109,0.0120481927710843
"521",8,31,110,0.0120481927710843
"522",8,31,111,0.421686746987952
"523",8,31,150,0.036144578313253
"524",8,31,170,0.168674698795181
"525",8,31,185,0.0120481927710843
"526",8,31,187,0.036144578313253
"527",8,31,217,0.0120481927710843
"528",8,31,235,0.0481927710843374
"529",8,31,238,0.0240963855421687
"530",8,31,241,0.0120481927710843
"531",8,31,243,0.0602409638554217
"532",8,37,154,0.333333333333333
"533",8,37,187,0.333333333333333
"534",8,37,274,0.333333333333333
"535",8,38,60,0.0277777777777778
"536",8,38,73,0.0277777777777778
"537",8,38,92,0.0555555555555556
"538",8,38,140,0.0277777777777778
"539",8,38,192,0.527777777777778
"540",8,38,216,0.0555555555555556
"541",8,38,266,0.0277777777777778
"542",8,38,274,0.0277777777777778
"543",8,38,275,0.222222222222222
"544",9,1,81,0.0144927536231884
"545",9,1,92,0.101449275362319
"546",9,1,126,0.072463768115942
"547",9,1,132,0.0144927536231884
"548",9,1,135,0.0144927536231884
"549",9,1,165,0.159420289855072
"550",9,1,166,0.0144927536231884
"551",9,1,181,0.0579710144927536
"552",9,1,224,0.0289855072463768
"553",9,1,227,0.0289855072463768
"554",9,1,254,0.0144927536231884
"555",9,1,274,0.130434782608696
"556",9,1,275,0.188405797101449
"557",9,1,278,0.159420289855072
"558",9,5,92,0.419354838709677
"559",9,5,181,0.290322580645161
"560",9,5,211,0.258064516129032
"561",9,5,217,0.032258064516129
"562",9,8,92,0.828571428571429
"563",9,8,141,0.0571428571428571
"564",9,8,217,0.0571428571428571
"565",9,8,260,0.0285714285714286
"566",9,8,266,0.0285714285714286
"567",9,9,50,0.2
"568",9,9,78,0.00952380952380952
"569",9,9,87,0.00952380952380952
"570",9,9,92,0.19047619047619
"571",9,9,104,0.00952380952380952
"572",9,9,120,0.00952380952380952
"573",9,9,126,0.019047619047619
"574",9,9,138,0.00952380952380952
"575",9,9,141,0.0761904761904762
"576",9,9,165,0.019047619047619
"577",9,9,217,0.019047619047619
"578",9,9,242,0.00952380952380952
"579",9,9,270,0.00952380952380952
"580",9,9,274,0.247619047619048
"581",9,9,278,0.161904761904762
"582",9,10,92,0.916666666666667
"583",9,10,126,0.0833333333333333
"584",9,12,50,0.328358208955224
"585",9,12,55,0.0149253731343284
"586",9,12,92,0.0149253731343284
"587",9,12,163,0.0298507462686567
"588",9,12,165,0.0149253731343284
"589",9,12,275,0.597014925373134
"590",9,17,126,1
"591",9,26,43,0.0625
"592",9,26,50,0.0625
"593",9,26,55,0.625
"594",9,26,92,0.0625
"595",9,26,165,0.1875
"596",9,27,92,0.333333333333333
"597",9,27,275,0.666666666666667
"598",9,29,92,1
"599",9,31,50,0.0175438596491228
"600",9,31,60,0.0175438596491228
"601",9,31,92,0.859649122807018
"602",9,31,138,0.0526315789473684
"603",9,31,152,0.0175438596491228
"604",9,31,187,0.0175438596491228
"605",9,31,242,0.0175438596491228
"606",9,35,50,0.0909090909090909
"607",9,35,78,0.0909090909090909
"608",9,35,92,0.636363636363636
"609",9,35,175,0.0909090909090909
"610",9,35,242,0.0909090909090909
"611",9,38,50,0.230769230769231
"612",9,38,92,0.461538461538462
"613",9,38,165,0.153846153846154
"614",9,38,166,0.0769230769230769
"615",9,38,167,0.0769230769230769
"616",10,1,60,0.015625
"617",10,1,92,0.125
"618",10,1,126,0.046875
"619",10,1,137,0.015625
"620",10,1,165,0.0625
"621",10,1,190,0.015625
"622",10,1,241,0.015625
"623",10,1,254,0.046875
"624",10,1,274,0.046875
"625",10,1,275,0.03125
"626",10,1,278,0.578125
"627",10,4,139,1
"628",10,5,50,0.19047619047619
"629",10,5,92,0.285714285714286
"630",10,5,138,0.0476190476190476
"631",10,5,181,0.238095238095238
"632",10,5,211,0.19047619047619
"633",10,5,254,0.0476190476190476
"634",10,6,92,0.25
"635",10,6,276,0.25
"636",10,6,278,0.5
"637",10,8,92,0.324324324324324
"638",10,8,96,0.0135135135135135
"639",10,8,102,0.0135135135135135
"640",10,8,138,0.0135135135135135
"641",10,8,178,0.0405405405405405
"642",10,8,217,0.472972972972973
"643",10,8,218,0.027027027027027
"644",10,8,266,0.0945945945945946
"645",10,9,50,0.128378378378378
"646",10,9,83,0.027027027027027
"647",10,9,92,0.344594594594595
"648",10,9,118,0.00675675675675676
"649",10,9,124,0.00675675675675676
"650",10,9,138,0.0202702702702703
"651",10,9,141,0.0743243243243243
"652",10,9,142,0.0540540540540541
"653",10,9,175,0.0135135135135135
"654",10,9,184,0.00675675675675676
"655",10,9,242,0.0135135135135135
"656",10,9,266,0.0202702702702703
"657",10,9,274,0.283783783783784
"658",10,10,92,0.833333333333333
"659",10,10,138,0.0416666666666667
"660",10,10,139,0.0416666666666667
"661",10,10,142,0.0833333333333333
"662",10,12,92,0.2
"663",10,12,163,0.3
"664",10,12,275,0.5
"665",10,13,92,0.727272727272727
"666",10,13,101,0.0909090909090909
"667",10,13,158,0.181818181818182
"668",10,16,165,1
"669",10,17,178,0.333333333333333
"670",10,17,254,0.333333333333333
"671",10,17,284,0.333333333333333
"672",10,18,44,0.142857142857143
"673",10,18,55,0.142857142857143
"674",10,18,56,0.142857142857143
"675",10,18,92,0.5
"676",10,18,166,0.0714285714285714
"677",10,26,44,0.2
"678",10,26,55,0.2
"679",10,26,56,0.2
"680",10,26,92,0.2
"681",10,26,266,0.2
"682",10,27,92,0.457142857142857
"683",10,27,109,0.114285714285714
"684",10,27,275,0.428571428571429
"685",10,30,50,0.191919191919192
"686",10,30,55,0.0707070707070707
"687",10,30,92,0.0303030303030303
"688",10,30,124,0.0101010101010101
"689",10,30,126,0.0707070707070707
"690",10,30,138,0.0909090909090909
"691",10,30,139,0.0505050505050505
"692",10,30,165,0.161616161616162
"693",10,30,166,0.101010101010101
"694",10,30,181,0.111111111111111
"695",10,30,211,0.0101010101010101
"696",10,30,254,0.0909090909090909
"697",10,30,278,0.0101010101010101
"698",10,31,41,0.0188679245283019
"699",10,31,50,0.0566037735849057
"700",10,31,92,0.679245283018868
"701",10,31,112,0.0188679245283019
"702",10,31,138,0.0188679245283019
"703",10,31,141,0.0377358490566038
"704",10,31,187,0.150943396226415
"705",10,31,193,0.0188679245283019
"706",10,35,92,0.916666666666667
"707",10,35,242,0.0833333333333333
"708",10,38,92,0.25
"709",10,38,124,0.25
"710",10,38,140,0.25
"711",10,38,178,0.25
