"layer_from","layer_to","distance_in_meters"
"TenerifeTeno1","Fuerteventura1",337010.9202
"TenerifeTeno2","WesternSahara2",389146.973
"TenerifeTeno2","WesternSahara1",389081.6723
"TenerifeTeno2","Hierro2",129338.2219
"TenerifeTeno2","Hierro1",129313.8797
"TenerifeTeno2","GranCanaria2",173890.0276
"TenerifeTeno2","GranCanaria1",173938.4686
"TenerifeTeno2","Gomera2",52699.21787
"TenerifeTeno2","Gomera1",52633.94478
"TenerifeTeno2","TenerifeSouth2",57537.41864
"TenerifeTeno2","TenerifeSouth1",57507.0912
"TenerifeTeno2","TenerifeTeno1",176.725963
"TenerifeTeno2","Fuerteventura2",337100.0413
"TenerifeTeno2","Fuerteventura1",337167.3216
"Gomera1","WesternSahara2",390018.2084
"Gomera1","WesternSahara1",390021.0886
"Gomera1","Hierro2",80155.97026
"Gomera1","Hierro1",80115.5239
"Gomera1","GranCanaria2",200252.1231
"Gomera1","GranCanaria1",200279.0495
"Gomera1","Gomera2",70.701802
"Gomera1","TenerifeSouth2",93016.48528
"Gomera1","TenerifeSouth1",92943.79946
"Gomera1","TenerifeTeno2",52633.94478
"Gomera1","TenerifeTeno1",52803.77965
"Gomera1","Fuerteventura2",376842.1066
"Gomera1","Fuerteventura1",376908.7486
"Gomera2","WesternSahara2",389996.6073
"Gomera2","WesternSahara1",389999.5747
"Gomera2","Hierro2",80109.96825
"Gomera2","Hierro1",80069.46551
"Gomera2","GranCanaria2",200269.4864
"Gomera2","GranCanaria1",200296.3813
"Gomera2","Gomera1",70.701802
"Gomera2","TenerifeSouth2",93055.34728
"Gomera2","TenerifeSouth1",92982.62174
"Gomera2","TenerifeTeno2",52699.21787
"Gomera2","TenerifeTeno1",52869.02752
"Gomera2","Fuerteventura2",376876.5125
"Gomera2","Fuerteventura1",376943.1528
"Hierro1","WesternSahara2",437285.0066
"Hierro1","WesternSahara1",437366.7753
"Hierro1","Hierro2",93.399466
"Hierro1","GranCanaria2",274306.3841
"Hierro1","GranCanaria1",274321.0892
"Hierro1","Gomera2",80069.46551
"Hierro1","Gomera1",80115.5239
"Hierro1","TenerifeSouth2",172778.5189
"Hierro1","TenerifeSouth1",172702.2428
"Hierro1","TenerifeTeno2",129313.8797
"Hierro1","TenerifeTeno1",129490.6054
"Hierro1","Fuerteventura2",455616.6148
"Hierro1","Fuerteventura1",455682.8693
"Hierro2","WesternSahara2",437375.2712
"Hierro2","WesternSahara1",437457.0124
"Hierro2","Hierro1",93.399466
"Hierro2","GranCanaria2",274371.9913
"Hierro2","GranCanaria1",274386.7194
"Hierro2","Gomera2",80109.96825
"Hierro2","Gomera1",80155.97026
"Hierro2","TenerifeSouth2",172824.6395
"Hierro2","TenerifeSouth1",172748.3908
"Hierro2","TenerifeTeno2",129338.2219
"Hierro2","TenerifeTeno1",129514.9474
"Hierro2","Fuerteventura2",455670.4165
"Hierro2","Fuerteventura1",455736.6729
