"","module_sub_module","layer_from","layer_to","sub_module_sharing","distance"
"1","1 . 1",7,11,0.444444444444444,92943.79946
"2","1 . 1",7,12,0.571428571428571,92982.62174
"3","1 . 1",8,10,0.230769230769231,57537.41864
"4","1 . 1",10,14,0.210526315789474,129338.2219
"5","1 . 1",11,12,0.5,70.701802
"6","1 . 1",11,14,0.2,80155.97026
"7","1 . 1",13,14,0.272727272727273,93.399466
"8","1 . 1",7,11,0.444444444444444,92943.79946
"9","1 . 1",7,12,0.571428571428571,92982.62174
"10","1 . 1",8,10,0.230769230769231,57537.41864
"11","1 . 1",10,14,0.210526315789474,129338.2219
"12","1 . 1",11,12,0.5,70.701802
"13","1 . 1",11,14,0.2,80155.97026
"14","1 . 1",13,14,0.272727272727273,93.399466
"15","1 . 1",7,11,0.444444444444444,92943.79946
"16","1 . 1",7,12,0.571428571428571,92982.62174
"17","1 . 1",8,10,0.230769230769231,57537.41864
"18","1 . 1",10,14,0.210526315789474,129338.2219
"19","1 . 1",11,12,0.5,70.701802
"20","1 . 1",11,14,0.2,80155.97026
"21","1 . 1",13,14,0.272727272727273,93.399466
"22","1 . 1",7,11,0.444444444444444,92943.79946
"23","1 . 1",7,12,0.571428571428571,92982.62174
"24","1 . 1",8,10,0.230769230769231,57537.41864
"25","1 . 1",10,14,0.210526315789474,129338.2219
"26","1 . 1",11,12,0.5,70.701802
"27","1 . 1",11,14,0.2,80155.97026
"28","1 . 1",13,14,0.272727272727273,93.399466
"29","1 . 1",7,11,0.444444444444444,92943.79946
"30","1 . 1",7,12,0.571428571428571,92982.62174
"31","1 . 1",8,10,0.230769230769231,57537.41864
"32","1 . 1",10,14,0.210526315789474,129338.2219
"33","1 . 1",11,12,0.5,70.701802
"34","1 . 1",11,14,0.2,80155.97026
"35","1 . 1",13,14,0.272727272727273,93.399466
"36","1 . 1",7,11,0.444444444444444,92943.79946
"37","1 . 1",7,12,0.571428571428571,92982.62174
"38","1 . 1",8,10,0.230769230769231,57537.41864
"39","1 . 1",10,14,0.210526315789474,129338.2219
"40","1 . 1",11,12,0.5,70.701802
"41","1 . 1",11,14,0.2,80155.97026
"42","1 . 1",13,14,0.272727272727273,93.399466
"43","1 . 1",7,11,0.444444444444444,92943.79946
"44","1 . 1",7,12,0.571428571428571,92982.62174
"45","1 . 1",8,10,0.230769230769231,57537.41864
"46","1 . 1",10,14,0.210526315789474,129338.2219
"47","1 . 1",11,12,0.5,70.701802
"48","1 . 1",11,14,0.2,80155.97026
"49","1 . 1",13,14,0.272727272727273,93.399466
"50","1 . 1",7,11,0.444444444444444,92943.79946
"51","1 . 1",7,12,0.571428571428571,92982.62174
"52","1 . 1",8,10,0.230769230769231,57537.41864
"53","1 . 1",10,14,0.210526315789474,129338.2219
"54","1 . 1",11,12,0.5,70.701802
"55","1 . 1",11,14,0.2,80155.97026
"56","1 . 1",13,14,0.272727272727273,93.399466
"57","1 . 1",7,11,0.444444444444444,92943.79946
"58","1 . 1",7,12,0.571428571428571,92982.62174
"59","1 . 1",8,10,0.230769230769231,57537.41864
"60","1 . 1",10,14,0.210526315789474,129338.2219
"61","1 . 1",11,12,0.5,70.701802
"62","1 . 1",11,14,0.2,80155.97026
"63","1 . 1",13,14,0.272727272727273,93.399466
"64","1 . 1",7,11,0.444444444444444,92943.79946
"65","1 . 1",7,12,0.571428571428571,92982.62174
"66","1 . 1",8,10,0.230769230769231,57537.41864
"67","1 . 1",10,14,0.210526315789474,129338.2219
"68","1 . 1",11,12,0.5,70.701802
"69","1 . 1",11,14,0.2,80155.97026
"70","1 . 1",13,14,0.272727272727273,93.399466
"71","1 . 1",7,11,0.444444444444444,92943.79946
"72","1 . 1",7,12,0.571428571428571,92982.62174
"73","1 . 1",8,10,0.230769230769231,57537.41864
"74","1 . 1",10,14,0.210526315789474,129338.2219
"75","1 . 1",11,12,0.5,70.701802
"76","1 . 1",11,14,0.2,80155.97026
"77","1 . 1",13,14,0.272727272727273,93.399466
"78","1 . 1",7,11,0.444444444444444,92943.79946
"79","1 . 1",7,12,0.571428571428571,92982.62174
"80","1 . 1",8,10,0.230769230769231,57537.41864
"81","1 . 1",10,14,0.210526315789474,129338.2219
"82","1 . 1",11,12,0.5,70.701802
"83","1 . 1",11,14,0.2,80155.97026
"84","1 . 1",13,14,0.272727272727273,93.399466
"85","1 . 1",7,11,0.444444444444444,92943.79946
"86","1 . 1",7,12,0.571428571428571,92982.62174
"87","1 . 1",8,10,0.230769230769231,57537.41864
"88","1 . 1",10,14,0.210526315789474,129338.2219
"89","1 . 1",11,12,0.5,70.701802
"90","1 . 1",11,14,0.2,80155.97026
"91","1 . 1",13,14,0.272727272727273,93.399466
"92","1 . 1",7,11,0.444444444444444,92943.79946
"93","1 . 1",7,12,0.571428571428571,92982.62174
"94","1 . 1",8,10,0.230769230769231,57537.41864
"95","1 . 1",10,14,0.210526315789474,129338.2219
"96","1 . 1",11,12,0.5,70.701802
"97","1 . 1",11,14,0.2,80155.97026
"98","1 . 1",13,14,0.272727272727273,93.399466
"99","1 . 1",7,11,0.444444444444444,92943.79946
"100","1 . 1",7,12,0.571428571428571,92982.62174
"101","1 . 1",8,10,0.230769230769231,57537.41864
"102","1 . 1",10,14,0.210526315789474,129338.2219
"103","1 . 1",11,12,0.5,70.701802
"104","1 . 1",11,14,0.2,80155.97026
"105","1 . 1",13,14,0.272727272727273,93.399466
"106","1 . 1",7,11,0.444444444444444,92943.79946
"107","1 . 1",7,12,0.571428571428571,92982.62174
"108","1 . 1",8,10,0.230769230769231,57537.41864
"109","1 . 1",10,14,0.210526315789474,129338.2219
"110","1 . 1",11,12,0.5,70.701802
"111","1 . 1",11,14,0.2,80155.97026
"112","1 . 1",13,14,0.272727272727273,93.399466
"113","1 . 1",7,11,0.444444444444444,92943.79946
"114","1 . 1",7,12,0.571428571428571,92982.62174
"115","1 . 1",8,10,0.230769230769231,57537.41864
"116","1 . 1",10,14,0.210526315789474,129338.2219
"117","1 . 1",11,12,0.5,70.701802
"118","1 . 1",11,14,0.2,80155.97026
"119","1 . 1",13,14,0.272727272727273,93.399466
"120","1 . 1",7,11,0.444444444444444,92943.79946
"121","1 . 1",7,12,0.571428571428571,92982.62174
"122","1 . 1",8,10,0.230769230769231,57537.41864
"123","1 . 1",10,14,0.210526315789474,129338.2219
"124","1 . 1",11,12,0.5,70.701802
"125","1 . 1",11,14,0.2,80155.97026
"126","1 . 1",13,14,0.272727272727273,93.399466
"127","1 . 1",7,11,0.444444444444444,92943.79946
"128","1 . 1",7,12,0.571428571428571,92982.62174
"129","1 . 1",8,10,0.230769230769231,57537.41864
